Epoch: 0	,Training loss (MRSE): 0.979283	,Validation loss (MRSE): 0.999999	,Training loss (MSE): 7.89194e+22	,Validation loss (MSE): 5.74934e+19	,Training accuracy (MAE): -1.40633e+10	,Validation accuracy (MAE): -9.03275e+08	,Training accuracy (MRAE): 0.0152702	,Validation accuracy (MRAE): 3.76011e-07
Epoch: 8	,Training loss (MRSE): 0.741163	,Validation loss (MRSE): 0.825581	,Training loss (MSE): 1.52862e+17	,Validation loss (MSE): 1.93034e+17	,Training accuracy (MAE): -6.03585e+07	,Validation accuracy (MAE): -7.46568e+07	,Training accuracy (MRAE): 0.179129	,Validation accuracy (MRAE): 0.114761
Epoch: 16	,Training loss (MRSE): 0.67355	,Validation loss (MRSE): 0.816237	,Training loss (MSE): 1.52363e+17	,Validation loss (MSE): 1.93025e+17	,Training accuracy (MAE): -6.01163e+07	,Validation accuracy (MAE): -7.4715e+07	,Training accuracy (MRAE): 0.217127	,Validation accuracy (MRAE): 0.117426
Epoch: 24	,Training loss (MRSE): 0.541557	,Validation loss (MRSE): 0.764319	,Training loss (MSE): 1.33739e+17	,Validation loss (MSE): 1.92958e+17	,Training accuracy (MAE): -5.54864e+07	,Validation accuracy (MAE): -7.50605e+07	,Training accuracy (MRAE): 0.3365	,Validation accuracy (MRAE): 0.168681
Epoch: 32	,Training loss (MRSE): 0.540371	,Validation loss (MRSE): 0.828066	,Training loss (MSE): 1.2524e+17	,Validation loss (MSE): 1.93041e+17	,Training accuracy (MAE): -5.35536e+07	,Validation accuracy (MAE): -7.51284e+07	,Training accuracy (MRAE): 0.324774	,Validation accuracy (MRAE): 0.115715
Epoch: 40	,Training loss (MRSE): 0.443268	,Validation loss (MRSE): 0.793894	,Training loss (MSE): 4.49445e+18	,Validation loss (MSE): 1.9307e+17	,Training accuracy (MAE): -1.97051e+08	,Validation accuracy (MAE): -7.58703e+07	,Training accuracy (MRAE): 0.401231	,Validation accuracy (MRAE): 0.139421
Epoch: 48	,Training loss (MRSE): 0.38369	,Validation loss (MRSE): 0.803273	,Training loss (MSE): 3.42936e+17	,Validation loss (MSE): 1.93033e+17	,Training accuracy (MAE): -5.75966e+07	,Validation accuracy (MAE): -7.51542e+07	,Training accuracy (MRAE): 0.464149	,Validation accuracy (MRAE): 0.124912
Epoch: 56	,Training loss (MRSE): 0.388919	,Validation loss (MRSE): 0.792802	,Training loss (MSE): 1.45555e+17	,Validation loss (MSE): 1.9307e+17	,Training accuracy (MAE): -5.45583e+07	,Validation accuracy (MAE): -7.56237e+07	,Training accuracy (MRAE): 0.452073	,Validation accuracy (MRAE): 0.137086
Epoch: 64	,Training loss (MRSE): 0.384769	,Validation loss (MRSE): 0.77027	,Training loss (MSE): 2.55544e+16	,Validation loss (MSE): 1.93004e+17	,Training accuracy (MAE): -2.17901e+07	,Validation accuracy (MAE): -7.49503e+07	,Training accuracy (MRAE): 0.461465	,Validation accuracy (MRAE): 0.160597
Epoch: 72	,Training loss (MRSE): 0.416185	,Validation loss (MRSE): 0.772841	,Training loss (MSE): 1.77371e+17	,Validation loss (MSE): 1.92949e+17	,Training accuracy (MAE): -6.28555e+07	,Validation accuracy (MAE): -7.54632e+07	,Training accuracy (MRAE): 0.416464	,Validation accuracy (MRAE): 0.161658
Epoch: 80	,Training loss (MRSE): 0.316616	,Validation loss (MRSE): 0.762508	,Training loss (MSE): 4.30823e+16	,Validation loss (MSE): 1.93002e+17	,Training accuracy (MAE): -2.91596e+07	,Validation accuracy (MAE): -7.50941e+07	,Training accuracy (MRAE): 0.528079	,Validation accuracy (MRAE): 0.171645
Epoch: 88	,Training loss (MRSE): 0.448624	,Validation loss (MRSE): 0.812893	,Training loss (MSE): 2.47601e+16	,Validation loss (MSE): 1.93042e+17	,Training accuracy (MAE): -2.0551e+07	,Validation accuracy (MAE): -7.51648e+07	,Training accuracy (MRAE): 0.407526	,Validation accuracy (MRAE): 0.132792
Epoch: 96	,Training loss (MRSE): 0.358099	,Validation loss (MRSE): 0.787772	,Training loss (MSE): 9.07708e+16	,Validation loss (MSE): 1.93069e+17	,Training accuracy (MAE): -4.51483e+07	,Validation accuracy (MAE): -7.56865e+07	,Training accuracy (MRAE): 0.471424	,Validation accuracy (MRAE): 0.144646
Epoch: 104	,Training loss (MRSE): 0.323454	,Validation loss (MRSE): 0.770451	,Training loss (MSE): 4.73362e+16	,Validation loss (MSE): 1.93016e+17	,Training accuracy (MAE): -3.05844e+07	,Validation accuracy (MAE): -7.49786e+07	,Training accuracy (MRAE): 0.501719	,Validation accuracy (MRAE): 0.15891
Epoch: 112	,Training loss (MRSE): 0.343854	,Validation loss (MRSE): 0.777091	,Training loss (MSE): 1.37665e+16	,Validation loss (MSE): 1.92915e+17	,Training accuracy (MAE): -1.81352e+07	,Validation accuracy (MAE): -7.54318e+07	,Training accuracy (MRAE): 0.495645	,Validation accuracy (MRAE): 0.152075
Epoch: 120	,Training loss (MRSE): 0.255924	,Validation loss (MRSE): 0.775686	,Training loss (MSE): 2.44036e+16	,Validation loss (MSE): 1.93016e+17	,Training accuracy (MAE): -2.11544e+07	,Validation accuracy (MAE): -7.52752e+07	,Training accuracy (MRAE): 0.588413	,Validation accuracy (MRAE): 0.155151
Epoch: 128	,Training loss (MRSE): 0.270367	,Validation loss (MRSE): 0.777725	,Training loss (MSE): 8.44716e+16	,Validation loss (MSE): 1.93008e+17	,Training accuracy (MAE): -3.43179e+07	,Validation accuracy (MAE): -7.55238e+07	,Training accuracy (MRAE): 0.56397	,Validation accuracy (MRAE): 0.155441
Epoch: 136	,Training loss (MRSE): 0.320975	,Validation loss (MRSE): 0.76608	,Training loss (MSE): 1.75043e+17	,Validation loss (MSE): 1.92973e+17	,Training accuracy (MAE): -5.58092e+07	,Validation accuracy (MAE): -7.49002e+07	,Training accuracy (MRAE): 0.501783	,Validation accuracy (MRAE): 0.171898
Epoch: 144	,Training loss (MRSE): 0.351767	,Validation loss (MRSE): 0.777535	,Training loss (MSE): 6.52292e+16	,Validation loss (MSE): 1.93011e+17	,Training accuracy (MAE): -3.80138e+07	,Validation accuracy (MAE): -7.48223e+07	,Training accuracy (MRAE): 0.465159	,Validation accuracy (MRAE): 0.151867
Epoch: 152	,Training loss (MRSE): 0.252096	,Validation loss (MRSE): 0.788036	,Training loss (MSE): 1.25423e+16	,Validation loss (MSE): 1.93015e+17	,Training accuracy (MAE): -1.66484e+07	,Validation accuracy (MAE): -7.51506e+07	,Training accuracy (MRAE): 0.59226	,Validation accuracy (MRAE): 0.142217
Epoch: 160	,Training loss (MRSE): 0.222944	,Validation loss (MRSE): 0.781023	,Training loss (MSE): 1.40812e+16	,Validation loss (MSE): 1.92993e+17	,Training accuracy (MAE): -1.7096e+07	,Validation accuracy (MAE): -7.53343e+07	,Training accuracy (MRAE): 0.62021	,Validation accuracy (MRAE): 0.153487
Epoch: 168	,Training loss (MRSE): 0.267216	,Validation loss (MRSE): 0.797158	,Training loss (MSE): 2.91899e+16	,Validation loss (MSE): 1.92941e+17	,Training accuracy (MAE): -2.36562e+07	,Validation accuracy (MAE): -7.60438e+07	,Training accuracy (MRAE): 0.557746	,Validation accuracy (MRAE): 0.131421
Epoch: 176	,Training loss (MRSE): 0.196149	,Validation loss (MRSE): 0.783689	,Training loss (MSE): 3.84762e+16	,Validation loss (MSE): 1.93008e+17	,Training accuracy (MAE): -2.55189e+07	,Validation accuracy (MAE): -7.55357e+07	,Training accuracy (MRAE): 0.652773	,Validation accuracy (MRAE): 0.153375
Epoch: 184	,Training loss (MRSE): 0.178804	,Validation loss (MRSE): 0.797133	,Training loss (MSE): 4.60403e+16	,Validation loss (MSE): 1.92998e+17	,Training accuracy (MAE): -2.6111e+07	,Validation accuracy (MAE): -7.53718e+07	,Training accuracy (MRAE): 0.685588	,Validation accuracy (MRAE): 0.132864
Epoch: 192	,Training loss (MRSE): 0.306597	,Validation loss (MRSE): 0.802511	,Training loss (MSE): 1.62963e+16	,Validation loss (MSE): 1.93024e+17	,Training accuracy (MAE): -1.7569e+07	,Validation accuracy (MAE): -7.50512e+07	,Training accuracy (MRAE): 0.518051	,Validation accuracy (MRAE): 0.135373
Epoch: 200	,Training loss (MRSE): 0.231108	,Validation loss (MRSE): 0.790937	,Training loss (MSE): 1.99497e+16	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -1.96198e+07	,Validation accuracy (MAE): -7.55738e+07	,Training accuracy (MRAE): 0.595462	,Validation accuracy (MRAE): 0.140091
Epoch: 208	,Training loss (MRSE): 0.203198	,Validation loss (MRSE): 0.779554	,Training loss (MSE): 1.44585e+16	,Validation loss (MSE): 1.92962e+17	,Training accuracy (MAE): -1.79437e+07	,Validation accuracy (MAE): -7.55412e+07	,Training accuracy (MRAE): 0.649446	,Validation accuracy (MRAE): 0.153402
Epoch: 216	,Training loss (MRSE): 0.212154	,Validation loss (MRSE): 0.794195	,Training loss (MSE): 6.03471e+16	,Validation loss (MSE): 1.93017e+17	,Training accuracy (MAE): -3.71851e+07	,Validation accuracy (MAE): -7.59669e+07	,Training accuracy (MRAE): 0.606512	,Validation accuracy (MRAE): 0.140731
Epoch: 224	,Training loss (MRSE): 0.238087	,Validation loss (MRSE): 0.790271	,Training loss (MSE): 1.65903e+16	,Validation loss (MSE): 1.93024e+17	,Training accuracy (MAE): -1.66281e+07	,Validation accuracy (MAE): -7.53515e+07	,Training accuracy (MRAE): 0.595406	,Validation accuracy (MRAE): 0.142082
Epoch: 232	,Training loss (MRSE): 0.194196	,Validation loss (MRSE): 0.787859	,Training loss (MSE): 3.28498e+16	,Validation loss (MSE): 1.92973e+17	,Training accuracy (MAE): -2.79259e+07	,Validation accuracy (MAE): -7.54925e+07	,Training accuracy (MRAE): 0.653395	,Validation accuracy (MRAE): 0.147501
Epoch: 240	,Training loss (MRSE): 0.23888	,Validation loss (MRSE): 0.812375	,Training loss (MSE): 1.55857e+16	,Validation loss (MSE): 1.92998e+17	,Training accuracy (MAE): -1.77317e+07	,Validation accuracy (MAE): -7.63359e+07	,Training accuracy (MRAE): 0.590031	,Validation accuracy (MRAE): 0.124234
Epoch: 248	,Training loss (MRSE): 0.224643	,Validation loss (MRSE): 0.798653	,Training loss (MSE): 7.90475e+15	,Validation loss (MSE): 1.93032e+17	,Training accuracy (MAE): -1.37219e+07	,Validation accuracy (MAE): -7.572e+07	,Training accuracy (MRAE): 0.604666	,Validation accuracy (MRAE): 0.137618
Epoch: 256	,Training loss (MRSE): 0.16666	,Validation loss (MRSE): 0.790213	,Training loss (MSE): 2.45245e+16	,Validation loss (MSE): 1.9301e+17	,Training accuracy (MAE): -2.31481e+07	,Validation accuracy (MAE): -7.54307e+07	,Training accuracy (MRAE): 0.675529	,Validation accuracy (MRAE): 0.142112
Epoch: 264	,Training loss (MRSE): 0.158533	,Validation loss (MRSE): 0.800739	,Training loss (MSE): 1.23016e+16	,Validation loss (MSE): 1.92988e+17	,Training accuracy (MAE): -1.48831e+07	,Validation accuracy (MAE): -7.55234e+07	,Training accuracy (MRAE): 0.686413	,Validation accuracy (MRAE): 0.132401
Epoch: 272	,Training loss (MRSE): 0.136838	,Validation loss (MRSE): 0.80559	,Training loss (MSE): 1.82126e+16	,Validation loss (MSE): 1.93016e+17	,Training accuracy (MAE): -1.74943e+07	,Validation accuracy (MAE): -7.59116e+07	,Training accuracy (MRAE): 0.728511	,Validation accuracy (MRAE): 0.126422
