Epoch: 0	,Training loss (MRSE): 0.708304	,Validation loss (MRSE): 0.810739	,Training loss (MSE): 1.52657e+17	,Validation loss (MSE): 1.93034e+17	,Training accuracy (MAE): -6.02814e+07	,Validation accuracy (MAE): -7.4871e+07	,Training accuracy (MRAE): 0.193118	,Validation accuracy (MRAE): 0.130789
Epoch: 8	,Training loss (MRSE): 0.655943	,Validation loss (MRSE): 0.800022	,Training loss (MSE): 1.5246e+17	,Validation loss (MSE): 1.93032e+17	,Training accuracy (MAE): -6.02003e+07	,Validation accuracy (MAE): -7.51147e+07	,Training accuracy (MRAE): 0.239391	,Validation accuracy (MRAE): 0.136377
Epoch: 16	,Training loss (MRSE): 0.63598	,Validation loss (MRSE): 0.787761	,Training loss (MSE): 1.52542e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.01801e+07	,Validation accuracy (MAE): -7.49715e+07	,Training accuracy (MRAE): 0.252354	,Validation accuracy (MRAE): 0.149466
Epoch: 24	,Training loss (MRSE): 0.625761	,Validation loss (MRSE): 0.802278	,Training loss (MSE): 1.52158e+17	,Validation loss (MSE): 1.92954e+17	,Training accuracy (MAE): -6.00141e+07	,Validation accuracy (MAE): -7.52132e+07	,Training accuracy (MRAE): 0.259325	,Validation accuracy (MRAE): 0.128367
Epoch: 32	,Training loss (MRSE): 0.599184	,Validation loss (MRSE): 0.793072	,Training loss (MSE): 1.51549e+17	,Validation loss (MSE): 1.93022e+17	,Training accuracy (MAE): -5.98257e+07	,Validation accuracy (MAE): -7.53299e+07	,Training accuracy (MRAE): 0.282259	,Validation accuracy (MRAE): 0.145698
Epoch: 40	,Training loss (MRSE): 0.571917	,Validation loss (MRSE): 0.802731	,Training loss (MSE): 1.48231e+17	,Validation loss (MSE): 1.93023e+17	,Training accuracy (MAE): -5.87805e+07	,Validation accuracy (MAE): -7.54301e+07	,Training accuracy (MRAE): 0.313112	,Validation accuracy (MRAE): 0.136098
Epoch: 48	,Training loss (MRSE): 0.572135	,Validation loss (MRSE): 0.800636	,Training loss (MSE): 1.45074e+17	,Validation loss (MSE): 1.93027e+17	,Training accuracy (MAE): -5.85265e+07	,Validation accuracy (MAE): -7.54016e+07	,Training accuracy (MRAE): 0.29942	,Validation accuracy (MRAE): 0.137492
Epoch: 56	,Training loss (MRSE): 0.530889	,Validation loss (MRSE): 0.802081	,Training loss (MSE): 1.42447e+17	,Validation loss (MSE): 1.93026e+17	,Training accuracy (MAE): -5.74475e+07	,Validation accuracy (MAE): -7.48336e+07	,Training accuracy (MRAE): 0.332204	,Validation accuracy (MRAE): 0.13387
Epoch: 64	,Training loss (MRSE): 0.444271	,Validation loss (MRSE): 0.795992	,Training loss (MSE): 1.2865e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -5.41806e+07	,Validation accuracy (MAE): -7.50378e+07	,Training accuracy (MRAE): 0.424286	,Validation accuracy (MRAE): 0.142475
Epoch: 72	,Training loss (MRSE): 0.527637	,Validation loss (MRSE): 0.787635	,Training loss (MSE): 1.0767e+17	,Validation loss (MSE): 1.93066e+17	,Training accuracy (MAE): -5.13126e+07	,Validation accuracy (MAE): -7.6598e+07	,Training accuracy (MRAE): 0.331542	,Validation accuracy (MRAE): 0.143943
Epoch: 80	,Training loss (MRSE): 0.436252	,Validation loss (MRSE): 0.78595	,Training loss (MSE): 1.08466e+17	,Validation loss (MSE): 1.93026e+17	,Training accuracy (MAE): -4.96195e+07	,Validation accuracy (MAE): -7.50883e+07	,Training accuracy (MRAE): 0.431101	,Validation accuracy (MRAE): 0.15617
Epoch: 88	,Training loss (MRSE): 0.438353	,Validation loss (MRSE): 0.813023	,Training loss (MSE): 1.02572e+17	,Validation loss (MSE): 1.93025e+17	,Training accuracy (MAE): -4.82433e+07	,Validation accuracy (MAE): -7.49822e+07	,Training accuracy (MRAE): 0.429313	,Validation accuracy (MRAE): 0.128033
Epoch: 96	,Training loss (MRSE): 0.400955	,Validation loss (MRSE): 0.834991	,Training loss (MSE): 9.29594e+16	,Validation loss (MSE): 1.93036e+17	,Training accuracy (MAE): -4.57003e+07	,Validation accuracy (MAE): -7.51275e+07	,Training accuracy (MRAE): 0.453979	,Validation accuracy (MRAE): 0.10464
Epoch: 104	,Training loss (MRSE): 0.391166	,Validation loss (MRSE): 0.804711	,Training loss (MSE): 7.92477e+16	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -4.17679e+07	,Validation accuracy (MAE): -7.50171e+07	,Training accuracy (MRAE): 0.470738	,Validation accuracy (MRAE): 0.129704
