Epoch: 0	,Training loss (MRSE): 0.81829	,Validation loss (MRSE): 0.830528	,Training loss (MSE): 5.94608e+18	,Validation loss (MSE): 2.57802e+18	,Training accuracy (MAE): -1.5187e+09	,Validation accuracy (MAE): -6.71904e+08	,Training accuracy (MRAE): 0.125742	,Validation accuracy (MRAE): 0.11658
Epoch: 8	,Training loss (MRSE): 0.704275	,Validation loss (MRSE): 0.822682	,Training loss (MSE): 3.66063e+17	,Validation loss (MSE): 1.93025e+17	,Training accuracy (MAE): -1.13694e+08	,Validation accuracy (MAE): -7.47119e+07	,Training accuracy (MRAE): 0.201789	,Validation accuracy (MRAE): 0.119444
Epoch: 16	,Training loss (MRSE): 0.725542	,Validation loss (MRSE): 0.843115	,Training loss (MSE): 1.79555e+17	,Validation loss (MSE): 1.93009e+17	,Training accuracy (MAE): -6.70048e+07	,Validation accuracy (MAE): -7.48054e+07	,Training accuracy (MRAE): 0.179995	,Validation accuracy (MRAE): 0.104628
Epoch: 24	,Training loss (MRSE): 0.676064	,Validation loss (MRSE): 0.820966	,Training loss (MSE): 1.79624e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.69775e+07	,Validation accuracy (MAE): -7.47116e+07	,Training accuracy (MRAE): 0.235584	,Validation accuracy (MRAE): 0.128977
Epoch: 32	,Training loss (MRSE): 0.768651	,Validation loss (MRSE): 0.880055	,Training loss (MSE): 1.79397e+17	,Validation loss (MSE): 1.92906e+17	,Training accuracy (MAE): -6.79376e+07	,Validation accuracy (MAE): -7.58421e+07	,Training accuracy (MRAE): 0.153391	,Validation accuracy (MRAE): 0.0784492
Epoch: 40	,Training loss (MRSE): 0.728982	,Validation loss (MRSE): 0.85284	,Training loss (MSE): 1.42187e+17	,Validation loss (MSE): 1.92993e+17	,Training accuracy (MAE): -5.78825e+07	,Validation accuracy (MAE): -7.49052e+07	,Training accuracy (MRAE): 0.178306	,Validation accuracy (MRAE): 0.0921979
Epoch: 48	,Training loss (MRSE): 0.67111	,Validation loss (MRSE): 0.81488	,Training loss (MSE): 1.42269e+17	,Validation loss (MSE): 1.93025e+17	,Training accuracy (MAE): -5.76651e+07	,Validation accuracy (MAE): -7.4755e+07	,Training accuracy (MRAE): 0.230947	,Validation accuracy (MRAE): 0.128198
Epoch: 56	,Training loss (MRSE): 0.768447	,Validation loss (MRSE): 0.787512	,Training loss (MSE): 1.42404e+17	,Validation loss (MSE): 1.93034e+17	,Training accuracy (MAE): -5.79351e+07	,Validation accuracy (MAE): -7.46273e+07	,Training accuracy (MRAE): 0.151152	,Validation accuracy (MRAE): 0.149429
Epoch: 64	,Training loss (MRSE): 0.687397	,Validation loss (MRSE): 0.807676	,Training loss (MSE): 1.42052e+17	,Validation loss (MSE): 1.93031e+17	,Training accuracy (MAE): -5.75862e+07	,Validation accuracy (MAE): -7.4684e+07	,Training accuracy (MRAE): 0.213028	,Validation accuracy (MRAE): 0.126118
Epoch: 72	,Training loss (MRSE): 0.647362	,Validation loss (MRSE): 0.818233	,Training loss (MSE): 1.40047e+17	,Validation loss (MSE): 1.93025e+17	,Training accuracy (MAE): -5.6657e+07	,Validation accuracy (MAE): -7.48278e+07	,Training accuracy (MRAE): 0.256176	,Validation accuracy (MRAE): 0.126578
Epoch: 80	,Training loss (MRSE): 0.650708	,Validation loss (MRSE): 0.816017	,Training loss (MSE): 1.41858e+17	,Validation loss (MSE): 1.93027e+17	,Training accuracy (MAE): -5.74093e+07	,Validation accuracy (MAE): -7.47912e+07	,Training accuracy (MRAE): 0.247137	,Validation accuracy (MRAE): 0.123096
Epoch: 88	,Training loss (MRSE): 0.780584	,Validation loss (MRSE): 0.872719	,Training loss (MSE): 1.3749e+17	,Validation loss (MSE): 1.92936e+17	,Training accuracy (MAE): -5.70322e+07	,Validation accuracy (MAE): -7.60921e+07	,Training accuracy (MRAE): 0.147462	,Validation accuracy (MRAE): 0.0832944
Epoch: 96	,Training loss (MRSE): 0.708011	,Validation loss (MRSE): 0.851535	,Training loss (MSE): 1.37204e+17	,Validation loss (MSE): 1.93002e+17	,Training accuracy (MAE): -5.49614e+07	,Validation accuracy (MAE): -7.52939e+07	,Training accuracy (MRAE): 0.19999	,Validation accuracy (MRAE): 0.0939194
Epoch: 104	,Training loss (MRSE): 0.707923	,Validation loss (MRSE): 0.804034	,Training loss (MSE): 1.37628e+17	,Validation loss (MSE): 1.93033e+17	,Training accuracy (MAE): -5.45604e+07	,Validation accuracy (MAE): -7.46707e+07	,Training accuracy (MRAE): 0.195662	,Validation accuracy (MRAE): 0.12971
Epoch: 112	,Training loss (MRSE): 0.800604	,Validation loss (MRSE): 0.876311	,Training loss (MSE): 1.36666e+17	,Validation loss (MSE): 1.92905e+17	,Training accuracy (MAE): -5.66023e+07	,Validation accuracy (MAE): -7.63073e+07	,Training accuracy (MRAE): 0.126256	,Validation accuracy (MRAE): 0.0790748
Epoch: 120	,Training loss (MRSE): 0.662622	,Validation loss (MRSE): 0.82332	,Training loss (MSE): 1.37523e+17	,Validation loss (MSE): 1.93029e+17	,Training accuracy (MAE): -5.43133e+07	,Validation accuracy (MAE): -7.47457e+07	,Training accuracy (MRAE): 0.228911	,Validation accuracy (MRAE): 0.109439
Epoch: 128	,Training loss (MRSE): 0.659287	,Validation loss (MRSE): 0.828429	,Training loss (MSE): 1.37325e+17	,Validation loss (MSE): 1.93016e+17	,Training accuracy (MAE): -5.4444e+07	,Validation accuracy (MAE): -7.50291e+07	,Training accuracy (MRAE): 0.241697	,Validation accuracy (MRAE): 0.117803
Epoch: 136	,Training loss (MRSE): 0.699084	,Validation loss (MRSE): 0.846999	,Training loss (MSE): 1.37205e+17	,Validation loss (MSE): 1.93005e+17	,Training accuracy (MAE): -5.50166e+07	,Validation accuracy (MAE): -7.52727e+07	,Training accuracy (MRAE): 0.2078	,Validation accuracy (MRAE): 0.0980222
Epoch: 144	,Training loss (MRSE): 0.640229	,Validation loss (MRSE): 0.81897	,Training loss (MSE): 1.37384e+17	,Validation loss (MSE): 1.93022e+17	,Training accuracy (MAE): -5.45374e+07	,Validation accuracy (MAE): -7.49646e+07	,Training accuracy (MRAE): 0.267773	,Validation accuracy (MRAE): 0.133369
Epoch: 152	,Training loss (MRSE): 0.811495	,Validation loss (MRSE): 0.877781	,Training loss (MSE): 1.36218e+17	,Validation loss (MSE): 1.92903e+17	,Training accuracy (MAE): -5.71888e+07	,Validation accuracy (MAE): -7.68058e+07	,Training accuracy (MRAE): 0.115035	,Validation accuracy (MRAE): 0.0770418
Epoch: 160	,Training loss (MRSE): 0.638722	,Validation loss (MRSE): 0.819412	,Training loss (MSE): 1.37423e+17	,Validation loss (MSE): 1.93024e+17	,Training accuracy (MAE): -5.41544e+07	,Validation accuracy (MAE): -7.4846e+07	,Training accuracy (MRAE): 0.262138	,Validation accuracy (MRAE): 0.126544
Epoch: 168	,Training loss (MRSE): 0.75442	,Validation loss (MRSE): 0.864942	,Training loss (MSE): 1.36777e+17	,Validation loss (MSE): 1.92967e+17	,Training accuracy (MAE): -5.54026e+07	,Validation accuracy (MAE): -7.57596e+07	,Training accuracy (MRAE): 0.167523	,Validation accuracy (MRAE): 0.0904286
Epoch: 176	,Training loss (MRSE): 0.652164	,Validation loss (MRSE): 0.824343	,Training loss (MSE): 1.373e+17	,Validation loss (MSE): 1.93019e+17	,Training accuracy (MAE): -5.43994e+07	,Validation accuracy (MAE): -7.50163e+07	,Training accuracy (MRAE): 0.248196	,Validation accuracy (MRAE): 0.123922
Epoch: 184	,Training loss (MRSE): 0.655308	,Validation loss (MRSE): 0.823601	,Training loss (MSE): 1.3753e+17	,Validation loss (MSE): 1.93029e+17	,Training accuracy (MAE): -5.43287e+07	,Validation accuracy (MAE): -7.47426e+07	,Training accuracy (MRAE): 0.23721	,Validation accuracy (MRAE): 0.109912
Epoch: 192	,Training loss (MRSE): 0.72352	,Validation loss (MRSE): 0.857135	,Training loss (MSE): 1.36976e+17	,Validation loss (MSE): 1.9299e+17	,Training accuracy (MAE): -5.47798e+07	,Validation accuracy (MAE): -7.54406e+07	,Training accuracy (MRAE): 0.186552	,Validation accuracy (MRAE): 0.0907166
Epoch: 200	,Training loss (MRSE): 0.701001	,Validation loss (MRSE): 0.847971	,Training loss (MSE): 1.37204e+17	,Validation loss (MSE): 1.93004e+17	,Training accuracy (MAE): -5.4984e+07	,Validation accuracy (MAE): -7.52713e+07	,Training accuracy (MRAE): 0.20446	,Validation accuracy (MRAE): 0.0968566
Epoch: 208	,Training loss (MRSE): 0.651911	,Validation loss (MRSE): 0.823244	,Training loss (MSE): 1.37518e+17	,Validation loss (MSE): 1.93029e+17	,Training accuracy (MAE): -5.43616e+07	,Validation accuracy (MAE): -7.4762e+07	,Training accuracy (MRAE): 0.240548	,Validation accuracy (MRAE): 0.110599
Epoch: 216	,Training loss (MRSE): 0.652417	,Validation loss (MRSE): 0.82301	,Training loss (MSE): 1.37492e+17	,Validation loss (MSE): 1.93029e+17	,Training accuracy (MAE): -5.42574e+07	,Validation accuracy (MAE): -7.47799e+07	,Training accuracy (MRAE): 0.238706	,Validation accuracy (MRAE): 0.109916
Epoch: 224	,Training loss (MRSE): 0.659072	,Validation loss (MRSE): 0.822905	,Training loss (MSE): 1.37514e+17	,Validation loss (MSE): 1.9303e+17	,Training accuracy (MAE): -5.42551e+07	,Validation accuracy (MAE): -7.47559e+07	,Training accuracy (MRAE): 0.233727	,Validation accuracy (MRAE): 0.109741
Epoch: 232	,Training loss (MRSE): 0.64407	,Validation loss (MRSE): 0.822378	,Training loss (MSE): 1.3727e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -5.42687e+07	,Validation accuracy (MAE): -7.50371e+07	,Training accuracy (MRAE): 0.258224	,Validation accuracy (MRAE): 0.128022
Epoch: 240	,Training loss (MRSE): 0.673152	,Validation loss (MRSE): 0.819004	,Training loss (MSE): 1.3756e+17	,Validation loss (MSE): 1.93031e+17	,Training accuracy (MAE): -5.4496e+07	,Validation accuracy (MAE): -7.47414e+07	,Training accuracy (MRAE): 0.223076	,Validation accuracy (MRAE): 0.115771
Epoch: 248	,Training loss (MRSE): 0.683979	,Validation loss (MRSE): 0.840102	,Training loss (MSE): 1.37129e+17	,Validation loss (MSE): 1.9301e+17	,Training accuracy (MAE): -5.45757e+07	,Validation accuracy (MAE): -7.52347e+07	,Training accuracy (MRAE): 0.218559	,Validation accuracy (MRAE): 0.106997
Epoch: 256	,Training loss (MRSE): 0.699935	,Validation loss (MRSE): 0.810557	,Training loss (MSE): 1.37647e+17	,Validation loss (MSE): 1.93032e+17	,Training accuracy (MAE): -5.46753e+07	,Validation accuracy (MAE): -7.46849e+07	,Training accuracy (MRAE): 0.201455	,Validation accuracy (MRAE): 0.123756
