Epoch: 0	,Training loss (MRSE): 0.795958	,Validation loss (MRSE): 0.815026	,Training loss (MSE): 3.66275e+29	,Validation loss (MSE): 4.96789e+24	,Training accuracy (MAE): -5.16148e+13	,Validation accuracy (MAE): -2.59647e+11	,Training accuracy (MRAE): 0.131024	,Validation accuracy (MRAE): 0.129674
Epoch: 8	,Training loss (MRSE): 0.711653	,Validation loss (MRSE): 0.791973	,Training loss (MSE): 1.52757e+17	,Validation loss (MSE): 1.93012e+17	,Training accuracy (MAE): -6.02211e+07	,Validation accuracy (MAE): -7.48201e+07	,Training accuracy (MRAE): 0.186811	,Validation accuracy (MRAE): 0.142422
Epoch: 16	,Training loss (MRSE): 0.646313	,Validation loss (MRSE): 0.781817	,Training loss (MSE): 1.50669e+17	,Validation loss (MSE): 1.92984e+17	,Training accuracy (MAE): -5.96549e+07	,Validation accuracy (MAE): -7.50848e+07	,Training accuracy (MRAE): 0.2434	,Validation accuracy (MRAE): 0.15745
Epoch: 24	,Training loss (MRSE): 0.589134	,Validation loss (MRSE): 0.803749	,Training loss (MSE): 1.38904e+17	,Validation loss (MSE): 1.92995e+17	,Training accuracy (MAE): -5.78188e+07	,Validation accuracy (MAE): -7.48574e+07	,Training accuracy (MRAE): 0.286508	,Validation accuracy (MRAE): 0.127576
Epoch: 32	,Training loss (MRSE): 0.57928	,Validation loss (MRSE): 0.802751	,Training loss (MSE): 2.77877e+18	,Validation loss (MSE): 1.92984e+17	,Training accuracy (MAE): -1.46704e+08	,Validation accuracy (MAE): -7.52012e+07	,Training accuracy (MRAE): 0.300296	,Validation accuracy (MRAE): 0.12895
Epoch: 40	,Training loss (MRSE): 0.549445	,Validation loss (MRSE): 0.767294	,Training loss (MSE): 1.25715e+17	,Validation loss (MSE): 1.9301e+17	,Training accuracy (MAE): -5.41808e+07	,Validation accuracy (MAE): -7.46646e+07	,Training accuracy (MRAE): 0.316452	,Validation accuracy (MRAE): 0.163433
Epoch: 48	,Training loss (MRSE): 0.502994	,Validation loss (MRSE): 0.760483	,Training loss (MSE): 8.29207e+16	,Validation loss (MSE): 1.92966e+17	,Training accuracy (MAE): -4.34342e+07	,Validation accuracy (MAE): -7.47737e+07	,Training accuracy (MRAE): 0.362121	,Validation accuracy (MRAE): 0.173085
Epoch: 56	,Training loss (MRSE): 0.470712	,Validation loss (MRSE): 0.769934	,Training loss (MSE): 5.87904e+16	,Validation loss (MSE): 1.93e+17	,Training accuracy (MAE): -3.49066e+07	,Validation accuracy (MAE): -7.46935e+07	,Training accuracy (MRAE): 0.381039	,Validation accuracy (MRAE): 0.161704
Epoch: 64	,Training loss (MRSE): 0.50086	,Validation loss (MRSE): 0.793369	,Training loss (MSE): 1.37595e+17	,Validation loss (MSE): 1.93007e+17	,Training accuracy (MAE): -5.16707e+07	,Validation accuracy (MAE): -7.47739e+07	,Training accuracy (MRAE): 0.351462	,Validation accuracy (MRAE): 0.139955
Epoch: 72	,Training loss (MRSE): 0.46343	,Validation loss (MRSE): 0.757904	,Training loss (MSE): 8.18111e+16	,Validation loss (MSE): 1.92991e+17	,Training accuracy (MAE): -4.31657e+07	,Validation accuracy (MAE): -7.46696e+07	,Training accuracy (MRAE): 0.387996	,Validation accuracy (MRAE): 0.175507
Epoch: 80	,Training loss (MRSE): 0.412222	,Validation loss (MRSE): 0.805688	,Training loss (MSE): 8.71484e+16	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -3.93928e+07	,Validation accuracy (MAE): -7.47344e+07	,Training accuracy (MRAE): 0.43392	,Validation accuracy (MRAE): 0.125444
Epoch: 88	,Training loss (MRSE): 0.376903	,Validation loss (MRSE): 0.787232	,Training loss (MSE): 5.33128e+16	,Validation loss (MSE): 1.9301e+17	,Training accuracy (MAE): -3.29063e+07	,Validation accuracy (MAE): -7.47588e+07	,Training accuracy (MRAE): 0.467832	,Validation accuracy (MRAE): 0.147273
Epoch: 96	,Training loss (MRSE): 0.403635	,Validation loss (MRSE): 0.769079	,Training loss (MSE): 3.90563e+16	,Validation loss (MSE): 1.93004e+17	,Training accuracy (MAE): -2.5881e+07	,Validation accuracy (MAE): -7.48554e+07	,Training accuracy (MRAE): 0.441394	,Validation accuracy (MRAE): 0.162457
Epoch: 104	,Training loss (MRSE): 0.422088	,Validation loss (MRSE): 0.787903	,Training loss (MSE): 9.45559e+16	,Validation loss (MSE): 1.93022e+17	,Training accuracy (MAE): -4.64575e+07	,Validation accuracy (MAE): -7.47922e+07	,Training accuracy (MRAE): 0.423703	,Validation accuracy (MRAE): 0.142205
Epoch: 112	,Training loss (MRSE): 0.486045	,Validation loss (MRSE): 0.783678	,Training loss (MSE): 7.06885e+16	,Validation loss (MSE): 1.93013e+17	,Training accuracy (MAE): -3.88676e+07	,Validation accuracy (MAE): -7.46577e+07	,Training accuracy (MRAE): 0.361991	,Validation accuracy (MRAE): 0.145884
Epoch: 120	,Training loss (MRSE): 0.415414	,Validation loss (MRSE): 0.786022	,Training loss (MSE): 1.14143e+17	,Validation loss (MSE): 1.93011e+17	,Training accuracy (MAE): -5.15355e+07	,Validation accuracy (MAE): -7.47029e+07	,Training accuracy (MRAE): 0.423341	,Validation accuracy (MRAE): 0.141332
Epoch: 128	,Training loss (MRSE): 0.548174	,Validation loss (MRSE): 0.770371	,Training loss (MSE): 1.37291e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -5.69411e+07	,Validation accuracy (MAE): -7.4645e+07	,Training accuracy (MRAE): 0.301839	,Validation accuracy (MRAE): 0.155825
Epoch: 136	,Training loss (MRSE): 0.3221	,Validation loss (MRSE): 0.766028	,Training loss (MSE): 5.65646e+16	,Validation loss (MSE): 1.93e+17	,Training accuracy (MAE): -3.21701e+07	,Validation accuracy (MAE): -7.48259e+07	,Training accuracy (MRAE): 0.528881	,Validation accuracy (MRAE): 0.167183
Epoch: 144	,Training loss (MRSE): 0.361912	,Validation loss (MRSE): 0.773367	,Training loss (MSE): 8.58001e+16	,Validation loss (MSE): 1.93016e+17	,Training accuracy (MAE): -4.33211e+07	,Validation accuracy (MAE): -7.48246e+07	,Training accuracy (MRAE): 0.471351	,Validation accuracy (MRAE): 0.157476
Epoch: 152	,Training loss (MRSE): 0.434016	,Validation loss (MRSE): 0.782159	,Training loss (MSE): 2.53438e+16	,Validation loss (MSE): 1.93007e+17	,Training accuracy (MAE): -2.14988e+07	,Validation accuracy (MAE): -7.47569e+07	,Training accuracy (MRAE): 0.403097	,Validation accuracy (MRAE): 0.148853
Epoch: 160	,Training loss (MRSE): 0.466789	,Validation loss (MRSE): 0.769155	,Training loss (MSE): 1.1929e+17	,Validation loss (MSE): 1.93001e+17	,Training accuracy (MAE): -4.99563e+07	,Validation accuracy (MAE): -7.4683e+07	,Training accuracy (MRAE): 0.389794	,Validation accuracy (MRAE): 0.162765
Epoch: 168	,Training loss (MRSE): 0.414774	,Validation loss (MRSE): 0.793185	,Training loss (MSE): 3.74598e+16	,Validation loss (MSE): 1.92996e+17	,Training accuracy (MAE): -2.63812e+07	,Validation accuracy (MAE): -7.47708e+07	,Training accuracy (MRAE): 0.460275	,Validation accuracy (MRAE): 0.145265
Epoch: 176	,Training loss (MRSE): 0.457333	,Validation loss (MRSE): 0.789264	,Training loss (MSE): 4.21153e+16	,Validation loss (MSE): 1.93013e+17	,Training accuracy (MAE): -2.92715e+07	,Validation accuracy (MAE): -7.4696e+07	,Training accuracy (MRAE): 0.398249	,Validation accuracy (MRAE): 0.146288
Epoch: 184	,Training loss (MRSE): 0.422252	,Validation loss (MRSE): 0.80134	,Training loss (MSE): 5.18582e+16	,Validation loss (MSE): 1.93018e+17	,Training accuracy (MAE): -2.86289e+07	,Validation accuracy (MAE): -7.5007e+07	,Training accuracy (MRAE): 0.439638	,Validation accuracy (MRAE): 0.135685
Epoch: 192	,Training loss (MRSE): 0.428795	,Validation loss (MRSE): 0.790874	,Training loss (MSE): 6.13561e+16	,Validation loss (MSE): 1.9301e+17	,Training accuracy (MAE): -3.61983e+07	,Validation accuracy (MAE): -7.47666e+07	,Training accuracy (MRAE): 0.437154	,Validation accuracy (MRAE): 0.145126
Epoch: 200	,Training loss (MRSE): 0.430849	,Validation loss (MRSE): 0.801754	,Training loss (MSE): 6.63654e+16	,Validation loss (MSE): 1.93011e+17	,Training accuracy (MAE): -3.89473e+07	,Validation accuracy (MAE): -7.47557e+07	,Training accuracy (MRAE): 0.422422	,Validation accuracy (MRAE): 0.137027
Epoch: 208	,Training loss (MRSE): 0.40199	,Validation loss (MRSE): 0.799086	,Training loss (MSE): 4.17714e+16	,Validation loss (MSE): 1.92995e+17	,Training accuracy (MAE): -2.80202e+07	,Validation accuracy (MAE): -7.48433e+07	,Training accuracy (MRAE): 0.461238	,Validation accuracy (MRAE): 0.13883
Epoch: 216	,Training loss (MRSE): 0.50752	,Validation loss (MRSE): 0.810686	,Training loss (MSE): 9.10756e+16	,Validation loss (MSE): 1.93027e+17	,Training accuracy (MAE): -4.63414e+07	,Validation accuracy (MAE): -7.47223e+07	,Training accuracy (MRAE): 0.354266	,Validation accuracy (MRAE): 0.126305
Epoch: 224	,Training loss (MRSE): 0.426542	,Validation loss (MRSE): 0.795883	,Training loss (MSE): 4.77936e+16	,Validation loss (MSE): 1.92993e+17	,Training accuracy (MAE): -3.15321e+07	,Validation accuracy (MAE): -7.47887e+07	,Training accuracy (MRAE): 0.429736	,Validation accuracy (MRAE): 0.140624
Epoch: 232	,Training loss (MRSE): 0.387264	,Validation loss (MRSE): 0.797382	,Training loss (MSE): 3.25823e+16	,Validation loss (MSE): 1.92984e+17	,Training accuracy (MAE): -2.46429e+07	,Validation accuracy (MAE): -7.48537e+07	,Training accuracy (MRAE): 0.482275	,Validation accuracy (MRAE): 0.145505
Epoch: 240	,Training loss (MRSE): 0.531651	,Validation loss (MRSE): 0.801486	,Training loss (MSE): 9.80005e+16	,Validation loss (MSE): 1.93019e+17	,Training accuracy (MAE): -4.81593e+07	,Validation accuracy (MAE): -7.46764e+07	,Training accuracy (MRAE): 0.314119	,Validation accuracy (MRAE): 0.133229
Epoch: 248	,Training loss (MRSE): 0.547111	,Validation loss (MRSE): 0.823368	,Training loss (MSE): 8.29798e+18	,Validation loss (MSE): 1.93022e+17	,Training accuracy (MAE): -4.03668e+08	,Validation accuracy (MAE): -7.5818e+07	,Training accuracy (MRAE): 0.31464	,Validation accuracy (MRAE): 0.119151
Epoch: 256	,Training loss (MRSE): 0.435674	,Validation loss (MRSE): 0.793834	,Training loss (MSE): 9.40146e+16	,Validation loss (MSE): 1.93013e+17	,Training accuracy (MAE): -4.66702e+07	,Validation accuracy (MAE): -7.47091e+07	,Training accuracy (MRAE): 0.413121	,Validation accuracy (MRAE): 0.149131
