Epoch: 0	,Training loss (MRSE): 1.00046	,Validation loss (MRSE): 1.00822	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): -0.000228858	,Validation accuracy (MRAE): -0.00403415
Epoch: 8	,Training loss (MRSE): 1.00046	,Validation loss (MRSE): 1.00822	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): -0.000228951	,Validation accuracy (MRAE): -0.00403422
Epoch: 16	,Training loss (MRSE): 1.00046	,Validation loss (MRSE): 1.00822	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): -0.000228951	,Validation accuracy (MRAE): -0.00403422
Epoch: 24	,Training loss (MRSE): 1.00046	,Validation loss (MRSE): 1.00822	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): -0.000228951	,Validation accuracy (MRAE): -0.00403422
Epoch: 32	,Training loss (MRSE): 1.00046	,Validation loss (MRSE): 1.00822	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): -0.000228951	,Validation accuracy (MRAE): -0.00403422
Epoch: 40	,Training loss (MRSE): 1.00046	,Validation loss (MRSE): 1.00822	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): -0.000228951	,Validation accuracy (MRAE): -0.00403422
Epoch: 48	,Training loss (MRSE): 1.00046	,Validation loss (MRSE): 1.00822	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): -0.000228951	,Validation accuracy (MRAE): -0.00403422
Epoch: 56	,Training loss (MRSE): 1.00046	,Validation loss (MRSE): 1.00822	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): -0.000228951	,Validation accuracy (MRAE): -0.00403422
Epoch: 64	,Training loss (MRSE): 1.00046	,Validation loss (MRSE): 1.00822	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): -0.000228951	,Validation accuracy (MRAE): -0.00403422
Epoch: 72	,Training loss (MRSE): 1.00046	,Validation loss (MRSE): 1.00822	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): -0.000228951	,Validation accuracy (MRAE): -0.00403422
Epoch: 80	,Training loss (MRSE): 1.00046	,Validation loss (MRSE): 1.00822	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): -0.000228951	,Validation accuracy (MRAE): -0.00403422
Epoch: 88	,Training loss (MRSE): 1.00046	,Validation loss (MRSE): 1.00822	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): -0.000228951	,Validation accuracy (MRAE): -0.00403422
Epoch: 96	,Training loss (MRSE): 1.00046	,Validation loss (MRSE): 1.00822	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): -0.000228951	,Validation accuracy (MRAE): -0.00403422
Epoch: 104	,Training loss (MRSE): 1.00046	,Validation loss (MRSE): 1.00822	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): -0.000228951	,Validation accuracy (MRAE): -0.00403422
Epoch: 112	,Training loss (MRSE): 1.00046	,Validation loss (MRSE): 1.00822	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): -0.000228951	,Validation accuracy (MRAE): -0.00403422
Epoch: 120	,Training loss (MRSE): 1.00046	,Validation loss (MRSE): 1.00822	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): -0.000228951	,Validation accuracy (MRAE): -0.00403422
Epoch: 128	,Training loss (MRSE): 1.00046	,Validation loss (MRSE): 1.00822	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): -0.000228951	,Validation accuracy (MRAE): -0.00403422
Epoch: 136	,Training loss (MRSE): 1.00046	,Validation loss (MRSE): 1.00822	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): -0.000228951	,Validation accuracy (MRAE): -0.00403422
Epoch: 144	,Training loss (MRSE): 1.00046	,Validation loss (MRSE): 1.00822	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): -0.000228951	,Validation accuracy (MRAE): -0.00403422
