Epoch: 0	,Training loss (MRSE): 0.697206	,Validation loss (MRSE): 0.803954	,Training loss (MSE): 1.52883e+17	,Validation loss (MSE): 1.93023e+17	,Training accuracy (MAE): -6.03714e+07	,Validation accuracy (MAE): -7.46163e+07	,Training accuracy (MRAE): 0.21717	,Validation accuracy (MRAE): 0.137119
Epoch: 2	,Training loss (MRSE): 0.700862	,Validation loss (MRSE): 0.805852	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46194e+07	,Training accuracy (MRAE): 0.218836	,Validation accuracy (MRAE): 0.13861
Epoch: 4	,Training loss (MRSE): 0.701265	,Validation loss (MRSE): 0.806056	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46197e+07	,Training accuracy (MRAE): 0.219006	,Validation accuracy (MRAE): 0.138623
Epoch: 6	,Training loss (MRSE): 0.702456	,Validation loss (MRSE): 0.806656	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46206e+07	,Training accuracy (MRAE): 0.218788	,Validation accuracy (MRAE): 0.138527
Epoch: 8	,Training loss (MRSE): 0.70067	,Validation loss (MRSE): 0.805754	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03707e+07	,Validation accuracy (MAE): -7.46193e+07	,Training accuracy (MRAE): 0.218764	,Validation accuracy (MRAE): 0.138611
Epoch: 10	,Training loss (MRSE): 0.702509	,Validation loss (MRSE): 0.806683	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46206e+07	,Training accuracy (MRAE): 0.218715	,Validation accuracy (MRAE): 0.13851
Epoch: 12	,Training loss (MRSE): 0.702306	,Validation loss (MRSE): 0.806581	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46205e+07	,Training accuracy (MRAE): 0.218988	,Validation accuracy (MRAE): 0.138577
Epoch: 14	,Training loss (MRSE): 0.703148	,Validation loss (MRSE): 0.807003	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.4621e+07	,Training accuracy (MRAE): 0.217724	,Validation accuracy (MRAE): 0.138293
Epoch: 16	,Training loss (MRSE): 0.702747	,Validation loss (MRSE): 0.806802	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46208e+07	,Training accuracy (MRAE): 0.218382	,Validation accuracy (MRAE): 0.138438
Epoch: 18	,Training loss (MRSE): 0.702591	,Validation loss (MRSE): 0.806724	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46207e+07	,Training accuracy (MRAE): 0.218604	,Validation accuracy (MRAE): 0.138485
Epoch: 20	,Training loss (MRSE): 0.702591	,Validation loss (MRSE): 0.806724	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46207e+07	,Training accuracy (MRAE): 0.218605	,Validation accuracy (MRAE): 0.138485
Epoch: 22	,Training loss (MRSE): 0.701272	,Validation loss (MRSE): 0.80606	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46197e+07	,Training accuracy (MRAE): 0.219007	,Validation accuracy (MRAE): 0.138622
