Epoch: 0	,Training loss (MRSE): 0.805692	,Validation loss (MRSE): 0.876165	,Training loss (MSE): 1.52545e+17	,Validation loss (MSE): 1.92618e+17	,Training accuracy (MAE): -6.13443e+07	,Validation accuracy (MAE): -7.60646e+07	,Training accuracy (MRAE): 0.120633	,Validation accuracy (MRAE): 0.0791445
Epoch: 2	,Training loss (MRSE): 0.732869	,Validation loss (MRSE): 0.773516	,Training loss (MSE): 1.5289e+17	,Validation loss (MSE): 1.93033e+17	,Training accuracy (MAE): -6.03814e+07	,Validation accuracy (MAE): -7.46073e+07	,Training accuracy (MRAE): 0.184327	,Validation accuracy (MRAE): 0.168471
Epoch: 4	,Training loss (MRSE): 0.730003	,Validation loss (MRSE): 0.849708	,Training loss (MSE): 1.52772e+17	,Validation loss (MSE): 1.93005e+17	,Training accuracy (MAE): -6.0333e+07	,Validation accuracy (MAE): -7.48223e+07	,Training accuracy (MRAE): 0.177112	,Validation accuracy (MRAE): 0.0977746
Epoch: 6	,Training loss (MRSE): 0.724908	,Validation loss (MRSE): 0.803966	,Training loss (MSE): 1.52827e+17	,Validation loss (MSE): 1.93032e+17	,Training accuracy (MAE): -6.03451e+07	,Validation accuracy (MAE): -7.46634e+07	,Training accuracy (MRAE): 0.186192	,Validation accuracy (MRAE): 0.130311
Epoch: 8	,Training loss (MRSE): 0.718101	,Validation loss (MRSE): 0.79997	,Training loss (MSE): 1.52856e+17	,Validation loss (MSE): 1.93017e+17	,Training accuracy (MAE): -6.03459e+07	,Validation accuracy (MAE): -7.46361e+07	,Training accuracy (MRAE): 0.189309	,Validation accuracy (MRAE): 0.138619
Epoch: 10	,Training loss (MRSE): 0.751764	,Validation loss (MRSE): 0.869281	,Training loss (MSE): 1.52501e+17	,Validation loss (MSE): 1.92945e+17	,Training accuracy (MAE): -6.04058e+07	,Validation accuracy (MAE): -7.5184e+07	,Training accuracy (MRAE): 0.167692	,Validation accuracy (MRAE): 0.0879549
Epoch: 12	,Training loss (MRSE): 0.766729	,Validation loss (MRSE): 0.855676	,Training loss (MSE): 1.52711e+17	,Validation loss (MSE): 1.92877e+17	,Training accuracy (MAE): -6.04519e+07	,Validation accuracy (MAE): -7.48641e+07	,Training accuracy (MRAE): 0.147834	,Validation accuracy (MRAE): 0.0938185
Epoch: 14	,Training loss (MRSE): 0.797511	,Validation loss (MRSE): 0.859764	,Training loss (MSE): 1.52828e+17	,Validation loss (MSE): 1.9296e+17	,Training accuracy (MAE): -6.0453e+07	,Validation accuracy (MAE): -7.47969e+07	,Training accuracy (MRAE): 0.131756	,Validation accuracy (MRAE): 0.0923258
Epoch: 16	,Training loss (MRSE): 0.74771	,Validation loss (MRSE): 0.784307	,Training loss (MSE): 1.52891e+17	,Validation loss (MSE): 1.93033e+17	,Training accuracy (MAE): -6.03844e+07	,Validation accuracy (MAE): -7.46067e+07	,Training accuracy (MRAE): 0.168121	,Validation accuracy (MRAE): 0.147682
Epoch: 18	,Training loss (MRSE): 0.702014	,Validation loss (MRSE): 0.805554	,Training loss (MSE): 1.52886e+17	,Validation loss (MSE): 1.93028e+17	,Training accuracy (MAE): -6.03723e+07	,Validation accuracy (MAE): -7.46116e+07	,Training accuracy (MRAE): 0.206668	,Validation accuracy (MRAE): 0.122896
Epoch: 20	,Training loss (MRSE): 0.741483	,Validation loss (MRSE): 0.833009	,Training loss (MSE): 1.52865e+17	,Validation loss (MSE): 1.93008e+17	,Training accuracy (MAE): -6.03698e+07	,Validation accuracy (MAE): -7.46669e+07	,Training accuracy (MRAE): 0.170789	,Validation accuracy (MRAE): 0.112735
Epoch: 22	,Training loss (MRSE): 0.751642	,Validation loss (MRSE): 0.831859	,Training loss (MSE): 1.52867e+17	,Validation loss (MSE): 1.93003e+17	,Training accuracy (MAE): -6.03872e+07	,Validation accuracy (MAE): -7.46623e+07	,Training accuracy (MRAE): 0.162705	,Validation accuracy (MRAE): 0.112144
Epoch: 24	,Training loss (MRSE): 0.789695	,Validation loss (MRSE): 0.853065	,Training loss (MSE): 1.52842e+17	,Validation loss (MSE): 1.92972e+17	,Training accuracy (MAE): -6.04331e+07	,Validation accuracy (MAE): -7.47479e+07	,Training accuracy (MRAE): 0.133901	,Validation accuracy (MRAE): 0.0948684
Epoch: 26	,Training loss (MRSE): 0.698744	,Validation loss (MRSE): 0.805905	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03704e+07	,Validation accuracy (MAE): -7.46195e+07	,Training accuracy (MRAE): 0.220712	,Validation accuracy (MRAE): 0.138603
Epoch: 28	,Training loss (MRSE): 0.78981	,Validation loss (MRSE): 0.85349	,Training loss (MSE): 1.52841e+17	,Validation loss (MSE): 1.92971e+17	,Training accuracy (MAE): -6.04349e+07	,Validation accuracy (MAE): -7.47512e+07	,Training accuracy (MRAE): 0.134185	,Validation accuracy (MRAE): 0.094653
