Epoch: 0	,Training loss (MRSE): 0.979358	,Validation loss (MRSE): 0.974759	,Training loss (MSE): 1.56665e+19	,Validation loss (MSE): 1.55929e+19	,Training accuracy (MAE): -3.93919e+09	,Validation accuracy (MAE): -3.92498e+09	,Training accuracy (MRAE): 0.0150999	,Validation accuracy (MRAE): 0.0186541
Epoch: 2	,Training loss (MRSE): 0.979356	,Validation loss (MRSE): 0.974757	,Training loss (MSE): 1.56624e+19	,Validation loss (MSE): 1.55888e+19	,Training accuracy (MAE): -3.93867e+09	,Validation accuracy (MAE): -3.92445e+09	,Training accuracy (MRAE): 0.0151019	,Validation accuracy (MRAE): 0.0186566
Epoch: 4	,Training loss (MRSE): 0.979355	,Validation loss (MRSE): 0.974756	,Training loss (MSE): 1.56585e+19	,Validation loss (MSE): 1.5585e+19	,Training accuracy (MAE): -3.93818e+09	,Validation accuracy (MAE): -3.92397e+09	,Training accuracy (MRAE): 0.0151038	,Validation accuracy (MRAE): 0.0186589
Epoch: 6	,Training loss (MRSE): 0.979346	,Validation loss (MRSE): 0.974745	,Training loss (MSE): 1.56326e+19	,Validation loss (MSE): 1.55592e+19	,Training accuracy (MAE): -3.9349e+09	,Validation accuracy (MAE): -3.92068e+09	,Training accuracy (MRAE): 0.0151162	,Validation accuracy (MRAE): 0.0186742
Epoch: 8	,Training loss (MRSE): 0.999987	,Validation loss (MRSE): 0.999772	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): 6.47946e-06	,Validation accuracy (MRAE): 0.000114178
Epoch: 10	,Training loss (MRSE): 0.999998	,Validation loss (MRSE): 0.999961	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): 1.09941e-06	,Validation accuracy (MRAE): 1.94345e-05
Epoch: 12	,Training loss (MRSE): 0.97934	,Validation loss (MRSE): 0.974737	,Training loss (MSE): 1.56143e+19	,Validation loss (MSE): 1.55409e+19	,Training accuracy (MAE): -3.93257e+09	,Validation accuracy (MAE): -3.91835e+09	,Training accuracy (MRAE): 0.015125	,Validation accuracy (MRAE): 0.0186851
Epoch: 14	,Training loss (MRSE): 0.999979	,Validation loss (MRSE): 0.99963	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): 1.04981e-05	,Validation accuracy (MRAE): 0.00018506
Epoch: 16	,Training loss (MRSE): 0.999995	,Validation loss (MRSE): 0.999903	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): 2.74167e-06	,Validation accuracy (MRAE): 4.83416e-05
Epoch: 18	,Training loss (MRSE): 0.979307	,Validation loss (MRSE): 0.974698	,Training loss (MSE): 1.55218e+19	,Validation loss (MSE): 1.54488e+19	,Training accuracy (MAE): -3.92079e+09	,Validation accuracy (MAE): -3.90658e+09	,Training accuracy (MRAE): 0.0151697	,Validation accuracy (MRAE): 0.0187404
Epoch: 20	,Training loss (MRSE): 0.979355	,Validation loss (MRSE): 0.974755	,Training loss (MSE): 1.56569e+19	,Validation loss (MSE): 1.55834e+19	,Training accuracy (MAE): -3.93798e+09	,Validation accuracy (MAE): -3.92377e+09	,Training accuracy (MRAE): 0.0151045	,Validation accuracy (MRAE): 0.0186598
