Epoch: 0	,Training loss (MRSE): 0.698371	,Validation loss (MRSE): 0.804555	,Training loss (MSE): 1.52882e+17	,Validation loss (MSE): 1.93022e+17	,Training accuracy (MAE): -6.03711e+07	,Validation accuracy (MAE): -7.46174e+07	,Training accuracy (MRAE): 0.217718	,Validation accuracy (MRAE): 0.1381
Epoch: 2	,Training loss (MRSE): 0.702169	,Validation loss (MRSE): 0.806496	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46203e+07	,Training accuracy (MRAE): 0.219156	,Validation accuracy (MRAE): 0.138626
Epoch: 4	,Training loss (MRSE): 0.702374	,Validation loss (MRSE): 0.806599	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46205e+07	,Training accuracy (MRAE): 0.218886	,Validation accuracy (MRAE): 0.138554
Epoch: 6	,Training loss (MRSE): 0.701656	,Validation loss (MRSE): 0.806237	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.462e+07	,Training accuracy (MRAE): 0.219177	,Validation accuracy (MRAE): 0.138653
Epoch: 8	,Training loss (MRSE): 0.702754	,Validation loss (MRSE): 0.80679	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46207e+07	,Training accuracy (MRAE): 0.218363	,Validation accuracy (MRAE): 0.138436
Epoch: 10	,Training loss (MRSE): 0.701527	,Validation loss (MRSE): 0.806172	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46199e+07	,Training accuracy (MRAE): 0.219112	,Validation accuracy (MRAE): 0.138641
Epoch: 12	,Training loss (MRSE): 0.702937	,Validation loss (MRSE): 0.806882	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46209e+07	,Training accuracy (MRAE): 0.218082	,Validation accuracy (MRAE): 0.138385
Epoch: 14	,Training loss (MRSE): 0.702904	,Validation loss (MRSE): 0.806865	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46208e+07	,Training accuracy (MRAE): 0.218138	,Validation accuracy (MRAE): 0.138394
Epoch: 16	,Training loss (MRSE): 0.702801	,Validation loss (MRSE): 0.806813	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46208e+07	,Training accuracy (MRAE): 0.218296	,Validation accuracy (MRAE): 0.138422
Epoch: 18	,Training loss (MRSE): 0.700871	,Validation loss (MRSE): 0.80584	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46194e+07	,Training accuracy (MRAE): 0.218823	,Validation accuracy (MRAE): 0.138609
Epoch: 20	,Training loss (MRSE): 0.702113	,Validation loss (MRSE): 0.806468	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46203e+07	,Training accuracy (MRAE): 0.219227	,Validation accuracy (MRAE): 0.138647
Epoch: 22	,Training loss (MRSE): 0.701655	,Validation loss (MRSE): 0.806237	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.462e+07	,Training accuracy (MRAE): 0.219175	,Validation accuracy (MRAE): 0.138652
Epoch: 24	,Training loss (MRSE): 0.702299	,Validation loss (MRSE): 0.806561	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46204e+07	,Training accuracy (MRAE): 0.218991	,Validation accuracy (MRAE): 0.13858
Epoch: 26	,Training loss (MRSE): 0.701643	,Validation loss (MRSE): 0.806231	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.462e+07	,Training accuracy (MRAE): 0.219168	,Validation accuracy (MRAE): 0.13865
Epoch: 28	,Training loss (MRSE): 0.701932	,Validation loss (MRSE): 0.806377	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46202e+07	,Training accuracy (MRAE): 0.219319	,Validation accuracy (MRAE): 0.138683
Epoch: 30	,Training loss (MRSE): 0.701898	,Validation loss (MRSE): 0.80636	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46201e+07	,Training accuracy (MRAE): 0.2193	,Validation accuracy (MRAE): 0.138678
Epoch: 32	,Training loss (MRSE): 0.701163	,Validation loss (MRSE): 0.805989	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46196e+07	,Training accuracy (MRAE): 0.218942	,Validation accuracy (MRAE): 0.138615
Epoch: 34	,Training loss (MRSE): 0.701844	,Validation loss (MRSE): 0.806333	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46201e+07	,Training accuracy (MRAE): 0.219271	,Validation accuracy (MRAE): 0.138671
Epoch: 36	,Training loss (MRSE): 0.702106	,Validation loss (MRSE): 0.806465	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46203e+07	,Training accuracy (MRAE): 0.219239	,Validation accuracy (MRAE): 0.13865
Epoch: 38	,Training loss (MRSE): 0.702411	,Validation loss (MRSE): 0.806618	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46205e+07	,Training accuracy (MRAE): 0.218847	,Validation accuracy (MRAE): 0.138542
Epoch: 40	,Training loss (MRSE): 0.700776	,Validation loss (MRSE): 0.805793	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03707e+07	,Validation accuracy (MAE): -7.46193e+07	,Training accuracy (MRAE): 0.218785	,Validation accuracy (MRAE): 0.138608
