Epoch: 0	,Training loss (MRSE): 0.838335	,Validation loss (MRSE): 0.852512	,Training loss (MSE): 1.52864e+17	,Validation loss (MSE): 1.92596e+17	,Training accuracy (MAE): -6.08967e+07	,Validation accuracy (MAE): -7.494e+07	,Training accuracy (MRAE): 0.0959416	,Validation accuracy (MRAE): 0.0926174
Epoch: 2	,Training loss (MRSE): 0.715986	,Validation loss (MRSE): 0.833988	,Training loss (MSE): 4.97645e+20	,Validation loss (MSE): 3.70341e+18	,Training accuracy (MAE): -1.3881e+09	,Validation accuracy (MAE): -4.04911e+08	,Training accuracy (MRAE): 0.190795	,Validation accuracy (MRAE): 0.113966
Epoch: 4	,Training loss (MRSE): 0.704477	,Validation loss (MRSE): 0.849391	,Training loss (MSE): 1.52056e+17	,Validation loss (MSE): 1.9333e+17	,Training accuracy (MAE): -6.12124e+07	,Validation accuracy (MAE): -7.69318e+07	,Training accuracy (MRAE): 0.202086	,Validation accuracy (MRAE): 0.0980049
Epoch: 6	,Training loss (MRSE): 0.684186	,Validation loss (MRSE): 0.831893	,Training loss (MSE): 1.51919e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.00252e+07	,Validation accuracy (MAE): -7.50507e+07	,Training accuracy (MRAE): 0.210539	,Validation accuracy (MRAE): 0.111911
Epoch: 8	,Training loss (MRSE): 0.614942	,Validation loss (MRSE): 0.780851	,Training loss (MSE): 1.48166e+17	,Validation loss (MSE): 1.92855e+17	,Training accuracy (MAE): -5.88641e+07	,Validation accuracy (MAE): -7.55042e+07	,Training accuracy (MRAE): 0.268423	,Validation accuracy (MRAE): 0.156414
Epoch: 10	,Training loss (MRSE): 0.594383	,Validation loss (MRSE): 0.776059	,Training loss (MSE): 1.47897e+17	,Validation loss (MSE): 1.92996e+17	,Training accuracy (MAE): -5.92023e+07	,Validation accuracy (MAE): -7.48054e+07	,Training accuracy (MRAE): 0.284889	,Validation accuracy (MRAE): 0.152158
Epoch: 12	,Training loss (MRSE): 0.582369	,Validation loss (MRSE): 0.773728	,Training loss (MSE): 1.46841e+17	,Validation loss (MSE): 1.93001e+17	,Training accuracy (MAE): -5.87232e+07	,Validation accuracy (MAE): -7.48361e+07	,Training accuracy (MRAE): 0.286925	,Validation accuracy (MRAE): 0.156222
Epoch: 14	,Training loss (MRSE): 0.571101	,Validation loss (MRSE): 0.831055	,Training loss (MSE): 9.04119e+16	,Validation loss (MSE): 1.93135e+17	,Training accuracy (MAE): -4.32358e+07	,Validation accuracy (MAE): -7.66193e+07	,Training accuracy (MRAE): 0.299811	,Validation accuracy (MRAE): 0.110161
Epoch: 16	,Training loss (MRSE): 0.558836	,Validation loss (MRSE): 0.805078	,Training loss (MSE): 1.38709e+17	,Validation loss (MSE): 1.93019e+17	,Training accuracy (MAE): -5.6088e+07	,Validation accuracy (MAE): -7.50125e+07	,Training accuracy (MRAE): 0.30369	,Validation accuracy (MRAE): 0.129568
Epoch: 18	,Training loss (MRSE): 0.51821	,Validation loss (MRSE): 0.776286	,Training loss (MSE): 2.11051e+17	,Validation loss (MSE): 1.93031e+17	,Training accuracy (MAE): -5.57781e+07	,Validation accuracy (MAE): -7.61075e+07	,Training accuracy (MRAE): 0.342396	,Validation accuracy (MRAE): 0.159425
Epoch: 20	,Training loss (MRSE): 0.496775	,Validation loss (MRSE): 0.819787	,Training loss (MSE): 7.59191e+16	,Validation loss (MSE): 1.93084e+17	,Training accuracy (MAE): -4.10438e+07	,Validation accuracy (MAE): -7.58488e+07	,Training accuracy (MRAE): 0.351266	,Validation accuracy (MRAE): 0.112552
