Epoch: 0	,Training loss (MRSE): 0.78768	,Validation loss (MRSE): 0.857422	,Training loss (MSE): 1.98571e+23	,Validation loss (MSE): 5.9021e+21	,Training accuracy (MAE): -2.80682e+10	,Validation accuracy (MAE): -1.23774e+10	,Training accuracy (MRAE): 0.136869	,Validation accuracy (MRAE): 0.0887476
Epoch: 2	,Training loss (MRSE): 0.681989	,Validation loss (MRSE): 0.794609	,Training loss (MSE): 1.50822e+17	,Validation loss (MSE): 1.93418e+17	,Training accuracy (MAE): -6.02105e+07	,Validation accuracy (MAE): -7.88162e+07	,Training accuracy (MRAE): 0.219578	,Validation accuracy (MRAE): 0.149838
Epoch: 4	,Training loss (MRSE): 0.719111	,Validation loss (MRSE): 0.791828	,Training loss (MSE): 6.10089e+17	,Validation loss (MSE): 3.56326e+18	,Training accuracy (MAE): -1.3983e+08	,Validation accuracy (MAE): -3.43992e+08	,Training accuracy (MRAE): 0.193843	,Validation accuracy (MRAE): 0.14798
Epoch: 6	,Training loss (MRSE): 0.716994	,Validation loss (MRSE): 0.796546	,Training loss (MSE): 1.45875e+17	,Validation loss (MSE): 3.22304e+17	,Training accuracy (MAE): -7.45715e+07	,Validation accuracy (MAE): -1.29596e+08	,Training accuracy (MRAE): 0.188969	,Validation accuracy (MRAE): 0.142259
Epoch: 8	,Training loss (MRSE): 0.676164	,Validation loss (MRSE): 0.780229	,Training loss (MSE): 1.5416e+17	,Validation loss (MSE): 1.9745e+17	,Training accuracy (MAE): -6.80241e+07	,Validation accuracy (MAE): -8.77034e+07	,Training accuracy (MRAE): 0.222592	,Validation accuracy (MRAE): 0.158151
Epoch: 10	,Training loss (MRSE): 0.619966	,Validation loss (MRSE): 0.830699	,Training loss (MSE): 1.20674e+17	,Validation loss (MSE): 1.94212e+17	,Training accuracy (MAE): -5.49361e+07	,Validation accuracy (MAE): -8.05064e+07	,Training accuracy (MRAE): 0.264639	,Validation accuracy (MRAE): 0.113808
Epoch: 12	,Training loss (MRSE): 0.610507	,Validation loss (MRSE): 0.817473	,Training loss (MSE): 3.47239e+17	,Validation loss (MSE): 2.17304e+17	,Training accuracy (MAE): -8.3396e+07	,Validation accuracy (MAE): -9.85242e+07	,Training accuracy (MRAE): 0.265398	,Validation accuracy (MRAE): 0.118677
Epoch: 14	,Training loss (MRSE): 0.654389	,Validation loss (MRSE): 0.811692	,Training loss (MSE): 1.48282e+17	,Validation loss (MSE): 1.9303e+17	,Training accuracy (MAE): -5.93347e+07	,Validation accuracy (MAE): -7.48172e+07	,Training accuracy (MRAE): 0.229322	,Validation accuracy (MRAE): 0.120546
Epoch: 16	,Training loss (MRSE): 0.620638	,Validation loss (MRSE): 0.788082	,Training loss (MSE): 1.82635e+17	,Validation loss (MSE): 2.00276e+17	,Training accuracy (MAE): -5.94774e+07	,Validation accuracy (MAE): -9.07051e+07	,Training accuracy (MRAE): 0.264476	,Validation accuracy (MRAE): 0.151527
Epoch: 18	,Training loss (MRSE): 0.575622	,Validation loss (MRSE): 0.818937	,Training loss (MSE): 1.52592e+17	,Validation loss (MSE): 1.93109e+17	,Training accuracy (MAE): -5.47851e+07	,Validation accuracy (MAE): -7.64461e+07	,Training accuracy (MRAE): 0.292274	,Validation accuracy (MRAE): 0.116585
Epoch: 20	,Training loss (MRSE): 0.578828	,Validation loss (MRSE): 0.775275	,Training loss (MSE): 1.40838e+17	,Validation loss (MSE): 1.93015e+17	,Training accuracy (MAE): -5.75362e+07	,Validation accuracy (MAE): -7.47839e+07	,Training accuracy (MRAE): 0.290074	,Validation accuracy (MRAE): 0.156347
Epoch: 22	,Training loss (MRSE): 0.506599	,Validation loss (MRSE): 0.818215	,Training loss (MSE): 7.12351e+17	,Validation loss (MSE): 1.93166e+17	,Training accuracy (MAE): -6.51042e+07	,Validation accuracy (MAE): -7.70858e+07	,Training accuracy (MRAE): 0.345955	,Validation accuracy (MRAE): 0.114715
Epoch: 24	,Training loss (MRSE): 0.545731	,Validation loss (MRSE): 0.808564	,Training loss (MSE): 1.08146e+17	,Validation loss (MSE): 1.93031e+17	,Training accuracy (MAE): -5.06617e+07	,Validation accuracy (MAE): -7.50581e+07	,Training accuracy (MRAE): 0.310101	,Validation accuracy (MRAE): 0.125351
Epoch: 26	,Training loss (MRSE): 0.527512	,Validation loss (MRSE): 0.769159	,Training loss (MSE): 9.55713e+18	,Validation loss (MSE): 1.93702e+17	,Training accuracy (MAE): -3.74644e+08	,Validation accuracy (MAE): -8.00511e+07	,Training accuracy (MRAE): 0.335006	,Validation accuracy (MRAE): 0.164326
Epoch: 28	,Training loss (MRSE): 0.466034	,Validation loss (MRSE): 0.80291	,Training loss (MSE): 2.62928e+17	,Validation loss (MSE): 1.93211e+17	,Training accuracy (MAE): -6.75362e+07	,Validation accuracy (MAE): -7.74449e+07	,Training accuracy (MRAE): 0.38286	,Validation accuracy (MRAE): 0.127725
Epoch: 30	,Training loss (MRSE): 0.482449	,Validation loss (MRSE): 0.796632	,Training loss (MSE): 9.68919e+16	,Validation loss (MSE): 1.93025e+17	,Training accuracy (MAE): -4.74077e+07	,Validation accuracy (MAE): -7.50933e+07	,Training accuracy (MRAE): 0.366893	,Validation accuracy (MRAE): 0.134986
Epoch: 32	,Training loss (MRSE): 0.493482	,Validation loss (MRSE): 0.782667	,Training loss (MSE): 1.09093e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -5.04645e+07	,Validation accuracy (MAE): -7.50408e+07	,Training accuracy (MRAE): 0.358313	,Validation accuracy (MRAE): 0.150119
Epoch: 34	,Training loss (MRSE): 0.423332	,Validation loss (MRSE): 0.768541	,Training loss (MSE): 3.59349e+16	,Validation loss (MSE): 1.93014e+17	,Training accuracy (MAE): -2.4394e+07	,Validation accuracy (MAE): -7.54886e+07	,Training accuracy (MRAE): 0.434875	,Validation accuracy (MRAE): 0.172071
Epoch: 36	,Training loss (MRSE): 0.618303	,Validation loss (MRSE): 0.82442	,Training loss (MSE): 1.2155e+17	,Validation loss (MSE): 1.93031e+17	,Training accuracy (MAE): -5.22624e+07	,Validation accuracy (MAE): -7.47218e+07	,Training accuracy (MRAE): 0.25615	,Validation accuracy (MRAE): 0.12283
Epoch: 38	,Training loss (MRSE): 0.468711	,Validation loss (MRSE): 0.815115	,Training loss (MSE): 6.41558e+16	,Validation loss (MSE): 1.93027e+17	,Training accuracy (MAE): -3.77404e+07	,Validation accuracy (MAE): -7.49705e+07	,Training accuracy (MRAE): 0.379232	,Validation accuracy (MRAE): 0.117291
Epoch: 40	,Training loss (MRSE): 0.4474	,Validation loss (MRSE): 0.796684	,Training loss (MSE): 6.6812e+16	,Validation loss (MSE): 1.93025e+17	,Training accuracy (MAE): -3.78089e+07	,Validation accuracy (MAE): -7.49666e+07	,Training accuracy (MRAE): 0.400584	,Validation accuracy (MRAE): 0.133931
Epoch: 42	,Training loss (MRSE): 0.39357	,Validation loss (MRSE): 0.770993	,Training loss (MSE): 1.30206e+17	,Validation loss (MSE): 1.93051e+17	,Training accuracy (MAE): -3.99028e+07	,Validation accuracy (MAE): -7.58556e+07	,Training accuracy (MRAE): 0.457919	,Validation accuracy (MRAE): 0.164173
Epoch: 44	,Training loss (MRSE): 0.401492	,Validation loss (MRSE): 0.771975	,Training loss (MSE): 4.46938e+17	,Validation loss (MSE): 1.9304e+17	,Training accuracy (MAE): -8.48027e+07	,Validation accuracy (MAE): -7.59346e+07	,Training accuracy (MRAE): 0.445616	,Validation accuracy (MRAE): 0.165154
Epoch: 46	,Training loss (MRSE): 0.420812	,Validation loss (MRSE): 0.776315	,Training loss (MSE): 6.88528e+17	,Validation loss (MSE): 1.93108e+17	,Training accuracy (MAE): -1.02573e+08	,Validation accuracy (MAE): -7.67062e+07	,Training accuracy (MRAE): 0.423989	,Validation accuracy (MRAE): 0.158793
Epoch: 48	,Training loss (MRSE): 0.401158	,Validation loss (MRSE): 0.77385	,Training loss (MSE): 2.29556e+17	,Validation loss (MSE): 1.93184e+17	,Training accuracy (MAE): -5.12778e+07	,Validation accuracy (MAE): -7.68595e+07	,Training accuracy (MRAE): 0.441309	,Validation accuracy (MRAE): 0.162305
Epoch: 50	,Training loss (MRSE): 0.492017	,Validation loss (MRSE): 0.797569	,Training loss (MSE): 1.15052e+17	,Validation loss (MSE): 1.93024e+17	,Training accuracy (MAE): -5.17251e+07	,Validation accuracy (MAE): -7.49041e+07	,Training accuracy (MRAE): 0.359703	,Validation accuracy (MRAE): 0.134253
Epoch: 52	,Training loss (MRSE): 0.395667	,Validation loss (MRSE): 0.800607	,Training loss (MSE): 5.1692e+16	,Validation loss (MSE): 1.93037e+17	,Training accuracy (MAE): -3.33808e+07	,Validation accuracy (MAE): -7.52759e+07	,Training accuracy (MRAE): 0.44528	,Validation accuracy (MRAE): 0.131853
Epoch: 54	,Training loss (MRSE): 0.407843	,Validation loss (MRSE): 0.77556	,Training loss (MSE): 7.24753e+16	,Validation loss (MSE): 1.9304e+17	,Training accuracy (MAE): -3.49927e+07	,Validation accuracy (MAE): -7.56372e+07	,Training accuracy (MRAE): 0.436714	,Validation accuracy (MRAE): 0.159152
Epoch: 56	,Training loss (MRSE): 0.39173	,Validation loss (MRSE): 0.77535	,Training loss (MSE): 3.88197e+17	,Validation loss (MSE): 1.93161e+17	,Training accuracy (MAE): -7.82358e+07	,Validation accuracy (MAE): -7.68879e+07	,Training accuracy (MRAE): 0.448441	,Validation accuracy (MRAE): 0.162887
Epoch: 58	,Training loss (MRSE): 0.346507	,Validation loss (MRSE): 0.780009	,Training loss (MSE): 1.97774e+17	,Validation loss (MSE): 1.93039e+17	,Training accuracy (MAE): -4.71532e+07	,Validation accuracy (MAE): -7.55483e+07	,Training accuracy (MRAE): 0.502032	,Validation accuracy (MRAE): 0.154671
Epoch: 60	,Training loss (MRSE): 0.371043	,Validation loss (MRSE): 0.774186	,Training loss (MSE): 7.1667e+16	,Validation loss (MSE): 1.93024e+17	,Training accuracy (MAE): -4.04082e+07	,Validation accuracy (MAE): -7.5178e+07	,Training accuracy (MRAE): 0.472101	,Validation accuracy (MRAE): 0.15889
Epoch: 62	,Training loss (MRSE): 0.33098	,Validation loss (MRSE): 0.793406	,Training loss (MSE): 5.33877e+16	,Validation loss (MSE): 1.93067e+17	,Training accuracy (MAE): -2.94331e+07	,Validation accuracy (MAE): -7.58631e+07	,Training accuracy (MRAE): 0.523463	,Validation accuracy (MRAE): 0.141125
