Epoch: 0	,Training loss (MRSE): 0.726713	,Validation loss (MRSE): 0.812702	,Training loss (MSE): 1.5282e+17	,Validation loss (MSE): 1.93032e+17	,Training accuracy (MAE): -6.033e+07	,Validation accuracy (MAE): -7.46898e+07	,Training accuracy (MRAE): 0.183233	,Validation accuracy (MRAE): 0.123512
Epoch: 2	,Training loss (MRSE): 0.701607	,Validation loss (MRSE): 0.809228	,Training loss (MSE): 1.5242e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.0315e+07	,Validation accuracy (MAE): -7.5204e+07	,Training accuracy (MRAE): 0.201205	,Validation accuracy (MRAE): 0.132964
Epoch: 4	,Training loss (MRSE): 0.684912	,Validation loss (MRSE): 0.81155	,Training loss (MSE): 1.52677e+17	,Validation loss (MSE): 1.93029e+17	,Training accuracy (MAE): -6.02704e+07	,Validation accuracy (MAE): -7.48429e+07	,Training accuracy (MRAE): 0.214583	,Validation accuracy (MRAE): 0.129769
Epoch: 6	,Training loss (MRSE): 0.663356	,Validation loss (MRSE): 0.799651	,Training loss (MSE): 1.52453e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.01959e+07	,Validation accuracy (MAE): -7.51145e+07	,Training accuracy (MRAE): 0.230559	,Validation accuracy (MRAE): 0.135172
Epoch: 8	,Training loss (MRSE): 0.659165	,Validation loss (MRSE): 0.82915	,Training loss (MSE): 1.52634e+17	,Validation loss (MSE): 1.93026e+17	,Training accuracy (MAE): -6.02405e+07	,Validation accuracy (MAE): -7.48938e+07	,Training accuracy (MRAE): 0.225211	,Validation accuracy (MRAE): 0.110808
Epoch: 10	,Training loss (MRSE): 0.643232	,Validation loss (MRSE): 0.791306	,Training loss (MSE): 1.52233e+17	,Validation loss (MSE): 1.9301e+17	,Training accuracy (MAE): -6.02273e+07	,Validation accuracy (MAE): -7.53303e+07	,Training accuracy (MRAE): 0.253121	,Validation accuracy (MRAE): 0.147099
Epoch: 12	,Training loss (MRSE): 0.631058	,Validation loss (MRSE): 0.783856	,Training loss (MSE): 1.52425e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.01462e+07	,Validation accuracy (MAE): -7.51178e+07	,Training accuracy (MRAE): 0.265395	,Validation accuracy (MRAE): 0.159949
Epoch: 14	,Training loss (MRSE): 0.628877	,Validation loss (MRSE): 0.811512	,Training loss (MSE): 1.52501e+17	,Validation loss (MSE): 1.93023e+17	,Training accuracy (MAE): -6.01507e+07	,Validation accuracy (MAE): -7.50188e+07	,Training accuracy (MRAE): 0.258817	,Validation accuracy (MRAE): 0.130214
Epoch: 16	,Training loss (MRSE): 0.638078	,Validation loss (MRSE): 0.815249	,Training loss (MSE): 1.52582e+17	,Validation loss (MSE): 1.93025e+17	,Training accuracy (MAE): -6.01743e+07	,Validation accuracy (MAE): -7.49219e+07	,Training accuracy (MRAE): 0.244782	,Validation accuracy (MRAE): 0.125207
Epoch: 18	,Training loss (MRSE): 0.625346	,Validation loss (MRSE): 0.808811	,Training loss (MSE): 1.5255e+17	,Validation loss (MSE): 1.93023e+17	,Training accuracy (MAE): -6.01129e+07	,Validation accuracy (MAE): -7.49637e+07	,Training accuracy (MRAE): 0.261409	,Validation accuracy (MRAE): 0.131662
Epoch: 20	,Training loss (MRSE): 0.606796	,Validation loss (MRSE): 0.796982	,Training loss (MSE): 1.52215e+17	,Validation loss (MSE): 1.93022e+17	,Training accuracy (MAE): -5.99546e+07	,Validation accuracy (MAE): -7.51466e+07	,Training accuracy (MRAE): 0.294125	,Validation accuracy (MRAE): 0.14702
