Epoch: 0:	Training loss (MRSE): 0.93309	,Validation loss (MRSE): 0.907786	,Training loss (MSE): 3.53049e+18	,Validation loss (MSE): 3.90332e+18	,Training accuracy (MAE): -1.08297e+09	,Validation accuracy (MAE): -1.09707e+09	,Training accuracy (MRAE): 0.045798	,Validation accuracy (MRAE): 0.063824
Epoch: 2:	Training loss (MRSE): 0.980544	,Validation loss (MRSE): 0.968295	,Training loss (MSE): 1.34316e+19	,Validation loss (MSE): 1.36266e+19	,Training accuracy (MAE): -3.52186e+09	,Validation accuracy (MAE): -3.51307e+09	,Training accuracy (MRAE): 0.0133112	,Validation accuracy (MRAE): 0.0256172
Epoch: 4:	Training loss (MRSE): 0.979041	,Validation loss (MRSE): 0.966954	,Training loss (MSE): 1.29999e+19	,Validation loss (MSE): 1.29263e+19	,Training accuracy (MAE): -3.52461e+09	,Validation accuracy (MAE): -3.48567e+09	,Training accuracy (MRAE): 0.0143568	,Validation accuracy (MRAE): 0.0273836
Epoch: 6:	Training loss (MRSE): 0.982312	,Validation loss (MRSE): 0.960156	,Training loss (MSE): 1.53294e+19	,Validation loss (MSE): 1.46236e+19	,Training accuracy (MAE): -3.87137e+09	,Validation accuracy (MAE): -3.70158e+09	,Training accuracy (MRAE): 0.0119829	,Validation accuracy (MRAE): 0.0311898
Epoch: 8:	Training loss (MRSE): 0.9801	,Validation loss (MRSE): 0.967837	,Training loss (MSE): 8.8126e+18	,Validation loss (MSE): 9.09335e+18	,Training accuracy (MAE): -2.90231e+09	,Validation accuracy (MAE): -2.92903e+09	,Training accuracy (MRAE): 0.0136771	,Validation accuracy (MRAE): 0.0259345
Epoch: 10:	Training loss (MRSE): 0.978128	,Validation loss (MRSE): 0.964875	,Training loss (MSE): 1.45854e+19	,Validation loss (MSE): 1.41657e+19	,Training accuracy (MAE): -3.76295e+09	,Validation accuracy (MAE): -3.64225e+09	,Training accuracy (MRAE): 0.0157359	,Validation accuracy (MRAE): 0.0273636
Epoch: 12:	Training loss (MRSE): 0.978233	,Validation loss (MRSE): 0.966731	,Training loss (MSE): 1.20808e+19	,Validation loss (MSE): 1.20154e+19	,Training accuracy (MAE): -3.34757e+09	,Validation accuracy (MAE): -3.32212e+09	,Training accuracy (MRAE): 0.015383	,Validation accuracy (MRAE): 0.0269635
Epoch: 14:	Training loss (MRSE): 0.981555	,Validation loss (MRSE): 0.96899	,Training loss (MSE): 1.54158e+19	,Validation loss (MSE): 1.49516e+19	,Training accuracy (MAE): -3.89329e+09	,Validation accuracy (MAE): -3.79802e+09	,Training accuracy (MRAE): 0.0127941	,Validation accuracy (MRAE): 0.0251153
Epoch: 16:	Training loss (MRSE): 0.974464	,Validation loss (MRSE): 0.964151	,Training loss (MSE): 1.49107e+19	,Validation loss (MSE): 1.46457e+19	,Training accuracy (MAE): -3.77484e+09	,Validation accuracy (MAE): -3.71561e+09	,Training accuracy (MRAE): 0.0181558	,Validation accuracy (MRAE): 0.028058
Epoch: 18:	Training loss (MRSE): 0.96946	,Validation loss (MRSE): 0.965903	,Training loss (MSE): 2.39633e+18	,Validation loss (MSE): 3.25444e+18	,Training accuracy (MAE): -1.11693e+09	,Validation accuracy (MAE): -1.31159e+09	,Training accuracy (MRAE): 0.0203439	,Validation accuracy (MRAE): 0.0215183
Epoch: 20:	Training loss (MRSE): 0.980916	,Validation loss (MRSE): 0.968332	,Training loss (MSE): 1.49091e+19	,Validation loss (MSE): 1.44848e+19	,Training accuracy (MAE): -3.82761e+09	,Validation accuracy (MAE): -3.71889e+09	,Training accuracy (MRAE): 0.0135841	,Validation accuracy (MRAE): 0.0260451
Epoch: 22:	Training loss (MRSE): 0.981559	,Validation loss (MRSE): 0.969164	,Training loss (MSE): 1.55822e+19	,Validation loss (MSE): 1.54149e+19	,Training accuracy (MAE): -3.92287e+09	,Validation accuracy (MAE): -3.8867e+09	,Training accuracy (MRAE): 0.0127497	,Validation accuracy (MRAE): 0.0249259
Epoch: 24:	Training loss (MRSE): 0.975017	,Validation loss (MRSE): 0.968722	,Training loss (MSE): 6.35731e+18	,Validation loss (MSE): 6.70631e+18	,Training accuracy (MAE): -2.39772e+09	,Validation accuracy (MAE): -2.4226e+09	,Training accuracy (MRAE): 0.0182532	,Validation accuracy (MRAE): 0.0229296
Epoch: 26:	Training loss (MRSE): 0.976797	,Validation loss (MRSE): 0.961113	,Training loss (MSE): 9.48036e+18	,Validation loss (MSE): 9.49888e+18	,Training accuracy (MAE): -2.95946e+09	,Validation accuracy (MAE): -2.93657e+09	,Training accuracy (MRAE): 0.0165812	,Validation accuracy (MRAE): 0.0316742
Epoch: 28:	Training loss (MRSE): 0.979222	,Validation loss (MRSE): 0.969203	,Training loss (MSE): 1.51784e+19	,Validation loss (MSE): 1.50299e+19	,Training accuracy (MAE): -3.8429e+09	,Validation accuracy (MAE): -3.81657e+09	,Training accuracy (MRAE): 0.0144731	,Validation accuracy (MRAE): 0.0249251
Epoch: 30:	Training loss (MRSE): 0.979845	,Validation loss (MRSE): 0.965041	,Training loss (MSE): 1.50303e+19	,Validation loss (MSE): 1.46916e+19	,Training accuracy (MAE): -3.85325e+09	,Validation accuracy (MAE): -3.76129e+09	,Training accuracy (MRAE): 0.0141457	,Validation accuracy (MRAE): 0.0281839
Epoch: 32:	Training loss (MRSE): 0.978965	,Validation loss (MRSE): 0.96126	,Training loss (MSE): 1.43738e+19	,Validation loss (MSE): 1.38332e+19	,Training accuracy (MAE): -3.65174e+09	,Validation accuracy (MAE): -3.51982e+09	,Training accuracy (MRAE): 0.0145047	,Validation accuracy (MRAE): 0.0310439
Epoch: 34:	Training loss (MRSE): 0.973826	,Validation loss (MRSE): 0.975055	,Training loss (MSE): 2.61918e+18	,Validation loss (MSE): 3.51071e+18	,Training accuracy (MAE): -1.40444e+09	,Validation accuracy (MAE): -1.57552e+09	,Training accuracy (MRAE): 0.016295	,Validation accuracy (MRAE): 0.0141776
Epoch: 36:	Training loss (MRSE): 0.975701	,Validation loss (MRSE): 0.968761	,Training loss (MSE): 1.48532e+19	,Validation loss (MSE): 1.47403e+19	,Training accuracy (MAE): -3.7815e+09	,Validation accuracy (MAE): -3.77163e+09	,Training accuracy (MRAE): 0.0168	,Validation accuracy (MRAE): 0.0252878
Epoch: 38:	Training loss (MRSE): 0.978305	,Validation loss (MRSE): 0.961831	,Training loss (MSE): 1.4067e+19	,Validation loss (MSE): 1.39453e+19	,Training accuracy (MAE): -3.63967e+09	,Validation accuracy (MAE): -3.60698e+09	,Training accuracy (MRAE): 0.0149416	,Validation accuracy (MRAE): 0.0297338
Epoch: 40:	Training loss (MRSE): 0.967932	,Validation loss (MRSE): 0.969972	,Training loss (MSE): 1.98823e+18	,Validation loss (MSE): 2.79771e+18	,Training accuracy (MAE): -9.02741e+08	,Validation accuracy (MAE): -1.08909e+09	,Training accuracy (MRAE): 0.020047	,Validation accuracy (MRAE): 0.0170762
