Epoch: 0	,Training loss (MRSE): 0.710193	,Validation loss (MRSE): 0.829521	,Training loss (MSE): 4.7406e+18	,Validation loss (MSE): 1.93138e+17	,Training accuracy (MAE): -1.67234e+08	,Validation accuracy (MAE): -7.83984e+07	,Training accuracy (MRAE): 0.202302	,Validation accuracy (MRAE): 0.115833
Epoch: 8	,Training loss (MRSE): 0.654953	,Validation loss (MRSE): 0.831389	,Training loss (MSE): 1.49246e+17	,Validation loss (MSE): 1.93048e+17	,Training accuracy (MAE): -5.954e+07	,Validation accuracy (MAE): -7.53551e+07	,Training accuracy (MRAE): 0.235977	,Validation accuracy (MRAE): 0.110714
Epoch: 16	,Training loss (MRSE): 0.629353	,Validation loss (MRSE): 0.81774	,Training loss (MSE): 1.18103e+21	,Validation loss (MSE): 4.24614e+17	,Training accuracy (MAE): -2.92141e+09	,Validation accuracy (MAE): -1.48329e+08	,Training accuracy (MRAE): 0.256686	,Validation accuracy (MRAE): 0.12169
Epoch: 24	,Training loss (MRSE): 0.526248	,Validation loss (MRSE): 0.821415	,Training loss (MSE): 1.12725e+17	,Validation loss (MSE): 1.9303e+17	,Training accuracy (MAE): -5.14928e+07	,Validation accuracy (MAE): -7.49043e+07	,Training accuracy (MRAE): 0.330532	,Validation accuracy (MRAE): 0.117108
Epoch: 32	,Training loss (MRSE): 0.480729	,Validation loss (MRSE): 0.779856	,Training loss (MSE): 1.43981e+18	,Validation loss (MSE): 1.93036e+17	,Training accuracy (MAE): -1.4538e+08	,Validation accuracy (MAE): -7.60158e+07	,Training accuracy (MRAE): 0.368861	,Validation accuracy (MRAE): 0.158301
Epoch: 40	,Training loss (MRSE): 0.531918	,Validation loss (MRSE): 0.781841	,Training loss (MSE): 3.03107e+18	,Validation loss (MSE): 1.92967e+17	,Training accuracy (MAE): -1.95211e+08	,Validation accuracy (MAE): -7.56597e+07	,Training accuracy (MRAE): 0.325956	,Validation accuracy (MRAE): 0.152073
Epoch: 48	,Training loss (MRSE): 0.385182	,Validation loss (MRSE): 0.804098	,Training loss (MSE): 3.33026e+16	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -2.23609e+07	,Validation accuracy (MAE): -7.49475e+07	,Training accuracy (MRAE): 0.458568	,Validation accuracy (MRAE): 0.128731
Epoch: 56	,Training loss (MRSE): 0.44689	,Validation loss (MRSE): 0.778541	,Training loss (MSE): 1.27974e+17	,Validation loss (MSE): 1.93019e+17	,Training accuracy (MAE): -5.41966e+07	,Validation accuracy (MAE): -7.48202e+07	,Training accuracy (MRAE): 0.402359	,Validation accuracy (MRAE): 0.152963
Epoch: 64	,Training loss (MRSE): 0.383522	,Validation loss (MRSE): 0.78728	,Training loss (MSE): 7.43067e+16	,Validation loss (MSE): 1.93004e+17	,Training accuracy (MAE): -3.94007e+07	,Validation accuracy (MAE): -7.564e+07	,Training accuracy (MRAE): 0.458915	,Validation accuracy (MRAE): 0.152574
Epoch: 72	,Training loss (MRSE): 0.34487	,Validation loss (MRSE): 0.780169	,Training loss (MSE): 2.96204e+16	,Validation loss (MSE): 1.92963e+17	,Training accuracy (MAE): -2.40499e+07	,Validation accuracy (MAE): -7.52714e+07	,Training accuracy (MRAE): 0.49136	,Validation accuracy (MRAE): 0.151565
Epoch: 80	,Training loss (MRSE): 0.469576	,Validation loss (MRSE): 0.809306	,Training loss (MSE): 4.81232e+16	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -3.17835e+07	,Validation accuracy (MAE): -7.47633e+07	,Training accuracy (MRAE): 0.365469	,Validation accuracy (MRAE): 0.122902
Epoch: 88	,Training loss (MRSE): 0.320361	,Validation loss (MRSE): 0.772185	,Training loss (MSE): 7.29213e+16	,Validation loss (MSE): 1.92994e+17	,Training accuracy (MAE): -3.93741e+07	,Validation accuracy (MAE): -7.4941e+07	,Training accuracy (MRAE): 0.520589	,Validation accuracy (MRAE): 0.16273
Epoch: 96	,Training loss (MRSE): 0.357318	,Validation loss (MRSE): 0.783341	,Training loss (MSE): 4.84604e+16	,Validation loss (MSE): 1.92892e+17	,Training accuracy (MAE): -2.96795e+07	,Validation accuracy (MAE): -7.52365e+07	,Training accuracy (MRAE): 0.47997	,Validation accuracy (MRAE): 0.143919
Epoch: 104	,Training loss (MRSE): 0.283448	,Validation loss (MRSE): 0.782677	,Training loss (MSE): 1.44854e+17	,Validation loss (MSE): 1.92992e+17	,Training accuracy (MAE): -4.11141e+07	,Validation accuracy (MAE): -7.5084e+07	,Training accuracy (MRAE): 0.553903	,Validation accuracy (MRAE): 0.147273
Epoch: 112	,Training loss (MRSE): 0.283631	,Validation loss (MRSE): 0.785493	,Training loss (MSE): 9.20381e+17	,Validation loss (MSE): 1.93018e+17	,Training accuracy (MAE): -1.30012e+08	,Validation accuracy (MAE): -7.53634e+07	,Training accuracy (MRAE): 0.547409	,Validation accuracy (MRAE): 0.150667
Epoch: 120	,Training loss (MRSE): 0.26646	,Validation loss (MRSE): 0.78829	,Training loss (MSE): 3.57691e+17	,Validation loss (MSE): 1.92981e+17	,Training accuracy (MAE): -7.87453e+07	,Validation accuracy (MAE): -7.52702e+07	,Training accuracy (MRAE): 0.565467	,Validation accuracy (MRAE): 0.148529
Epoch: 128	,Training loss (MRSE): 0.23916	,Validation loss (MRSE): 0.782111	,Training loss (MSE): 2.19985e+16	,Validation loss (MSE): 1.9299e+17	,Training accuracy (MAE): -1.89952e+07	,Validation accuracy (MAE): -7.51437e+07	,Training accuracy (MRAE): 0.600212	,Validation accuracy (MRAE): 0.152548
Epoch: 136	,Training loss (MRSE): 0.267438	,Validation loss (MRSE): 0.770748	,Training loss (MSE): 2.18606e+16	,Validation loss (MSE): 1.92936e+17	,Training accuracy (MAE): -2.15591e+07	,Validation accuracy (MAE): -7.49484e+07	,Training accuracy (MRAE): 0.561757	,Validation accuracy (MRAE): 0.162645
Epoch: 144	,Training loss (MRSE): 0.225467	,Validation loss (MRSE): 0.796663	,Training loss (MSE): 7.02659e+15	,Validation loss (MSE): 1.93013e+17	,Training accuracy (MAE): -1.18696e+07	,Validation accuracy (MAE): -7.52991e+07	,Training accuracy (MRAE): 0.62138	,Validation accuracy (MRAE): 0.144223
Epoch: 152	,Training loss (MRSE): 0.215035	,Validation loss (MRSE): 0.780664	,Training loss (MSE): 8.21792e+15	,Validation loss (MSE): 1.93024e+17	,Training accuracy (MAE): -1.45853e+07	,Validation accuracy (MAE): -7.52902e+07	,Training accuracy (MRAE): 0.624899	,Validation accuracy (MRAE): 0.152552
Epoch: 160	,Training loss (MRSE): 0.251983	,Validation loss (MRSE): 0.784699	,Training loss (MSE): 4.81871e+16	,Validation loss (MSE): 1.92985e+17	,Training accuracy (MAE): -3.27296e+07	,Validation accuracy (MAE): -7.49584e+07	,Training accuracy (MRAE): 0.579341	,Validation accuracy (MRAE): 0.145926
Epoch: 168	,Training loss (MRSE): 0.229321	,Validation loss (MRSE): 0.78557	,Training loss (MSE): 9.08925e+16	,Validation loss (MSE): 1.93006e+17	,Training accuracy (MAE): -3.88491e+07	,Validation accuracy (MAE): -7.50672e+07	,Training accuracy (MRAE): 0.601055	,Validation accuracy (MRAE): 0.149938
Epoch: 176	,Training loss (MRSE): 0.251157	,Validation loss (MRSE): 0.794391	,Training loss (MSE): 4.61229e+16	,Validation loss (MSE): 1.92983e+17	,Training accuracy (MAE): -3.05507e+07	,Validation accuracy (MAE): -7.49845e+07	,Training accuracy (MRAE): 0.583408	,Validation accuracy (MRAE): 0.140627
Epoch: 184	,Training loss (MRSE): 0.201248	,Validation loss (MRSE): 0.792751	,Training loss (MSE): 1.47191e+16	,Validation loss (MSE): 1.92996e+17	,Training accuracy (MAE): -1.75329e+07	,Validation accuracy (MAE): -7.51809e+07	,Training accuracy (MRAE): 0.63916	,Validation accuracy (MRAE): 0.146559
Epoch: 192	,Training loss (MRSE): 0.222016	,Validation loss (MRSE): 0.782905	,Training loss (MSE): 6.88806e+16	,Validation loss (MSE): 1.93006e+17	,Training accuracy (MAE): -3.85755e+07	,Validation accuracy (MAE): -7.50488e+07	,Training accuracy (MRAE): 0.613553	,Validation accuracy (MRAE): 0.158315
Epoch: 200	,Training loss (MRSE): 0.256073	,Validation loss (MRSE): 0.792933	,Training loss (MSE): 1.87566e+16	,Validation loss (MSE): 1.93013e+17	,Training accuracy (MAE): -1.76515e+07	,Validation accuracy (MAE): -7.56407e+07	,Training accuracy (MRAE): 0.555703	,Validation accuracy (MRAE): 0.142983
Epoch: 208	,Training loss (MRSE): 0.288111	,Validation loss (MRSE): 0.809018	,Training loss (MSE): 1.56945e+17	,Validation loss (MSE): 1.9301e+17	,Training accuracy (MAE): -4.82231e+07	,Validation accuracy (MAE): -7.53482e+07	,Training accuracy (MRAE): 0.535718	,Validation accuracy (MRAE): 0.122401
Epoch: 216	,Training loss (MRSE): 0.243071	,Validation loss (MRSE): 0.781332	,Training loss (MSE): 2.26648e+16	,Validation loss (MSE): 1.92904e+17	,Training accuracy (MAE): -2.17844e+07	,Validation accuracy (MAE): -7.51232e+07	,Training accuracy (MRAE): 0.580559	,Validation accuracy (MRAE): 0.149354
Epoch: 224	,Training loss (MRSE): 0.22565	,Validation loss (MRSE): 0.792996	,Training loss (MSE): 4.76651e+15	,Validation loss (MSE): 1.92987e+17	,Training accuracy (MAE): -1.07806e+07	,Validation accuracy (MAE): -7.54376e+07	,Training accuracy (MRAE): 0.597052	,Validation accuracy (MRAE): 0.142679
Epoch: 232	,Training loss (MRSE): 0.29118	,Validation loss (MRSE): 0.789197	,Training loss (MSE): 5.06542e+16	,Validation loss (MSE): 1.93023e+17	,Training accuracy (MAE): -3.29896e+07	,Validation accuracy (MAE): -7.49879e+07	,Training accuracy (MRAE): 0.519883	,Validation accuracy (MRAE): 0.150807
Epoch: 240	,Training loss (MRSE): 0.228225	,Validation loss (MRSE): 0.796563	,Training loss (MSE): 1.91739e+17	,Validation loss (MSE): 1.92932e+17	,Training accuracy (MAE): -6.3272e+07	,Validation accuracy (MAE): -7.53547e+07	,Training accuracy (MRAE): 0.595578	,Validation accuracy (MRAE): 0.138151
Epoch: 248	,Training loss (MRSE): 0.207845	,Validation loss (MRSE): 0.787645	,Training loss (MSE): 2.10187e+16	,Validation loss (MSE): 1.93008e+17	,Training accuracy (MAE): -1.9785e+07	,Validation accuracy (MAE): -7.5051e+07	,Training accuracy (MRAE): 0.618594	,Validation accuracy (MRAE): 0.154567
Epoch: 256	,Training loss (MRSE): 0.185539	,Validation loss (MRSE): 0.801843	,Training loss (MSE): 1.26735e+16	,Validation loss (MSE): 1.92997e+17	,Training accuracy (MAE): -1.6293e+07	,Validation accuracy (MAE): -7.5283e+07	,Training accuracy (MRAE): 0.65131	,Validation accuracy (MRAE): 0.13827
Epoch: 264	,Training loss (MRSE): 0.223525	,Validation loss (MRSE): 0.78503	,Training loss (MSE): 4.89059e+16	,Validation loss (MSE): 1.93007e+17	,Training accuracy (MAE): -3.22383e+07	,Validation accuracy (MAE): -7.49232e+07	,Training accuracy (MRAE): 0.596508	,Validation accuracy (MRAE): 0.151725
Epoch: 272	,Training loss (MRSE): 0.246017	,Validation loss (MRSE): 0.795281	,Training loss (MSE): 7.81694e+16	,Validation loss (MSE): 1.93e+17	,Training accuracy (MAE): -4.18342e+07	,Validation accuracy (MAE): -7.49227e+07	,Training accuracy (MRAE): 0.56163	,Validation accuracy (MRAE): 0.14243
