Epoch: 0:	Training loss (MRSE): 0.792871	,Validation loss (MRSE): 0.858543	,Training loss (MSE): 4.66886e+17	,Validation loss (MSE): 4.86681e+17	,Training accuracy (MAE): -2.31907e+08	,Validation accuracy (MAE): -2.61228e+08	,Training accuracy (MRAE): 0.141531	,Validation accuracy (MRAE): 0.0868319
Epoch: 2:	Training loss (MRSE): 0.79568	,Validation loss (MRSE): 0.756883	,Training loss (MSE): 3.03621e+17	,Validation loss (MSE): 1.99187e+17	,Training accuracy (MAE): -1.58031e+08	,Validation accuracy (MAE): -1.17998e+08	,Training accuracy (MRAE): 0.135346	,Validation accuracy (MRAE): 0.16652
Epoch: 4:	Training loss (MRSE): 0.766913	,Validation loss (MRSE): 0.805935	,Training loss (MSE): 2.92575e+17	,Validation loss (MSE): 2.65167e+17	,Training accuracy (MAE): -1.4265e+08	,Validation accuracy (MAE): -1.27503e+08	,Training accuracy (MRAE): 0.153565	,Validation accuracy (MRAE): 0.12638
Epoch: 6:	Training loss (MRSE): 0.741133	,Validation loss (MRSE): 0.776243	,Training loss (MSE): 2.23579e+17	,Validation loss (MSE): 3.40207e+17	,Training accuracy (MAE): -1.07399e+08	,Validation accuracy (MAE): -1.55788e+08	,Training accuracy (MRAE): 0.17676	,Validation accuracy (MRAE): 0.153466
Epoch: 8:	Training loss (MRSE): 0.700289	,Validation loss (MRSE): 0.778782	,Training loss (MSE): 1.62605e+17	,Validation loss (MSE): 2.55511e+17	,Training accuracy (MAE): -7.72738e+07	,Validation accuracy (MAE): -1.07333e+08	,Training accuracy (MRAE): 0.208963	,Validation accuracy (MRAE): 0.148128
Epoch: 10:	Training loss (MRSE): 0.718788	,Validation loss (MRSE): 0.825675	,Training loss (MSE): 1.77307e+17	,Validation loss (MSE): 3.62716e+17	,Training accuracy (MAE): -8.40345e+07	,Validation accuracy (MAE): -1.51067e+08	,Training accuracy (MRAE): 0.190548	,Validation accuracy (MRAE): 0.114416
Epoch: 12:	Training loss (MRSE): 0.712958	,Validation loss (MRSE): 0.783195	,Training loss (MSE): 1.30606e+17	,Validation loss (MSE): 2.31243e+17	,Training accuracy (MAE): -7.74146e+07	,Validation accuracy (MAE): -1.07848e+08	,Training accuracy (MRAE): 0.196757	,Validation accuracy (MRAE): 0.145523
Epoch: 14:	Training loss (MRSE): 0.702961	,Validation loss (MRSE): 0.756483	,Training loss (MSE): 1.46899e+17	,Validation loss (MSE): 3.10539e+17	,Training accuracy (MAE): -9.84914e+07	,Validation accuracy (MAE): -1.30051e+08	,Training accuracy (MRAE): 0.199985	,Validation accuracy (MRAE): 0.172578
Epoch: 16:	Training loss (MRSE): 0.695234	,Validation loss (MRSE): 0.769718	,Training loss (MSE): 8.53896e+16	,Validation loss (MSE): 2.77243e+17	,Training accuracy (MAE): -5.82405e+07	,Validation accuracy (MAE): -1.2026e+08	,Training accuracy (MRAE): 0.212337	,Validation accuracy (MRAE): 0.162845
Epoch: 18:	Training loss (MRSE): 0.660063	,Validation loss (MRSE): 0.746486	,Training loss (MSE): 1.08328e+17	,Validation loss (MSE): 2.48907e+17	,Training accuracy (MAE): -6.96612e+07	,Validation accuracy (MAE): -1.04763e+08	,Training accuracy (MRAE): 0.238676	,Validation accuracy (MRAE): 0.175659
Epoch: 20:	Training loss (MRSE): 0.666085	,Validation loss (MRSE): 0.756367	,Training loss (MSE): 8.70068e+16	,Validation loss (MSE): 1.78991e+17	,Training accuracy (MAE): -5.80985e+07	,Validation accuracy (MAE): -8.63658e+07	,Training accuracy (MRAE): 0.226423	,Validation accuracy (MRAE): 0.165522
Epoch: 22:	Training loss (MRSE): 0.639777	,Validation loss (MRSE): 0.760772	,Training loss (MSE): 7.9275e+16	,Validation loss (MSE): 2.30545e+17	,Training accuracy (MAE): -4.46086e+07	,Validation accuracy (MAE): -9.59465e+07	,Training accuracy (MRAE): 0.247695	,Validation accuracy (MRAE): 0.171232
Epoch: 24:	Training loss (MRSE): 0.64576	,Validation loss (MRSE): 0.739938	,Training loss (MSE): 7.67612e+16	,Validation loss (MSE): 2.48595e+17	,Training accuracy (MAE): -4.38072e+07	,Validation accuracy (MAE): -1.09771e+08	,Training accuracy (MRAE): 0.243729	,Validation accuracy (MRAE): 0.175989
Epoch: 26:	Training loss (MRSE): 0.638353	,Validation loss (MRSE): 0.759264	,Training loss (MSE): 7.3398e+16	,Validation loss (MSE): 2.21962e+17	,Training accuracy (MAE): -4.45324e+07	,Validation accuracy (MAE): -9.41251e+07	,Training accuracy (MRAE): 0.248284	,Validation accuracy (MRAE): 0.161378
Epoch: 28:	Training loss (MRSE): 0.59331	,Validation loss (MRSE): 0.745875	,Training loss (MSE): 7.17376e+16	,Validation loss (MSE): 2.05783e+17	,Training accuracy (MAE): -4.24275e+07	,Validation accuracy (MAE): -1.01654e+08	,Training accuracy (MRAE): 0.277676	,Validation accuracy (MRAE): 0.172354
Epoch: 30:	Training loss (MRSE): 0.622545	,Validation loss (MRSE): 0.726525	,Training loss (MSE): 8.61717e+16	,Validation loss (MSE): 2.28737e+17	,Training accuracy (MAE): -5.11679e+07	,Validation accuracy (MAE): -1.03961e+08	,Training accuracy (MRAE): 0.25487	,Validation accuracy (MRAE): 0.186231
Epoch: 32:	Training loss (MRSE): 0.622274	,Validation loss (MRSE): 0.765078	,Training loss (MSE): 8.17646e+16	,Validation loss (MSE): 2.22584e+17	,Training accuracy (MAE): -4.71652e+07	,Validation accuracy (MAE): -1.00768e+08	,Training accuracy (MRAE): 0.261703	,Validation accuracy (MRAE): 0.160911
