Epoch: 0:	Training loss (MRSE): 0.915244	,Validation loss (MRSE): 0.933081	,Training loss (MSE): 6.94022e+17	,Validation loss (MSE): 5.40652e+17	,Training accuracy (MAE): -2.50817e+08	,Validation accuracy (MAE): -2.28796e+08	,Training accuracy (MRAE): 0.0589856	,Validation accuracy (MRAE): 0.0438634
Epoch: 2:	Training loss (MRSE): 0.891828	,Validation loss (MRSE): 0.897334	,Training loss (MSE): 9.01809e+17	,Validation loss (MSE): 4.8853e+17	,Training accuracy (MAE): -3.44575e+08	,Validation accuracy (MAE): -2.23699e+08	,Training accuracy (MRAE): 0.0732144	,Validation accuracy (MRAE): 0.0686373
Epoch: 4:	Training loss (MRSE): 0.782292	,Validation loss (MRSE): 0.794366	,Training loss (MSE): 3.22155e+17	,Validation loss (MSE): 3.76122e+17	,Training accuracy (MAE): -1.61962e+08	,Validation accuracy (MAE): -1.69374e+08	,Training accuracy (MRAE): 0.144872	,Validation accuracy (MRAE): 0.130876
Epoch: 6:	Training loss (MRSE): 0.760001	,Validation loss (MRSE): 0.785325	,Training loss (MSE): 1.70804e+17	,Validation loss (MSE): 3.69005e+17	,Training accuracy (MAE): -8.42714e+07	,Validation accuracy (MAE): -1.34911e+08	,Training accuracy (MRAE): 0.159557	,Validation accuracy (MRAE): 0.140549
Epoch: 8:	Training loss (MRSE): 0.732063	,Validation loss (MRSE): 0.760711	,Training loss (MSE): 2.12737e+17	,Validation loss (MSE): 3.22795e+17	,Training accuracy (MAE): -1.15293e+08	,Validation accuracy (MAE): -1.46587e+08	,Training accuracy (MRAE): 0.182824	,Validation accuracy (MRAE): 0.163644
Epoch: 10:	Training loss (MRSE): 0.789429	,Validation loss (MRSE): 0.843606	,Training loss (MSE): 2.27257e+17	,Validation loss (MSE): 3.06e+17	,Training accuracy (MAE): -1.30784e+08	,Validation accuracy (MAE): -1.47853e+08	,Training accuracy (MRAE): 0.136659	,Validation accuracy (MRAE): 0.101232
Epoch: 12:	Training loss (MRSE): 0.698871	,Validation loss (MRSE): 0.735836	,Training loss (MSE): 1.36628e+17	,Validation loss (MSE): 2.26439e+17	,Training accuracy (MAE): -6.65253e+07	,Validation accuracy (MAE): -7.1376e+07	,Training accuracy (MRAE): 0.20559	,Validation accuracy (MRAE): 0.17466
Epoch: 14:	Training loss (MRSE): 0.698459	,Validation loss (MRSE): 0.754808	,Training loss (MSE): 2.03403e+17	,Validation loss (MSE): 3.22014e+17	,Training accuracy (MAE): -1.03171e+08	,Validation accuracy (MAE): -1.07486e+08	,Training accuracy (MRAE): 0.205877	,Validation accuracy (MRAE): 0.173861
Epoch: 16:	Training loss (MRSE): 0.694463	,Validation loss (MRSE): 0.769867	,Training loss (MSE): 1.43022e+17	,Validation loss (MSE): 2.87771e+17	,Training accuracy (MAE): -7.01475e+07	,Validation accuracy (MAE): -1.01963e+08	,Training accuracy (MRAE): 0.206425	,Validation accuracy (MRAE): 0.149066
Epoch: 18:	Training loss (MRSE): 0.663333	,Validation loss (MRSE): 0.73391	,Training loss (MSE): 1.39332e+17	,Validation loss (MSE): 2.61762e+17	,Training accuracy (MAE): -6.69564e+07	,Validation accuracy (MAE): -8.86105e+07	,Training accuracy (MRAE): 0.228323	,Validation accuracy (MRAE): 0.181476
Epoch: 20:	Training loss (MRSE): 0.652503	,Validation loss (MRSE): 0.724157	,Training loss (MSE): 9.6028e+16	,Validation loss (MSE): 2.35096e+17	,Training accuracy (MAE): -4.9599e+07	,Validation accuracy (MAE): -7.22479e+07	,Training accuracy (MRAE): 0.237127	,Validation accuracy (MRAE): 0.185509
Epoch: 22:	Training loss (MRSE): 0.672728	,Validation loss (MRSE): 0.773326	,Training loss (MSE): 1.5155e+17	,Validation loss (MSE): 2.75692e+17	,Training accuracy (MAE): -6.41846e+07	,Validation accuracy (MAE): -9.09925e+07	,Training accuracy (MRAE): 0.218868	,Validation accuracy (MRAE): 0.150503
Epoch: 24:	Training loss (MRSE): 0.649739	,Validation loss (MRSE): 0.754252	,Training loss (MSE): 1.30212e+17	,Validation loss (MSE): 2.78964e+17	,Training accuracy (MAE): -5.86807e+07	,Validation accuracy (MAE): -9.02404e+07	,Training accuracy (MRAE): 0.246164	,Validation accuracy (MRAE): 0.16324
Epoch: 26:	Training loss (MRSE): 0.639912	,Validation loss (MRSE): 0.766384	,Training loss (MSE): 1.11859e+17	,Validation loss (MSE): 2.89129e+17	,Training accuracy (MAE): -5.97767e+07	,Validation accuracy (MAE): -1.07154e+08	,Training accuracy (MRAE): 0.247154	,Validation accuracy (MRAE): 0.153629
Epoch: 28:	Training loss (MRSE): 0.652576	,Validation loss (MRSE): 0.743622	,Training loss (MSE): 1.40234e+17	,Validation loss (MSE): 2.75035e+17	,Training accuracy (MAE): -7.48297e+07	,Validation accuracy (MAE): -9.82006e+07	,Training accuracy (MRAE): 0.237629	,Validation accuracy (MRAE): 0.169535
Epoch: 30:	Training loss (MRSE): 0.67181	,Validation loss (MRSE): 0.772211	,Training loss (MSE): 1.0682e+17	,Validation loss (MSE): 2.69423e+17	,Training accuracy (MAE): -5.89277e+07	,Validation accuracy (MAE): -9.42852e+07	,Training accuracy (MRAE): 0.222667	,Validation accuracy (MRAE): 0.151023
Epoch: 32:	Training loss (MRSE): 0.640253	,Validation loss (MRSE): 0.80107	,Training loss (MSE): 9.97035e+16	,Validation loss (MSE): 2.4641e+17	,Training accuracy (MAE): -5.62247e+07	,Validation accuracy (MAE): -8.03168e+07	,Training accuracy (MRAE): 0.247995	,Validation accuracy (MRAE): 0.126742
Epoch: 34:	Training loss (MRSE): 0.617733	,Validation loss (MRSE): 0.747405	,Training loss (MSE): 6.58552e+16	,Validation loss (MSE): 2.51579e+17	,Training accuracy (MAE): -3.82086e+07	,Validation accuracy (MAE): -8.78749e+07	,Training accuracy (MRAE): 0.263173	,Validation accuracy (MRAE): 0.163365
Epoch: 36:	Training loss (MRSE): 0.60378	,Validation loss (MRSE): 0.732562	,Training loss (MSE): 5.98192e+16	,Validation loss (MSE): 2.57429e+17	,Training accuracy (MAE): -3.73273e+07	,Validation accuracy (MAE): -9.22125e+07	,Training accuracy (MRAE): 0.2818	,Validation accuracy (MRAE): 0.177944
Epoch: 38:	Training loss (MRSE): 0.588262	,Validation loss (MRSE): 0.740623	,Training loss (MSE): 7.22209e+16	,Validation loss (MSE): 2.63523e+17	,Training accuracy (MAE): -4.03787e+07	,Validation accuracy (MAE): -9.34231e+07	,Training accuracy (MRAE): 0.286739	,Validation accuracy (MRAE): 0.173047
Epoch: 40:	Training loss (MRSE): 0.575956	,Validation loss (MRSE): 0.774595	,Training loss (MSE): 8.72309e+16	,Validation loss (MSE): 2.78971e+17	,Training accuracy (MAE): -4.30515e+07	,Validation accuracy (MAE): -9.56609e+07	,Training accuracy (MRAE): 0.298229	,Validation accuracy (MRAE): 0.147257
Epoch: 42:	Training loss (MRSE): 0.567515	,Validation loss (MRSE): 0.743871	,Training loss (MSE): 7.01972e+16	,Validation loss (MSE): 2.52468e+17	,Training accuracy (MAE): -3.86743e+07	,Validation accuracy (MAE): -8.85189e+07	,Training accuracy (MRAE): 0.308597	,Validation accuracy (MRAE): 0.17009
Epoch: 44:	Training loss (MRSE): 0.590306	,Validation loss (MRSE): 0.757812	,Training loss (MSE): 8.2011e+16	,Validation loss (MSE): 2.46759e+17	,Training accuracy (MAE): -4.29106e+07	,Validation accuracy (MAE): -8.33625e+07	,Training accuracy (MRAE): 0.289835	,Validation accuracy (MRAE): 0.169748
Epoch: 46:	Training loss (MRSE): 0.582596	,Validation loss (MRSE): 0.731517	,Training loss (MSE): 5.87865e+16	,Validation loss (MSE): 2.43395e+17	,Training accuracy (MAE): -3.45874e+07	,Validation accuracy (MAE): -8.75483e+07	,Training accuracy (MRAE): 0.284223	,Validation accuracy (MRAE): 0.179116
Epoch: 48:	Training loss (MRSE): 0.582543	,Validation loss (MRSE): 0.732787	,Training loss (MSE): 6.76331e+16	,Validation loss (MSE): 2.38271e+17	,Training accuracy (MAE): -3.66577e+07	,Validation accuracy (MAE): -7.82722e+07	,Training accuracy (MRAE): 0.292364	,Validation accuracy (MRAE): 0.185845
Epoch: 50:	Training loss (MRSE): 0.589297	,Validation loss (MRSE): 0.746239	,Training loss (MSE): 6.69543e+16	,Validation loss (MSE): 2.37394e+17	,Training accuracy (MAE): -3.81075e+07	,Validation accuracy (MAE): -8.38792e+07	,Training accuracy (MRAE): 0.290592	,Validation accuracy (MRAE): 0.170771
Epoch: 52:	Training loss (MRSE): 0.597945	,Validation loss (MRSE): 0.72158	,Training loss (MSE): 7.31405e+16	,Validation loss (MSE): 2.55189e+17	,Training accuracy (MAE): -4.2654e+07	,Validation accuracy (MAE): -8.99158e+07	,Training accuracy (MRAE): 0.282031	,Validation accuracy (MRAE): 0.185456
Epoch: 54:	Training loss (MRSE): 0.597804	,Validation loss (MRSE): 0.742134	,Training loss (MSE): 7.10687e+16	,Validation loss (MSE): 2.38276e+17	,Training accuracy (MAE): -3.91732e+07	,Validation accuracy (MAE): -8.02654e+07	,Training accuracy (MRAE): 0.279838	,Validation accuracy (MRAE): 0.172906
Epoch: 56:	Training loss (MRSE): 0.611386	,Validation loss (MRSE): 0.740707	,Training loss (MSE): 7.64319e+16	,Validation loss (MSE): 2.56652e+17	,Training accuracy (MAE): -4.13662e+07	,Validation accuracy (MAE): -9.13091e+07	,Training accuracy (MRAE): 0.270649	,Validation accuracy (MRAE): 0.177785
Epoch: 58:	Training loss (MRSE): 0.580977	,Validation loss (MRSE): 0.719186	,Training loss (MSE): 6.34098e+16	,Validation loss (MSE): 2.5225e+17	,Training accuracy (MAE): -3.73683e+07	,Validation accuracy (MAE): -9.43149e+07	,Training accuracy (MRAE): 0.292562	,Validation accuracy (MRAE): 0.193897
Epoch: 60:	Training loss (MRSE): 0.617895	,Validation loss (MRSE): 0.759315	,Training loss (MSE): 6.67882e+16	,Validation loss (MSE): 2.42626e+17	,Training accuracy (MAE): -4.09548e+07	,Validation accuracy (MAE): -8.42155e+07	,Training accuracy (MRAE): 0.262748	,Validation accuracy (MRAE): 0.155953
Epoch: 62:	Training loss (MRSE): 0.570975	,Validation loss (MRSE): 0.738616	,Training loss (MSE): 7.73493e+16	,Validation loss (MSE): 2.48639e+17	,Training accuracy (MAE): -4.06187e+07	,Validation accuracy (MAE): -8.6408e+07	,Training accuracy (MRAE): 0.306304	,Validation accuracy (MRAE): 0.17051
Epoch: 64:	Training loss (MRSE): 0.589846	,Validation loss (MRSE): 0.768336	,Training loss (MSE): 6.40587e+16	,Validation loss (MSE): 2.16646e+17	,Training accuracy (MAE): -3.72731e+07	,Validation accuracy (MAE): -7.87468e+07	,Training accuracy (MRAE): 0.28615	,Validation accuracy (MRAE): 0.156218
Epoch: 66:	Training loss (MRSE): 0.620487	,Validation loss (MRSE): 0.756045	,Training loss (MSE): 5.92423e+16	,Validation loss (MSE): 2.04551e+17	,Training accuracy (MAE): -3.65708e+07	,Validation accuracy (MAE): -7.72132e+07	,Training accuracy (MRAE): 0.266033	,Validation accuracy (MRAE): 0.172044
Epoch: 68:	Training loss (MRSE): 0.579759	,Validation loss (MRSE): 0.739847	,Training loss (MSE): 6.33618e+16	,Validation loss (MSE): 2.27006e+17	,Training accuracy (MAE): -3.44408e+07	,Validation accuracy (MAE): -7.72174e+07	,Training accuracy (MRAE): 0.295556	,Validation accuracy (MRAE): 0.175781
Epoch: 70:	Training loss (MRSE): 0.565704	,Validation loss (MRSE): 0.729429	,Training loss (MSE): 6.47695e+16	,Validation loss (MSE): 2.17093e+17	,Training accuracy (MAE): -3.43444e+07	,Validation accuracy (MAE): -7.07006e+07	,Training accuracy (MRAE): 0.303448	,Validation accuracy (MRAE): 0.181612
Epoch: 72:	Training loss (MRSE): 0.538526	,Validation loss (MRSE): 0.710403	,Training loss (MSE): 8.16245e+16	,Validation loss (MSE): 2.32525e+17	,Training accuracy (MAE): -4.38866e+07	,Validation accuracy (MAE): -7.72048e+07	,Training accuracy (MRAE): 0.325827	,Validation accuracy (MRAE): 0.199823
Epoch: 74:	Training loss (MRSE): 0.606591	,Validation loss (MRSE): 0.739265	,Training loss (MSE): 7.60278e+16	,Validation loss (MSE): 2.18213e+17	,Training accuracy (MAE): -4.16716e+07	,Validation accuracy (MAE): -7.95774e+07	,Training accuracy (MRAE): 0.269853	,Validation accuracy (MRAE): 0.170912
Epoch: 76:	Training loss (MRSE): 0.623971	,Validation loss (MRSE): 0.729692	,Training loss (MSE): 1.40391e+17	,Validation loss (MSE): 2.26211e+17	,Training accuracy (MAE): -6.32314e+07	,Validation accuracy (MAE): -8.22636e+07	,Training accuracy (MRAE): 0.259728	,Validation accuracy (MRAE): 0.185213
Epoch: 78:	Training loss (MRSE): 0.609851	,Validation loss (MRSE): 0.740768	,Training loss (MSE): 8.6969e+16	,Validation loss (MSE): 2.27799e+17	,Training accuracy (MAE): -4.84692e+07	,Validation accuracy (MAE): -7.56794e+07	,Training accuracy (MRAE): 0.272104	,Validation accuracy (MRAE): 0.177704
Epoch: 80:	Training loss (MRSE): 0.561059	,Validation loss (MRSE): 0.737375	,Training loss (MSE): 6.06083e+16	,Validation loss (MSE): 2.22796e+17	,Training accuracy (MAE): -3.33984e+07	,Validation accuracy (MAE): -8.17261e+07	,Training accuracy (MRAE): 0.309181	,Validation accuracy (MRAE): 0.177467
Epoch: 82:	Training loss (MRSE): 0.583829	,Validation loss (MRSE): 0.736427	,Training loss (MSE): 6.05791e+16	,Validation loss (MSE): 2.08986e+17	,Training accuracy (MAE): -3.5286e+07	,Validation accuracy (MAE): -7.29355e+07	,Training accuracy (MRAE): 0.289863	,Validation accuracy (MRAE): 0.17317
Epoch: 84:	Training loss (MRSE): 0.573184	,Validation loss (MRSE): 0.74347	,Training loss (MSE): 6.8377e+16	,Validation loss (MSE): 2.32939e+17	,Training accuracy (MAE): -3.87259e+07	,Validation accuracy (MAE): -7.93539e+07	,Training accuracy (MRAE): 0.301038	,Validation accuracy (MRAE): 0.182478
Epoch: 86:	Training loss (MRSE): 0.565431	,Validation loss (MRSE): 0.737324	,Training loss (MSE): 7.41746e+16	,Validation loss (MSE): 2.1914e+17	,Training accuracy (MAE): -3.96953e+07	,Validation accuracy (MAE): -7.31919e+07	,Training accuracy (MRAE): 0.308061	,Validation accuracy (MRAE): 0.18288
Epoch: 88:	Training loss (MRSE): 0.576184	,Validation loss (MRSE): 0.741836	,Training loss (MSE): 8.02468e+16	,Validation loss (MSE): 2.13675e+17	,Training accuracy (MAE): -4.10482e+07	,Validation accuracy (MAE): -6.99817e+07	,Training accuracy (MRAE): 0.2978	,Validation accuracy (MRAE): 0.181483
Epoch: 90:	Training loss (MRSE): 0.560867	,Validation loss (MRSE): 0.748811	,Training loss (MSE): 6.18812e+16	,Validation loss (MSE): 2.05841e+17	,Training accuracy (MAE): -3.36812e+07	,Validation accuracy (MAE): -7.5556e+07	,Training accuracy (MRAE): 0.310392	,Validation accuracy (MRAE): 0.170428
Epoch: 92:	Training loss (MRSE): 0.539024	,Validation loss (MRSE): 0.738027	,Training loss (MSE): 6.73933e+16	,Validation loss (MSE): 1.86555e+17	,Training accuracy (MAE): -3.56745e+07	,Validation accuracy (MAE): -6.91716e+07	,Training accuracy (MRAE): 0.322374	,Validation accuracy (MRAE): 0.182331
