Epoch: 0:	Training loss (MRSE): 0.864372	,Validation loss (MRSE): 0.846644	,Training loss (MSE): 1.49801e+17	,Validation loss (MSE): 1.30704e+17	,Training accuracy (MAE): -6.41837e+07	,Validation accuracy (MAE): -6.23858e+07	,Training accuracy (MRAE): 0.0850961	,Validation accuracy (MRAE): 0.100647
Epoch: 2:	Training loss (MRSE): 0.81843	,Validation loss (MRSE): 0.833526	,Training loss (MSE): 1.02298e+17	,Validation loss (MSE): 1.11662e+17	,Training accuracy (MAE): -5.15539e+07	,Validation accuracy (MAE): -6.03507e+07	,Training accuracy (MRAE): 0.119996	,Validation accuracy (MRAE): 0.10829
Epoch: 4:	Training loss (MRSE): 0.803372	,Validation loss (MRSE): 0.823187	,Training loss (MSE): 3.01787e+16	,Validation loss (MSE): 9.2064e+16	,Training accuracy (MAE): -2.8975e+07	,Validation accuracy (MAE): -6.18117e+07	,Training accuracy (MRAE): 0.134303	,Validation accuracy (MRAE): 0.116384
Epoch: 6:	Training loss (MRSE): 0.789294	,Validation loss (MRSE): 0.822789	,Training loss (MSE): 3.16814e+16	,Validation loss (MSE): 9.99942e+16	,Training accuracy (MAE): -2.87112e+07	,Validation accuracy (MAE): -6.75975e+07	,Training accuracy (MRAE): 0.146227	,Validation accuracy (MRAE): 0.118543
Epoch: 8:	Training loss (MRSE): 0.784867	,Validation loss (MRSE): 0.823204	,Training loss (MSE): 3.10614e+16	,Validation loss (MSE): 1.12494e+17	,Training accuracy (MAE): -2.83596e+07	,Validation accuracy (MAE): -7.39547e+07	,Training accuracy (MRAE): 0.147552	,Validation accuracy (MRAE): 0.120369
Epoch: 10:	Training loss (MRSE): 0.777244	,Validation loss (MRSE): 0.831094	,Training loss (MSE): 3.24336e+16	,Validation loss (MSE): 1.17938e+17	,Training accuracy (MAE): -2.69898e+07	,Validation accuracy (MAE): -7.52055e+07	,Training accuracy (MRAE): 0.155421	,Validation accuracy (MRAE): 0.115432
Epoch: 12:	Training loss (MRSE): 0.764984	,Validation loss (MRSE): 0.829646	,Training loss (MSE): 2.37413e+16	,Validation loss (MSE): 1.06358e+17	,Training accuracy (MAE): -2.33091e+07	,Validation accuracy (MAE): -7.10538e+07	,Training accuracy (MRAE): 0.165856	,Validation accuracy (MRAE): 0.116559
Epoch: 14:	Training loss (MRSE): 0.7579	,Validation loss (MRSE): 0.834629	,Training loss (MSE): 2.56968e+16	,Validation loss (MSE): 9.50139e+16	,Training accuracy (MAE): -2.42224e+07	,Validation accuracy (MAE): -6.23138e+07	,Training accuracy (MRAE): 0.173401	,Validation accuracy (MRAE): 0.110149
Epoch: 16:	Training loss (MRSE): 0.761237	,Validation loss (MRSE): 0.83548	,Training loss (MSE): 2.50422e+16	,Validation loss (MSE): 9.5495e+16	,Training accuracy (MAE): -2.36588e+07	,Validation accuracy (MAE): -6.31078e+07	,Training accuracy (MRAE): 0.169031	,Validation accuracy (MRAE): 0.105194
Epoch: 18:	Training loss (MRSE): 0.752124	,Validation loss (MRSE): 0.835797	,Training loss (MSE): 2.30623e+16	,Validation loss (MSE): 9.06531e+16	,Training accuracy (MAE): -2.30661e+07	,Validation accuracy (MAE): -5.88583e+07	,Training accuracy (MRAE): 0.176807	,Validation accuracy (MRAE): 0.108232
Epoch: 20:	Training loss (MRSE): 0.743238	,Validation loss (MRSE): 0.820859	,Training loss (MSE): 2.2482e+16	,Validation loss (MSE): 9.14446e+16	,Training accuracy (MAE): -2.32605e+07	,Validation accuracy (MAE): -5.90263e+07	,Training accuracy (MRAE): 0.18182	,Validation accuracy (MRAE): 0.118233
