Epoch: 0:	Training loss (MRSE): 0.803601	,Validation loss (MRSE): 0.78096	,Training loss (MSE): 1.51192e+17	,Validation loss (MSE): 1.79023e+17	,Training accuracy (MAE): -6.22468e+07	,Validation accuracy (MAE): -6.56001e+07	,Training accuracy (MRAE): 0.129121	,Validation accuracy (MRAE): 0.139787
Epoch: 2:	Training loss (MRSE): 0.738825	,Validation loss (MRSE): 0.774881	,Training loss (MSE): 1.09379e+17	,Validation loss (MSE): 5.69382e+16	,Training accuracy (MAE): -5.41215e+07	,Validation accuracy (MAE): -3.78685e+07	,Training accuracy (MRAE): 0.177348	,Validation accuracy (MRAE): 0.150702
Epoch: 4:	Training loss (MRSE): 0.708647	,Validation loss (MRSE): 0.754664	,Training loss (MSE): 6.43727e+16	,Validation loss (MSE): 8.92538e+16	,Training accuracy (MAE): -3.58252e+07	,Validation accuracy (MAE): -5.62201e+07	,Training accuracy (MRAE): 0.20297	,Validation accuracy (MRAE): 0.173355
Epoch: 6:	Training loss (MRSE): 0.691774	,Validation loss (MRSE): 0.742713	,Training loss (MSE): 6.00379e+16	,Validation loss (MSE): 8.10786e+16	,Training accuracy (MAE): -3.26234e+07	,Validation accuracy (MAE): -5.47451e+07	,Training accuracy (MRAE): 0.212239	,Validation accuracy (MRAE): 0.172392
Epoch: 8:	Training loss (MRSE): 0.692708	,Validation loss (MRSE): 0.704438	,Training loss (MSE): 5.97378e+16	,Validation loss (MSE): 9.79782e+16	,Training accuracy (MAE): -3.31118e+07	,Validation accuracy (MAE): -5.42201e+07	,Training accuracy (MRAE): 0.205758	,Validation accuracy (MRAE): 0.202075
Epoch: 10:	Training loss (MRSE): 0.650362	,Validation loss (MRSE): 0.698524	,Training loss (MSE): 6.37697e+16	,Validation loss (MSE): 8.6268e+16	,Training accuracy (MAE): -3.39518e+07	,Validation accuracy (MAE): -5.05783e+07	,Training accuracy (MRAE): 0.247883	,Validation accuracy (MRAE): 0.205387
Epoch: 12:	Training loss (MRSE): 0.675481	,Validation loss (MRSE): 0.716056	,Training loss (MSE): 5.58986e+16	,Validation loss (MSE): 7.84759e+16	,Training accuracy (MAE): -3.15391e+07	,Validation accuracy (MAE): -4.56748e+07	,Training accuracy (MRAE): 0.218745	,Validation accuracy (MRAE): 0.190708
Epoch: 14:	Training loss (MRSE): 0.637491	,Validation loss (MRSE): 0.685095	,Training loss (MSE): 5.78478e+16	,Validation loss (MSE): 9.41571e+16	,Training accuracy (MAE): -3.18972e+07	,Validation accuracy (MAE): -4.85881e+07	,Training accuracy (MRAE): 0.249512	,Validation accuracy (MRAE): 0.218799
Epoch: 16:	Training loss (MRSE): 0.630686	,Validation loss (MRSE): 0.690348	,Training loss (MSE): 5.48433e+16	,Validation loss (MSE): 6.65672e+16	,Training accuracy (MAE): -3.01998e+07	,Validation accuracy (MAE): -3.84872e+07	,Training accuracy (MRAE): 0.254021	,Validation accuracy (MRAE): 0.213674
Epoch: 18:	Training loss (MRSE): 0.627421	,Validation loss (MRSE): 0.694479	,Training loss (MSE): 5.80519e+16	,Validation loss (MSE): 7.04983e+16	,Training accuracy (MAE): -3.19922e+07	,Validation accuracy (MAE): -3.99919e+07	,Training accuracy (MRAE): 0.2634	,Validation accuracy (MRAE): 0.213847
Epoch: 20:	Training loss (MRSE): 0.622589	,Validation loss (MRSE): 0.688186	,Training loss (MSE): 5.41098e+16	,Validation loss (MSE): 6.48115e+16	,Training accuracy (MAE): -2.98828e+07	,Validation accuracy (MAE): -3.75913e+07	,Training accuracy (MRAE): 0.261991	,Validation accuracy (MRAE): 0.219401
Epoch: 22:	Training loss (MRSE): 0.613534	,Validation loss (MRSE): 0.691234	,Training loss (MSE): 5.62018e+16	,Validation loss (MSE): 6.26527e+16	,Training accuracy (MAE): -3.06233e+07	,Validation accuracy (MAE): -3.72107e+07	,Training accuracy (MRAE): 0.270483	,Validation accuracy (MRAE): 0.213967
Epoch: 24:	Training loss (MRSE): 0.632683	,Validation loss (MRSE): 0.693706	,Training loss (MSE): 5.51866e+16	,Validation loss (MSE): 6.03655e+16	,Training accuracy (MAE): -3.04784e+07	,Validation accuracy (MAE): -3.65016e+07	,Training accuracy (MRAE): 0.253568	,Validation accuracy (MRAE): 0.212046
Epoch: 26:	Training loss (MRSE): 0.640555	,Validation loss (MRSE): 0.710033	,Training loss (MSE): 5.62935e+16	,Validation loss (MSE): 6.3863e+16	,Training accuracy (MAE): -3.10896e+07	,Validation accuracy (MAE): -3.90703e+07	,Training accuracy (MRAE): 0.248604	,Validation accuracy (MRAE): 0.206184
Epoch: 28:	Training loss (MRSE): 0.663378	,Validation loss (MRSE): 0.707992	,Training loss (MSE): 5.63307e+16	,Validation loss (MSE): 6.77545e+16	,Training accuracy (MAE): -3.09641e+07	,Validation accuracy (MAE): -4.10232e+07	,Training accuracy (MRAE): 0.229094	,Validation accuracy (MRAE): 0.203919
Epoch: 30:	Training loss (MRSE): 0.618238	,Validation loss (MRSE): 0.701964	,Training loss (MSE): 5.83449e+16	,Validation loss (MSE): 6.6863e+16	,Training accuracy (MAE): -3.15416e+07	,Validation accuracy (MAE): -4.15682e+07	,Training accuracy (MRAE): 0.264767	,Validation accuracy (MRAE): 0.206673
Epoch: 32:	Training loss (MRSE): 0.64274	,Validation loss (MRSE): 0.70693	,Training loss (MSE): 6.06256e+16	,Validation loss (MSE): 8.53761e+16	,Training accuracy (MAE): -3.29056e+07	,Validation accuracy (MAE): -4.90927e+07	,Training accuracy (MRAE): 0.248904	,Validation accuracy (MRAE): 0.197294
Epoch: 34:	Training loss (MRSE): 0.647461	,Validation loss (MRSE): 0.717211	,Training loss (MSE): 6.00926e+16	,Validation loss (MSE): 8.10538e+16	,Training accuracy (MAE): -3.23535e+07	,Validation accuracy (MAE): -4.75761e+07	,Training accuracy (MRAE): 0.247766	,Validation accuracy (MRAE): 0.190136
Epoch: 36:	Training loss (MRSE): 0.657831	,Validation loss (MRSE): 0.743501	,Training loss (MSE): 5.83566e+16	,Validation loss (MSE): 7.35804e+16	,Training accuracy (MAE): -3.19291e+07	,Validation accuracy (MAE): -4.50367e+07	,Training accuracy (MRAE): 0.238924	,Validation accuracy (MRAE): 0.171321
Epoch: 38:	Training loss (MRSE): 0.634613	,Validation loss (MRSE): 0.709128	,Training loss (MSE): 5.49007e+16	,Validation loss (MSE): 5.34992e+16	,Training accuracy (MAE): -2.96812e+07	,Validation accuracy (MAE): -3.47551e+07	,Training accuracy (MRAE): 0.25599	,Validation accuracy (MRAE): 0.197434
Epoch: 40:	Training loss (MRSE): 0.613426	,Validation loss (MRSE): 0.691036	,Training loss (MSE): 5.14638e+16	,Validation loss (MSE): 5.94713e+16	,Training accuracy (MAE): -2.79235e+07	,Validation accuracy (MAE): -3.93025e+07	,Training accuracy (MRAE): 0.277352	,Validation accuracy (MRAE): 0.209812
Epoch: 42:	Training loss (MRSE): 0.607907	,Validation loss (MRSE): 0.713743	,Training loss (MSE): 5.29872e+16	,Validation loss (MSE): 5.58262e+16	,Training accuracy (MAE): -2.83059e+07	,Validation accuracy (MAE): -3.65161e+07	,Training accuracy (MRAE): 0.28237	,Validation accuracy (MRAE): 0.192428
Epoch: 44:	Training loss (MRSE): 0.62314	,Validation loss (MRSE): 0.714021	,Training loss (MSE): 5.28344e+16	,Validation loss (MSE): 5.91599e+16	,Training accuracy (MAE): -2.92074e+07	,Validation accuracy (MAE): -3.88779e+07	,Training accuracy (MRAE): 0.261684	,Validation accuracy (MRAE): 0.196888
Epoch: 46:	Training loss (MRSE): 0.620399	,Validation loss (MRSE): 0.70217	,Training loss (MSE): 5.32054e+16	,Validation loss (MSE): 6.78562e+16	,Training accuracy (MAE): -2.92861e+07	,Validation accuracy (MAE): -4.29186e+07	,Training accuracy (MRAE): 0.26656	,Validation accuracy (MRAE): 0.211424
Epoch: 48:	Training loss (MRSE): 0.639204	,Validation loss (MRSE): 0.71072	,Training loss (MSE): 5.50224e+16	,Validation loss (MSE): 7.47069e+16	,Training accuracy (MAE): -2.99747e+07	,Validation accuracy (MAE): -4.50896e+07	,Training accuracy (MRAE): 0.250646	,Validation accuracy (MRAE): 0.200265
Epoch: 50:	Training loss (MRSE): 0.604887	,Validation loss (MRSE): 0.706746	,Training loss (MSE): 5.43372e+16	,Validation loss (MSE): 7.20482e+16	,Training accuracy (MAE): -2.95724e+07	,Validation accuracy (MAE): -4.47275e+07	,Training accuracy (MRAE): 0.277972	,Validation accuracy (MRAE): 0.199171
Epoch: 52:	Training loss (MRSE): 0.635327	,Validation loss (MRSE): 0.728118	,Training loss (MSE): 5.51177e+16	,Validation loss (MSE): 7.25891e+16	,Training accuracy (MAE): -2.98098e+07	,Validation accuracy (MAE): -4.3957e+07	,Training accuracy (MRAE): 0.247533	,Validation accuracy (MRAE): 0.185125
Epoch: 54:	Training loss (MRSE): 0.624783	,Validation loss (MRSE): 0.720896	,Training loss (MSE): 5.20295e+16	,Validation loss (MSE): 6.28054e+16	,Training accuracy (MAE): -2.8415e+07	,Validation accuracy (MAE): -3.97497e+07	,Training accuracy (MRAE): 0.258743	,Validation accuracy (MRAE): 0.189244
Epoch: 56:	Training loss (MRSE): 0.645315	,Validation loss (MRSE): 0.697844	,Training loss (MSE): 5.26981e+16	,Validation loss (MSE): 7.06319e+16	,Training accuracy (MAE): -2.90645e+07	,Validation accuracy (MAE): -4.26659e+07	,Training accuracy (MRAE): 0.244123	,Validation accuracy (MRAE): 0.212301
Epoch: 58:	Training loss (MRSE): 0.607476	,Validation loss (MRSE): 0.703638	,Training loss (MSE): 5.2088e+16	,Validation loss (MSE): 6.79461e+16	,Training accuracy (MAE): -2.91341e+07	,Validation accuracy (MAE): -4.30723e+07	,Training accuracy (MRAE): 0.276928	,Validation accuracy (MRAE): 0.200937
Epoch: 60:	Training loss (MRSE): 0.617895	,Validation loss (MRSE): 0.7216	,Training loss (MSE): 5.16324e+16	,Validation loss (MSE): 6.78828e+16	,Training accuracy (MAE): -2.92064e+07	,Validation accuracy (MAE): -4.29987e+07	,Training accuracy (MRAE): 0.266712	,Validation accuracy (MRAE): 0.186761
Epoch: 62:	Training loss (MRSE): 0.60717	,Validation loss (MRSE): 0.725268	,Training loss (MSE): 5.2477e+16	,Validation loss (MSE): 6.4466e+16	,Training accuracy (MAE): -2.93402e+07	,Validation accuracy (MAE): -4.19278e+07	,Training accuracy (MRAE): 0.277206	,Validation accuracy (MRAE): 0.182637
Epoch: 64:	Training loss (MRSE): 0.622536	,Validation loss (MRSE): 0.733987	,Training loss (MSE): 5.30489e+16	,Validation loss (MSE): 7.60914e+16	,Training accuracy (MAE): -3.00425e+07	,Validation accuracy (MAE): -4.70836e+07	,Training accuracy (MRAE): 0.264966	,Validation accuracy (MRAE): 0.178246
Epoch: 66:	Training loss (MRSE): 0.619726	,Validation loss (MRSE): 0.726646	,Training loss (MSE): 5.42308e+16	,Validation loss (MSE): 6.9266e+16	,Training accuracy (MAE): -3.04653e+07	,Validation accuracy (MAE): -4.38139e+07	,Training accuracy (MRAE): 0.267655	,Validation accuracy (MRAE): 0.188408
Epoch: 68:	Training loss (MRSE): 0.617015	,Validation loss (MRSE): 0.735817	,Training loss (MSE): 5.54338e+16	,Validation loss (MSE): 6.68379e+16	,Training accuracy (MAE): -3.03787e+07	,Validation accuracy (MAE): -4.23368e+07	,Training accuracy (MRAE): 0.269564	,Validation accuracy (MRAE): 0.178073
Epoch: 70:	Training loss (MRSE): 0.613334	,Validation loss (MRSE): 0.718488	,Training loss (MSE): 5.43245e+16	,Validation loss (MSE): 6.66527e+16	,Training accuracy (MAE): -2.89453e+07	,Validation accuracy (MAE): -4.22483e+07	,Training accuracy (MRAE): 0.275031	,Validation accuracy (MRAE): 0.192875
Epoch: 72:	Training loss (MRSE): 0.60861	,Validation loss (MRSE): 0.71739	,Training loss (MSE): 5.54609e+16	,Validation loss (MSE): 7.15461e+16	,Training accuracy (MAE): -3.00526e+07	,Validation accuracy (MAE): -4.43376e+07	,Training accuracy (MRAE): 0.277566	,Validation accuracy (MRAE): 0.20084
Epoch: 74:	Training loss (MRSE): 0.602575	,Validation loss (MRSE): 0.713739	,Training loss (MSE): 5.35129e+16	,Validation loss (MSE): 6.97909e+16	,Training accuracy (MAE): -2.91285e+07	,Validation accuracy (MAE): -4.34606e+07	,Training accuracy (MRAE): 0.285602	,Validation accuracy (MRAE): 0.198845
Epoch: 76:	Training loss (MRSE): 0.590728	,Validation loss (MRSE): 0.71023	,Training loss (MSE): 5.33776e+16	,Validation loss (MSE): 6.33689e+16	,Training accuracy (MAE): -2.89067e+07	,Validation accuracy (MAE): -4.05974e+07	,Training accuracy (MRAE): 0.293729	,Validation accuracy (MRAE): 0.203658
Epoch: 78:	Training loss (MRSE): 0.592563	,Validation loss (MRSE): 0.710614	,Training loss (MSE): 5.31244e+16	,Validation loss (MSE): 6.83349e+16	,Training accuracy (MAE): -2.9017e+07	,Validation accuracy (MAE): -4.25551e+07	,Training accuracy (MRAE): 0.292798	,Validation accuracy (MRAE): 0.199879
Epoch: 80:	Training loss (MRSE): 0.574302	,Validation loss (MRSE): 0.724158	,Training loss (MSE): 5.31264e+16	,Validation loss (MSE): 6.34989e+16	,Training accuracy (MAE): -2.88413e+07	,Validation accuracy (MAE): -3.98481e+07	,Training accuracy (MRAE): 0.30603	,Validation accuracy (MRAE): 0.189605
Epoch: 82:	Training loss (MRSE): 0.597452	,Validation loss (MRSE): 0.702242	,Training loss (MSE): 5.48756e+16	,Validation loss (MSE): 6.73197e+16	,Training accuracy (MAE): -2.91821e+07	,Validation accuracy (MAE): -3.98267e+07	,Training accuracy (MRAE): 0.284707	,Validation accuracy (MRAE): 0.20712
Epoch: 84:	Training loss (MRSE): 0.628671	,Validation loss (MRSE): 0.702317	,Training loss (MSE): 5.8355e+16	,Validation loss (MSE): 8.58486e+16	,Training accuracy (MAE): -3.13901e+07	,Validation accuracy (MAE): -4.73949e+07	,Training accuracy (MRAE): 0.260543	,Validation accuracy (MRAE): 0.203135
Epoch: 86:	Training loss (MRSE): 0.608081	,Validation loss (MRSE): 0.710525	,Training loss (MSE): 5.18581e+16	,Validation loss (MSE): 6.31032e+16	,Training accuracy (MAE): -2.88036e+07	,Validation accuracy (MAE): -3.87554e+07	,Training accuracy (MRAE): 0.274368	,Validation accuracy (MRAE): 0.203865
