Epoch: 0	,Training loss (MRSE): 0.675395	,Validation loss (MRSE): 0.810427	,Training loss (MSE): 1.52268e+17	,Validation loss (MSE): 1.93016e+17	,Training accuracy (MAE): -6.02951e+07	,Validation accuracy (MAE): -7.52441e+07	,Training accuracy (MRAE): 0.22889	,Validation accuracy (MRAE): 0.130559
Epoch: 2	,Training loss (MRSE): 0.689481	,Validation loss (MRSE): 0.811079	,Training loss (MSE): 1.52697e+17	,Validation loss (MSE): 1.93025e+17	,Training accuracy (MAE): -6.02575e+07	,Validation accuracy (MAE): -7.48016e+07	,Training accuracy (MRAE): 0.205852	,Validation accuracy (MRAE): 0.129546
Epoch: 4	,Training loss (MRSE): 0.680072	,Validation loss (MRSE): 0.819734	,Training loss (MSE): 1.52274e+17	,Validation loss (MSE): 1.92884e+17	,Training accuracy (MAE): -6.0125e+07	,Validation accuracy (MAE): -7.51606e+07	,Training accuracy (MRAE): 0.223316	,Validation accuracy (MRAE): 0.116621
Epoch: 6	,Training loss (MRSE): 0.620372	,Validation loss (MRSE): 0.815534	,Training loss (MSE): 1.52639e+17	,Validation loss (MSE): 1.93009e+17	,Training accuracy (MAE): -5.98305e+07	,Validation accuracy (MAE): -7.48293e+07	,Training accuracy (MRAE): 0.262755	,Validation accuracy (MRAE): 0.129627
Epoch: 8	,Training loss (MRSE): 0.60297	,Validation loss (MRSE): 0.79281	,Training loss (MSE): 1.52637e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -5.97294e+07	,Validation accuracy (MAE): -7.46714e+07	,Training accuracy (MRAE): 0.270815	,Validation accuracy (MRAE): 0.138946
Epoch: 10	,Training loss (MRSE): 0.59079	,Validation loss (MRSE): 0.788112	,Training loss (MSE): 1.52139e+17	,Validation loss (MSE): 1.93022e+17	,Training accuracy (MAE): -5.96691e+07	,Validation accuracy (MAE): -7.4838e+07	,Training accuracy (MRAE): 0.290349	,Validation accuracy (MRAE): 0.147465
Epoch: 12	,Training loss (MRSE): 0.559828	,Validation loss (MRSE): 0.789535	,Training loss (MSE): 1.52212e+17	,Validation loss (MSE): 1.93025e+17	,Training accuracy (MAE): -5.94803e+07	,Validation accuracy (MAE): -7.47744e+07	,Training accuracy (MRAE): 0.31656	,Validation accuracy (MRAE): 0.144821
Epoch: 14	,Training loss (MRSE): 0.556873	,Validation loss (MRSE): 0.782646	,Training loss (MSE): 1.5153e+17	,Validation loss (MSE): 1.93029e+17	,Training accuracy (MAE): -5.94526e+07	,Validation accuracy (MAE): -7.48689e+07	,Training accuracy (MRAE): 0.318645	,Validation accuracy (MRAE): 0.148397
Epoch: 16	,Training loss (MRSE): 0.542133	,Validation loss (MRSE): 0.777224	,Training loss (MSE): 1.51937e+17	,Validation loss (MSE): 1.93027e+17	,Training accuracy (MAE): -5.94554e+07	,Validation accuracy (MAE): -7.47642e+07	,Training accuracy (MRAE): 0.330072	,Validation accuracy (MRAE): 0.153859
Epoch: 18	,Training loss (MRSE): 0.534521	,Validation loss (MRSE): 0.783682	,Training loss (MSE): 1.5155e+17	,Validation loss (MSE): 1.93028e+17	,Training accuracy (MAE): -5.94182e+07	,Validation accuracy (MAE): -7.4824e+07	,Training accuracy (MRAE): 0.338957	,Validation accuracy (MRAE): 0.144299
Epoch: 20	,Training loss (MRSE): 0.533767	,Validation loss (MRSE): 0.790191	,Training loss (MSE): 1.51287e+17	,Validation loss (MSE): 1.9303e+17	,Training accuracy (MAE): -5.95842e+07	,Validation accuracy (MAE): -7.48773e+07	,Training accuracy (MRAE): 0.339195	,Validation accuracy (MRAE): 0.140487
