Epoch: 0:	Training loss (MRSE): 0.842914	,Validation loss (MRSE): 0.875218	,Training loss (MSE): 1.55645e+18	,Validation loss (MSE): 9.84646e+17	,Training accuracy (MAE): -6.03143e+08	,Validation accuracy (MAE): -4.44059e+08	,Training accuracy (MRAE): 0.106131	,Validation accuracy (MRAE): 0.0818198
Epoch: 2:	Training loss (MRSE): 0.858984	,Validation loss (MRSE): 0.858479	,Training loss (MSE): 3.747e+17	,Validation loss (MSE): 1.73285e+17	,Training accuracy (MAE): -2.05692e+08	,Validation accuracy (MAE): -1.28513e+08	,Training accuracy (MRAE): 0.0904153	,Validation accuracy (MRAE): 0.0957471
Epoch: 4:	Training loss (MRSE): 0.737656	,Validation loss (MRSE): 0.741565	,Training loss (MSE): 2.99495e+17	,Validation loss (MSE): 4.63278e+16	,Training accuracy (MAE): -1.35458e+08	,Validation accuracy (MAE): -4.41521e+07	,Training accuracy (MRAE): 0.17737	,Validation accuracy (MRAE): 0.1783
Epoch: 6:	Training loss (MRSE): 0.782348	,Validation loss (MRSE): 0.830726	,Training loss (MSE): 2.57064e+17	,Validation loss (MSE): 1.4686e+17	,Training accuracy (MAE): -1.38738e+08	,Validation accuracy (MAE): -8.90861e+07	,Training accuracy (MRAE): 0.147666	,Validation accuracy (MRAE): 0.113337
Epoch: 8:	Training loss (MRSE): 0.719141	,Validation loss (MRSE): 0.795248	,Training loss (MSE): 1.11888e+17	,Validation loss (MSE): 1.1445e+17	,Training accuracy (MAE): -7.43351e+07	,Validation accuracy (MAE): -6.93617e+07	,Training accuracy (MRAE): 0.192374	,Validation accuracy (MRAE): 0.137088
Epoch: 10:	Training loss (MRSE): 0.782394	,Validation loss (MRSE): 0.814052	,Training loss (MSE): 1.6951e+17	,Validation loss (MSE): 1.88673e+17	,Training accuracy (MAE): -1.14488e+08	,Validation accuracy (MAE): -1.17221e+08	,Training accuracy (MRAE): 0.147854	,Validation accuracy (MRAE): 0.12605
Epoch: 12:	Training loss (MRSE): 0.716826	,Validation loss (MRSE): 0.763672	,Training loss (MSE): 1.86877e+17	,Validation loss (MSE): 1.38504e+17	,Training accuracy (MAE): -1.0112e+08	,Validation accuracy (MAE): -9.62345e+07	,Training accuracy (MRAE): 0.190162	,Validation accuracy (MRAE): 0.150212
Epoch: 14:	Training loss (MRSE): 0.749921	,Validation loss (MRSE): 0.80945	,Training loss (MSE): 1.65746e+17	,Validation loss (MSE): 3.50955e+17	,Training accuracy (MAE): -1.28927e+08	,Validation accuracy (MAE): -2.13681e+08	,Training accuracy (MRAE): 0.170102	,Validation accuracy (MRAE): 0.129894
Epoch: 16:	Training loss (MRSE): 0.723319	,Validation loss (MRSE): 0.786968	,Training loss (MSE): 1.12532e+17	,Validation loss (MSE): 4.37336e+17	,Training accuracy (MAE): -1.01891e+08	,Validation accuracy (MAE): -2.21466e+08	,Training accuracy (MRAE): 0.188839	,Validation accuracy (MRAE): 0.143086
Epoch: 18:	Training loss (MRSE): 0.664649	,Validation loss (MRSE): 0.7726	,Training loss (MSE): 1.14015e+17	,Validation loss (MSE): 1.24647e+17	,Training accuracy (MAE): -5.80252e+07	,Validation accuracy (MAE): -8.5063e+07	,Training accuracy (MRAE): 0.225204	,Validation accuracy (MRAE): 0.146681
Epoch: 20:	Training loss (MRSE): 0.657226	,Validation loss (MRSE): 0.749991	,Training loss (MSE): 9.92032e+16	,Validation loss (MSE): 9.71783e+16	,Training accuracy (MAE): -6.19269e+07	,Validation accuracy (MAE): -7.98279e+07	,Training accuracy (MRAE): 0.23622	,Validation accuracy (MRAE): 0.170806
Epoch: 22:	Training loss (MRSE): 0.651196	,Validation loss (MRSE): 0.72475	,Training loss (MSE): 1.51545e+17	,Validation loss (MSE): 1.46142e+17	,Training accuracy (MAE): -7.81158e+07	,Validation accuracy (MAE): -9.3281e+07	,Training accuracy (MRAE): 0.236342	,Validation accuracy (MRAE): 0.187805
Epoch: 24:	Training loss (MRSE): 0.648557	,Validation loss (MRSE): 0.762136	,Training loss (MSE): 7.91816e+16	,Validation loss (MSE): 1.36643e+17	,Training accuracy (MAE): -5.06388e+07	,Validation accuracy (MAE): -8.85764e+07	,Training accuracy (MRAE): 0.243938	,Validation accuracy (MRAE): 0.158833
