Epoch: 0	,Training loss (MRSE): 0.701902	,Validation loss (MRSE): 0.779243	,Training loss (MSE): 1.16324e+17	,Validation loss (MSE): 3.38931e+17	,Training accuracy (MAE): -5.3225e+07	,Validation accuracy (MAE): -1.03138e+08	,Training accuracy (MRAE): 0.210399	,Validation accuracy (MRAE): 0.147508
Epoch: 12	,Training loss (MRSE): 0.706444	,Validation loss (MRSE): 0.788101	,Training loss (MSE): 1.16326e+17	,Validation loss (MSE): 3.38935e+17	,Training accuracy (MAE): -5.32267e+07	,Validation accuracy (MAE): -1.03142e+08	,Training accuracy (MRAE): 0.20358	,Validation accuracy (MRAE): 0.141431
Epoch: 24	,Training loss (MRSE): 0.702379	,Validation loss (MRSE): 0.781582	,Training loss (MSE): 1.16323e+17	,Validation loss (MSE): 3.38929e+17	,Training accuracy (MAE): -5.32236e+07	,Validation accuracy (MAE): -1.03137e+08	,Training accuracy (MRAE): 0.209122	,Validation accuracy (MRAE): 0.144664
Epoch: 36	,Training loss (MRSE): 0.71891	,Validation loss (MRSE): 0.783944	,Training loss (MSE): 1.16313e+17	,Validation loss (MSE): 3.38912e+17	,Training accuracy (MAE): -5.32193e+07	,Validation accuracy (MAE): -1.03124e+08	,Training accuracy (MRAE): 0.196881	,Validation accuracy (MRAE): 0.147082
Epoch: 48	,Training loss (MRSE): 0.741523	,Validation loss (MRSE): 0.766849	,Training loss (MSE): 1.16213e+17	,Validation loss (MSE): 3.38731e+17	,Training accuracy (MAE): -5.32353e+07	,Validation accuracy (MAE): -1.0306e+08	,Training accuracy (MRAE): 0.170757	,Validation accuracy (MRAE): 0.152014
Epoch: 60	,Training loss (MRSE): 0.735067	,Validation loss (MRSE): 0.765835	,Training loss (MSE): 1.16086e+17	,Validation loss (MSE): 3.38437e+17	,Training accuracy (MAE): -5.32303e+07	,Validation accuracy (MAE): -1.03111e+08	,Training accuracy (MRAE): 0.172913	,Validation accuracy (MRAE): 0.149936
Epoch: 72	,Training loss (MRSE): 0.712727	,Validation loss (MRSE): 0.754468	,Training loss (MSE): 1.15894e+17	,Validation loss (MSE): 3.37964e+17	,Training accuracy (MAE): -5.31855e+07	,Validation accuracy (MAE): -1.03141e+08	,Training accuracy (MRAE): 0.19516	,Validation accuracy (MRAE): 0.167649
Epoch: 84	,Training loss (MRSE): 0.666121	,Validation loss (MRSE): 0.781018	,Training loss (MSE): 1.16063e+17	,Validation loss (MSE): 3.38296e+17	,Training accuracy (MAE): -5.30919e+07	,Validation accuracy (MAE): -1.03094e+08	,Training accuracy (MRAE): 0.229912	,Validation accuracy (MRAE): 0.139836
Epoch: 96	,Training loss (MRSE): 0.64117	,Validation loss (MRSE): 0.764755	,Training loss (MSE): 1.16017e+17	,Validation loss (MSE): 3.38142e+17	,Training accuracy (MAE): -5.30209e+07	,Validation accuracy (MAE): -1.03036e+08	,Training accuracy (MRAE): 0.250255	,Validation accuracy (MRAE): 0.163132
Epoch: 108	,Training loss (MRSE): 0.621612	,Validation loss (MRSE): 0.761736	,Training loss (MSE): 1.16059e+17	,Validation loss (MSE): 3.38221e+17	,Training accuracy (MAE): -5.29678e+07	,Validation accuracy (MAE): -1.02993e+08	,Training accuracy (MRAE): 0.263065	,Validation accuracy (MRAE): 0.164807
Epoch: 120	,Training loss (MRSE): 0.599496	,Validation loss (MRSE): 0.732548	,Training loss (MSE): 1.15899e+17	,Validation loss (MSE): 3.37783e+17	,Training accuracy (MAE): -5.27965e+07	,Validation accuracy (MAE): -1.02807e+08	,Training accuracy (MRAE): 0.282522	,Validation accuracy (MRAE): 0.185419
Epoch: 132	,Training loss (MRSE): 0.572096	,Validation loss (MRSE): 0.728076	,Training loss (MSE): 1.15862e+17	,Validation loss (MSE): 3.37726e+17	,Training accuracy (MAE): -5.26856e+07	,Validation accuracy (MAE): -1.02706e+08	,Training accuracy (MRAE): 0.304489	,Validation accuracy (MRAE): 0.189878
Epoch: 144	,Training loss (MRSE): 0.56107	,Validation loss (MRSE): 0.718324	,Training loss (MSE): 1.1514e+17	,Validation loss (MSE): 3.3602e+17	,Training accuracy (MAE): -5.25171e+07	,Validation accuracy (MAE): -1.02419e+08	,Training accuracy (MRAE): 0.313297	,Validation accuracy (MRAE): 0.193398
Epoch: 156	,Training loss (MRSE): 0.569723	,Validation loss (MRSE): 0.720232	,Training loss (MSE): 1.14672e+17	,Validation loss (MSE): 3.34818e+17	,Training accuracy (MAE): -5.23355e+07	,Validation accuracy (MAE): -1.02326e+08	,Training accuracy (MRAE): 0.305228	,Validation accuracy (MRAE): 0.193817
Epoch: 168	,Training loss (MRSE): 0.559518	,Validation loss (MRSE): 0.751476	,Training loss (MSE): 1.15056e+17	,Validation loss (MSE): 3.36043e+17	,Training accuracy (MAE): -5.24075e+07	,Validation accuracy (MAE): -1.0246e+08	,Training accuracy (MRAE): 0.306047	,Validation accuracy (MRAE): 0.168284
Epoch: 180	,Training loss (MRSE): 0.583157	,Validation loss (MRSE): 0.752046	,Training loss (MSE): 1.14771e+17	,Validation loss (MSE): 3.35186e+17	,Training accuracy (MAE): -5.23652e+07	,Validation accuracy (MAE): -1.02318e+08	,Training accuracy (MRAE): 0.283851	,Validation accuracy (MRAE): 0.171638
Epoch: 192	,Training loss (MRSE): 0.51148	,Validation loss (MRSE): 0.751588	,Training loss (MSE): 1.122e+17	,Validation loss (MSE): 3.29011e+17	,Training accuracy (MAE): -5.15578e+07	,Validation accuracy (MAE): -1.01454e+08	,Training accuracy (MRAE): 0.348017	,Validation accuracy (MRAE): 0.169842
Epoch: 204	,Training loss (MRSE): 0.470987	,Validation loss (MRSE): 0.729137	,Training loss (MSE): 1.10128e+17	,Validation loss (MSE): 3.22594e+17	,Training accuracy (MAE): -5.08149e+07	,Validation accuracy (MAE): -1.00435e+08	,Training accuracy (MRAE): 0.387328	,Validation accuracy (MRAE): 0.185107
Epoch: 216	,Training loss (MRSE): 0.585147	,Validation loss (MRSE): 0.754501	,Training loss (MSE): 1.11283e+17	,Validation loss (MSE): 3.26865e+17	,Training accuracy (MAE): -5.14993e+07	,Validation accuracy (MAE): -1.01243e+08	,Training accuracy (MRAE): 0.28067	,Validation accuracy (MRAE): 0.170763
Epoch: 228	,Training loss (MRSE): 0.480532	,Validation loss (MRSE): 0.734	,Training loss (MSE): 1.03419e+17	,Validation loss (MSE): 3.06016e+17	,Training accuracy (MAE): -4.91911e+07	,Validation accuracy (MAE): -9.80581e+07	,Training accuracy (MRAE): 0.373745	,Validation accuracy (MRAE): 0.185644
Epoch: 240	,Training loss (MRSE): 0.459706	,Validation loss (MRSE): 0.740078	,Training loss (MSE): 9.92967e+16	,Validation loss (MSE): 2.96264e+17	,Training accuracy (MAE): -4.80903e+07	,Validation accuracy (MAE): -9.66117e+07	,Training accuracy (MRAE): 0.395801	,Validation accuracy (MRAE): 0.179288
Epoch: 252	,Training loss (MRSE): 0.477702	,Validation loss (MRSE): 0.738687	,Training loss (MSE): 9.71023e+16	,Validation loss (MSE): 2.91536e+17	,Training accuracy (MAE): -4.75711e+07	,Validation accuracy (MAE): -9.58926e+07	,Training accuracy (MRAE): 0.376176	,Validation accuracy (MRAE): 0.187353
Epoch: 264	,Training loss (MRSE): 0.43496	,Validation loss (MRSE): 0.734604	,Training loss (MSE): 8.88409e+16	,Validation loss (MSE): 2.6817e+17	,Training accuracy (MAE): -4.53018e+07	,Validation accuracy (MAE): -9.2222e+07	,Training accuracy (MRAE): 0.426038	,Validation accuracy (MRAE): 0.185463
Epoch: 276	,Training loss (MRSE): 0.521861	,Validation loss (MRSE): 0.750671	,Training loss (MSE): 9.40477e+16	,Validation loss (MSE): 2.85162e+17	,Training accuracy (MAE): -4.70868e+07	,Validation accuracy (MAE): -9.49902e+07	,Training accuracy (MRAE): 0.33473	,Validation accuracy (MRAE): 0.172598
Epoch: 288	,Training loss (MRSE): 0.421978	,Validation loss (MRSE): 0.732952	,Training loss (MSE): 7.80984e+16	,Validation loss (MSE): 2.4124e+17	,Training accuracy (MAE): -4.19549e+07	,Validation accuracy (MAE): -8.75496e+07	,Training accuracy (MRAE): 0.428687	,Validation accuracy (MRAE): 0.18333
Epoch: 300	,Training loss (MRSE): 0.419349	,Validation loss (MRSE): 0.73469	,Training loss (MSE): 7.14577e+16	,Validation loss (MSE): 2.1915e+17	,Training accuracy (MAE): -3.96004e+07	,Validation accuracy (MAE): -8.3503e+07	,Training accuracy (MRAE): 0.431353	,Validation accuracy (MRAE): 0.180568
Epoch: 312	,Training loss (MRSE): 0.413607	,Validation loss (MRSE): 0.704683	,Training loss (MSE): 7.47887e+16	,Validation loss (MSE): 2.3235e+17	,Training accuracy (MAE): -4.07397e+07	,Validation accuracy (MAE): -8.58854e+07	,Training accuracy (MRAE): 0.433201	,Validation accuracy (MRAE): 0.210555
Epoch: 324	,Training loss (MRSE): 0.431461	,Validation loss (MRSE): 0.702029	,Training loss (MSE): 7.44841e+16	,Validation loss (MSE): 2.30452e+17	,Training accuracy (MAE): -4.06392e+07	,Validation accuracy (MAE): -8.55229e+07	,Training accuracy (MRAE): 0.414372	,Validation accuracy (MRAE): 0.211687
Epoch: 336	,Training loss (MRSE): 0.408058	,Validation loss (MRSE): 0.695346	,Training loss (MSE): 6.60342e+16	,Validation loss (MSE): 2.02892e+17	,Training accuracy (MAE): -3.71105e+07	,Validation accuracy (MAE): -8.01705e+07	,Training accuracy (MRAE): 0.436483	,Validation accuracy (MRAE): 0.218319
Epoch: 348	,Training loss (MRSE): 0.517332	,Validation loss (MRSE): 0.713204	,Training loss (MSE): 5.60056e+16	,Validation loss (MSE): 1.73103e+17	,Training accuracy (MAE): -3.39208e+07	,Validation accuracy (MAE): -7.48312e+07	,Training accuracy (MRAE): 0.336243	,Validation accuracy (MRAE): 0.197696
Epoch: 360	,Training loss (MRSE): 0.385723	,Validation loss (MRSE): 0.712354	,Training loss (MSE): 5.96448e+16	,Validation loss (MSE): 1.85471e+17	,Training accuracy (MAE): -3.41958e+07	,Validation accuracy (MAE): -7.66242e+07	,Training accuracy (MRAE): 0.458109	,Validation accuracy (MRAE): 0.205072
Epoch: 372	,Training loss (MRSE): 0.457261	,Validation loss (MRSE): 0.696846	,Training loss (MSE): 5.34053e+16	,Validation loss (MSE): 1.63758e+17	,Training accuracy (MAE): -3.11533e+07	,Validation accuracy (MAE): -7.19586e+07	,Training accuracy (MRAE): 0.388364	,Validation accuracy (MRAE): 0.221037
Epoch: 384	,Training loss (MRSE): 0.397308	,Validation loss (MRSE): 0.707787	,Training loss (MSE): 5.47639e+16	,Validation loss (MSE): 1.71369e+17	,Training accuracy (MAE): -3.17933e+07	,Validation accuracy (MAE): -7.34328e+07	,Training accuracy (MRAE): 0.445592	,Validation accuracy (MRAE): 0.201978
Epoch: 396	,Training loss (MRSE): 0.445021	,Validation loss (MRSE): 0.725227	,Training loss (MSE): 5.98821e+16	,Validation loss (MSE): 1.88635e+17	,Training accuracy (MAE): -3.46396e+07	,Validation accuracy (MAE): -7.71851e+07	,Training accuracy (MRAE): 0.404013	,Validation accuracy (MRAE): 0.191349
Epoch: 408	,Training loss (MRSE): 0.431952	,Validation loss (MRSE): 0.699737	,Training loss (MSE): 4.80016e+16	,Validation loss (MSE): 1.51472e+17	,Training accuracy (MAE): -2.80566e+07	,Validation accuracy (MAE): -6.90224e+07	,Training accuracy (MRAE): 0.409981	,Validation accuracy (MRAE): 0.209119
Epoch: 420	,Training loss (MRSE): 0.390576	,Validation loss (MRSE): 0.705934	,Training loss (MSE): 5.28701e+16	,Validation loss (MSE): 1.65667e+17	,Training accuracy (MAE): -3.05373e+07	,Validation accuracy (MAE): -7.22951e+07	,Training accuracy (MRAE): 0.452147	,Validation accuracy (MRAE): 0.207031
