Epoch: 0	,Training loss (MRSE): 0.795511	,Validation loss (MRSE): 0.837415	,Training loss (MSE): 1.52879e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03686e+07	,Validation accuracy (MAE): -7.46211e+07	,Training accuracy (MRAE): 0.141299	,Validation accuracy (MRAE): 0.106713
Epoch: 2	,Training loss (MRSE): 0.71953	,Validation loss (MRSE): 0.8035	,Training loss (MSE): 1.52858e+17	,Validation loss (MSE): 1.93033e+17	,Training accuracy (MAE): -6.03533e+07	,Validation accuracy (MAE): -7.46413e+07	,Training accuracy (MRAE): 0.196837	,Validation accuracy (MRAE): 0.134925
Epoch: 4	,Training loss (MRSE): 0.725802	,Validation loss (MRSE): 0.801886	,Training loss (MSE): 1.52799e+17	,Validation loss (MSE): 1.93026e+17	,Training accuracy (MAE): -6.03076e+07	,Validation accuracy (MAE): -7.47234e+07	,Training accuracy (MRAE): 0.174492	,Validation accuracy (MRAE): 0.129878
Epoch: 6	,Training loss (MRSE): 0.692132	,Validation loss (MRSE): 0.814227	,Training loss (MSE): 1.5273e+17	,Validation loss (MSE): 1.93033e+17	,Training accuracy (MAE): -6.0273e+07	,Validation accuracy (MAE): -7.47986e+07	,Training accuracy (MRAE): 0.216962	,Validation accuracy (MRAE): 0.126792
Epoch: 8	,Training loss (MRSE): 0.678109	,Validation loss (MRSE): 0.822523	,Training loss (MSE): 1.52656e+17	,Validation loss (MSE): 1.93029e+17	,Training accuracy (MAE): -6.0254e+07	,Validation accuracy (MAE): -7.48272e+07	,Training accuracy (MRAE): 0.213135	,Validation accuracy (MRAE): 0.112917
Epoch: 10	,Training loss (MRSE): 0.658582	,Validation loss (MRSE): 0.831619	,Training loss (MSE): 1.5258e+17	,Validation loss (MSE): 1.9303e+17	,Training accuracy (MAE): -6.01759e+07	,Validation accuracy (MAE): -7.49177e+07	,Training accuracy (MRAE): 0.232628	,Validation accuracy (MRAE): 0.109553
Epoch: 12	,Training loss (MRSE): 0.646158	,Validation loss (MRSE): 0.828248	,Training loss (MSE): 1.52473e+17	,Validation loss (MSE): 1.93028e+17	,Training accuracy (MAE): -6.01201e+07	,Validation accuracy (MAE): -7.50545e+07	,Training accuracy (MRAE): 0.244065	,Validation accuracy (MRAE): 0.109017
Epoch: 14	,Training loss (MRSE): 0.642408	,Validation loss (MRSE): 0.80993	,Training loss (MSE): 1.52532e+17	,Validation loss (MSE): 1.93024e+17	,Training accuracy (MAE): -6.00847e+07	,Validation accuracy (MAE): -7.48996e+07	,Training accuracy (MRAE): 0.251556	,Validation accuracy (MRAE): 0.129663
Epoch: 16	,Training loss (MRSE): 0.643189	,Validation loss (MRSE): 0.821727	,Training loss (MSE): 1.52534e+17	,Validation loss (MSE): 1.93025e+17	,Training accuracy (MAE): -6.00928e+07	,Validation accuracy (MAE): -7.48866e+07	,Training accuracy (MRAE): 0.244421	,Validation accuracy (MRAE): 0.12319
Epoch: 18	,Training loss (MRSE): 0.645592	,Validation loss (MRSE): 0.820906	,Training loss (MSE): 1.52584e+17	,Validation loss (MSE): 1.93025e+17	,Training accuracy (MAE): -6.00499e+07	,Validation accuracy (MAE): -7.48536e+07	,Training accuracy (MRAE): 0.245811	,Validation accuracy (MRAE): 0.124164
Epoch: 20	,Training loss (MRSE): 0.63069	,Validation loss (MRSE): 0.822688	,Training loss (MSE): 1.52397e+17	,Validation loss (MSE): 1.93025e+17	,Training accuracy (MAE): -6.00407e+07	,Validation accuracy (MAE): -7.50598e+07	,Training accuracy (MRAE): 0.259905	,Validation accuracy (MRAE): 0.11923
Epoch: 22	,Training loss (MRSE): 0.640648	,Validation loss (MRSE): 0.782325	,Training loss (MSE): 1.52509e+17	,Validation loss (MSE): 1.93019e+17	,Training accuracy (MAE): -5.99517e+07	,Validation accuracy (MAE): -7.4978e+07	,Training accuracy (MRAE): 0.25595	,Validation accuracy (MRAE): 0.165627
Epoch: 24	,Training loss (MRSE): 0.624726	,Validation loss (MRSE): 0.803608	,Training loss (MSE): 1.52514e+17	,Validation loss (MSE): 1.93022e+17	,Training accuracy (MAE): -5.99043e+07	,Validation accuracy (MAE): -7.49071e+07	,Training accuracy (MRAE): 0.270386	,Validation accuracy (MRAE): 0.134888
Epoch: 26	,Training loss (MRSE): 0.608923	,Validation loss (MRSE): 0.829557	,Training loss (MSE): 1.52378e+17	,Validation loss (MSE): 1.93034e+17	,Training accuracy (MAE): -5.98254e+07	,Validation accuracy (MAE): -7.50784e+07	,Training accuracy (MRAE): 0.283097	,Validation accuracy (MRAE): 0.111145
Epoch: 28	,Training loss (MRSE): 0.631158	,Validation loss (MRSE): 0.784507	,Training loss (MSE): 1.52478e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -5.98969e+07	,Validation accuracy (MAE): -7.49814e+07	,Training accuracy (MRAE): 0.262554	,Validation accuracy (MRAE): 0.163002
Epoch: 30	,Training loss (MRSE): 0.602729	,Validation loss (MRSE): 0.804012	,Training loss (MSE): 1.52339e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -5.97351e+07	,Validation accuracy (MAE): -7.51517e+07	,Training accuracy (MRAE): 0.292634	,Validation accuracy (MRAE): 0.139107
Epoch: 32	,Training loss (MRSE): 0.586814	,Validation loss (MRSE): 0.815393	,Training loss (MSE): 1.52516e+17	,Validation loss (MSE): 1.93025e+17	,Training accuracy (MAE): -5.9744e+07	,Validation accuracy (MAE): -7.49232e+07	,Training accuracy (MRAE): 0.292499	,Validation accuracy (MRAE): 0.127195
Epoch: 34	,Training loss (MRSE): 0.574294	,Validation loss (MRSE): 0.809099	,Training loss (MSE): 1.52466e+17	,Validation loss (MSE): 1.93023e+17	,Training accuracy (MAE): -5.96489e+07	,Validation accuracy (MAE): -7.48971e+07	,Training accuracy (MRAE): 0.307349	,Validation accuracy (MRAE): 0.13479
Epoch: 36	,Training loss (MRSE): 0.597446	,Validation loss (MRSE): 0.777722	,Training loss (MSE): 1.52577e+17	,Validation loss (MSE): 1.93018e+17	,Training accuracy (MAE): -5.97447e+07	,Validation accuracy (MAE): -7.4897e+07	,Training accuracy (MRAE): 0.284071	,Validation accuracy (MRAE): 0.159386
Epoch: 38	,Training loss (MRSE): 0.59287	,Validation loss (MRSE): 0.780206	,Training loss (MSE): 1.52033e+17	,Validation loss (MSE): 1.93011e+17	,Training accuracy (MAE): -5.95209e+07	,Validation accuracy (MAE): -7.50821e+07	,Training accuracy (MRAE): 0.296498	,Validation accuracy (MRAE): 0.16156
Epoch: 40	,Training loss (MRSE): 0.617636	,Validation loss (MRSE): 0.83573	,Training loss (MSE): 1.524e+17	,Validation loss (MSE): 1.93026e+17	,Training accuracy (MAE): -5.97411e+07	,Validation accuracy (MAE): -7.48157e+07	,Training accuracy (MRAE): 0.258768	,Validation accuracy (MRAE): 0.100962
Epoch: 42	,Training loss (MRSE): 0.573492	,Validation loss (MRSE): 0.816933	,Training loss (MSE): 1.52287e+17	,Validation loss (MSE): 1.93018e+17	,Training accuracy (MAE): -5.95001e+07	,Validation accuracy (MAE): -7.49652e+07	,Training accuracy (MRAE): 0.305659	,Validation accuracy (MRAE): 0.123534
Epoch: 44	,Training loss (MRSE): 0.561928	,Validation loss (MRSE): 0.799795	,Training loss (MSE): 1.52206e+17	,Validation loss (MSE): 1.93015e+17	,Training accuracy (MAE): -5.94822e+07	,Validation accuracy (MAE): -7.50478e+07	,Training accuracy (MRAE): 0.320976	,Validation accuracy (MRAE): 0.142474
Epoch: 46	,Training loss (MRSE): 0.589675	,Validation loss (MRSE): 0.779177	,Training loss (MSE): 1.51665e+17	,Validation loss (MSE): 1.93008e+17	,Training accuracy (MAE): -5.94631e+07	,Validation accuracy (MAE): -7.52989e+07	,Training accuracy (MRAE): 0.293658	,Validation accuracy (MRAE): 0.154777
Epoch: 48	,Training loss (MRSE): 0.544472	,Validation loss (MRSE): 0.787372	,Training loss (MSE): 1.51998e+17	,Validation loss (MSE): 1.93028e+17	,Training accuracy (MAE): -5.9336e+07	,Validation accuracy (MAE): -7.50547e+07	,Training accuracy (MRAE): 0.329109	,Validation accuracy (MRAE): 0.148968
