Epoch: 0:	Training loss (MRSE): 0.80033	,Validation loss (MRSE): 0.842762	,Training loss (MSE): 3.57458e+17	,Validation loss (MSE): 2.53026e+17	,Training accuracy (MAE): -1.50462e+08	,Validation accuracy (MAE): -1.52135e+08	,Training accuracy (MRAE): 0.13332	,Validation accuracy (MRAE): 0.10632
Epoch: 2:	Training loss (MRSE): 0.795428	,Validation loss (MRSE): 0.840877	,Training loss (MSE): 5.27694e+16	,Validation loss (MSE): 1.64695e+17	,Training accuracy (MAE): -4.09554e+07	,Validation accuracy (MAE): -7.84756e+07	,Training accuracy (MRAE): 0.133429	,Validation accuracy (MRAE): 0.104116
Epoch: 4:	Training loss (MRSE): 0.762761	,Validation loss (MRSE): 0.834557	,Training loss (MSE): 4.01018e+16	,Validation loss (MSE): 1.48279e+17	,Training accuracy (MAE): -3.12289e+07	,Validation accuracy (MAE): -7.16254e+07	,Training accuracy (MRAE): 0.161796	,Validation accuracy (MRAE): 0.110227
Epoch: 6:	Training loss (MRSE): 0.742811	,Validation loss (MRSE): 0.804085	,Training loss (MSE): 2.82241e+16	,Validation loss (MSE): 1.12114e+17	,Training accuracy (MAE): -2.41621e+07	,Validation accuracy (MAE): -6.15825e+07	,Training accuracy (MRAE): 0.179949	,Validation accuracy (MRAE): 0.134794
Epoch: 8:	Training loss (MRSE): 0.729	,Validation loss (MRSE): 0.792045	,Training loss (MSE): 2.46346e+16	,Validation loss (MSE): 1.12647e+17	,Training accuracy (MAE): -1.93415e+07	,Validation accuracy (MAE): -5.96703e+07	,Training accuracy (MRAE): 0.189235	,Validation accuracy (MRAE): 0.14156
Epoch: 10:	Training loss (MRSE): 0.716259	,Validation loss (MRSE): 0.771487	,Training loss (MSE): 2.48194e+16	,Validation loss (MSE): 1.14756e+17	,Training accuracy (MAE): -1.8254e+07	,Validation accuracy (MAE): -6.01345e+07	,Training accuracy (MRAE): 0.196565	,Validation accuracy (MRAE): 0.156064
Epoch: 12:	Training loss (MRSE): 0.710825	,Validation loss (MRSE): 0.771556	,Training loss (MSE): 2.627e+16	,Validation loss (MSE): 1.07092e+17	,Training accuracy (MAE): -1.95243e+07	,Validation accuracy (MAE): -5.9262e+07	,Training accuracy (MRAE): 0.202998	,Validation accuracy (MRAE): 0.154519
Epoch: 14:	Training loss (MRSE): 0.696372	,Validation loss (MRSE): 0.785613	,Training loss (MSE): 2.57672e+16	,Validation loss (MSE): 1.02776e+17	,Training accuracy (MAE): -2.08361e+07	,Validation accuracy (MAE): -5.77932e+07	,Training accuracy (MRAE): 0.216996	,Validation accuracy (MRAE): 0.14452
Epoch: 16:	Training loss (MRSE): 0.696533	,Validation loss (MRSE): 0.781637	,Training loss (MSE): 2.40586e+16	,Validation loss (MSE): 1.15327e+17	,Training accuracy (MAE): -1.86922e+07	,Validation accuracy (MAE): -6.15546e+07	,Training accuracy (MRAE): 0.214253	,Validation accuracy (MRAE): 0.147036
Epoch: 18:	Training loss (MRSE): 0.692435	,Validation loss (MRSE): 0.781553	,Training loss (MSE): 2.52678e+16	,Validation loss (MSE): 1.11061e+17	,Training accuracy (MAE): -1.84937e+07	,Validation accuracy (MAE): -6.00587e+07	,Training accuracy (MRAE): 0.219959	,Validation accuracy (MRAE): 0.149909
Epoch: 20:	Training loss (MRSE): 0.685732	,Validation loss (MRSE): 0.790129	,Training loss (MSE): 2.34259e+16	,Validation loss (MSE): 1.13294e+17	,Training accuracy (MAE): -1.88099e+07	,Validation accuracy (MAE): -6.1529e+07	,Training accuracy (MRAE): 0.223011	,Validation accuracy (MRAE): 0.138792
Epoch: 22:	Training loss (MRSE): 0.675202	,Validation loss (MRSE): 0.780856	,Training loss (MSE): 2.30174e+16	,Validation loss (MSE): 1.12945e+17	,Training accuracy (MAE): -1.87271e+07	,Validation accuracy (MAE): -6.12831e+07	,Training accuracy (MRAE): 0.231891	,Validation accuracy (MRAE): 0.14642
Epoch: 24:	Training loss (MRSE): 0.676854	,Validation loss (MRSE): 0.785048	,Training loss (MSE): 2.40712e+16	,Validation loss (MSE): 1.20973e+17	,Training accuracy (MAE): -2.0212e+07	,Validation accuracy (MAE): -6.41498e+07	,Training accuracy (MRAE): 0.232799	,Validation accuracy (MRAE): 0.142461
Epoch: 26:	Training loss (MRSE): 0.673675	,Validation loss (MRSE): 0.783591	,Training loss (MSE): 2.38409e+16	,Validation loss (MSE): 1.28943e+17	,Training accuracy (MAE): -1.99748e+07	,Validation accuracy (MAE): -6.69623e+07	,Training accuracy (MRAE): 0.232742	,Validation accuracy (MRAE): 0.142823
Epoch: 28:	Training loss (MRSE): 0.67045	,Validation loss (MRSE): 0.780915	,Training loss (MSE): 2.34903e+16	,Validation loss (MSE): 1.22803e+17	,Training accuracy (MAE): -1.95472e+07	,Validation accuracy (MAE): -6.29444e+07	,Training accuracy (MRAE): 0.234155	,Validation accuracy (MRAE): 0.14617
Epoch: 30:	Training loss (MRSE): 0.666887	,Validation loss (MRSE): 0.781087	,Training loss (MSE): 2.34708e+16	,Validation loss (MSE): 1.25185e+17	,Training accuracy (MAE): -1.93863e+07	,Validation accuracy (MAE): -6.34847e+07	,Training accuracy (MRAE): 0.236017	,Validation accuracy (MRAE): 0.146826
Epoch: 32:	Training loss (MRSE): 0.664751	,Validation loss (MRSE): 0.781666	,Training loss (MSE): 2.33488e+16	,Validation loss (MSE): 1.27306e+17	,Training accuracy (MAE): -1.97642e+07	,Validation accuracy (MAE): -6.4534e+07	,Training accuracy (MRAE): 0.237204	,Validation accuracy (MRAE): 0.146234
Epoch: 34:	Training loss (MRSE): 0.662492	,Validation loss (MRSE): 0.781537	,Training loss (MSE): 2.29724e+16	,Validation loss (MSE): 1.27389e+17	,Training accuracy (MAE): -1.96356e+07	,Validation accuracy (MAE): -6.47374e+07	,Training accuracy (MRAE): 0.239663	,Validation accuracy (MRAE): 0.147367
Epoch: 36:	Training loss (MRSE): 0.66057	,Validation loss (MRSE): 0.781954	,Training loss (MSE): 2.26787e+16	,Validation loss (MSE): 1.28343e+17	,Training accuracy (MAE): -1.92457e+07	,Validation accuracy (MAE): -6.48074e+07	,Training accuracy (MRAE): 0.241249	,Validation accuracy (MRAE): 0.147272
Epoch: 38:	Training loss (MRSE): 0.658866	,Validation loss (MRSE): 0.781773	,Training loss (MSE): 2.25538e+16	,Validation loss (MSE): 1.31658e+17	,Training accuracy (MAE): -1.91922e+07	,Validation accuracy (MAE): -6.61807e+07	,Training accuracy (MRAE): 0.242239	,Validation accuracy (MRAE): 0.146112
Epoch: 40:	Training loss (MRSE): 0.656167	,Validation loss (MRSE): 0.779743	,Training loss (MSE): 2.19695e+16	,Validation loss (MSE): 1.28547e+17	,Training accuracy (MAE): -1.8642e+07	,Validation accuracy (MAE): -6.53805e+07	,Training accuracy (MRAE): 0.244312	,Validation accuracy (MRAE): 0.148037
