Epoch: 0	,Training loss (MRSE): 0.734434	,Validation loss (MRSE): 0.783732	,Training loss (MSE): 1.5289e+17	,Validation loss (MSE): 1.93032e+17	,Training accuracy (MAE): -6.03826e+07	,Validation accuracy (MAE): -7.46064e+07	,Training accuracy (MRAE): 0.179998	,Validation accuracy (MRAE): 0.154393
Epoch: 8	,Training loss (MRSE): 0.758988	,Validation loss (MRSE): 0.839411	,Training loss (MSE): 1.52344e+17	,Validation loss (MSE): 1.9304e+17	,Training accuracy (MAE): -6.0372e+07	,Validation accuracy (MAE): -7.5379e+07	,Training accuracy (MRAE): 0.169508	,Validation accuracy (MRAE): 0.106387
Epoch: 16	,Training loss (MRSE): 0.73342	,Validation loss (MRSE): 0.810014	,Training loss (MSE): 1.52468e+17	,Validation loss (MSE): 1.93037e+17	,Training accuracy (MAE): -6.00438e+07	,Validation accuracy (MAE): -7.51664e+07	,Training accuracy (MRAE): 0.181567	,Validation accuracy (MRAE): 0.139325
Epoch: 24	,Training loss (MRSE): 0.662515	,Validation loss (MRSE): 0.854592	,Training loss (MSE): 1.51438e+17	,Validation loss (MSE): 1.92754e+17	,Training accuracy (MAE): -5.94726e+07	,Validation accuracy (MAE): -7.51749e+07	,Training accuracy (MRAE): 0.240859	,Validation accuracy (MRAE): 0.0978793
Epoch: 32	,Training loss (MRSE): 0.779553	,Validation loss (MRSE): 0.807121	,Training loss (MSE): 1.51614e+17	,Validation loss (MSE): 1.92874e+17	,Training accuracy (MAE): -5.98128e+07	,Validation accuracy (MAE): -7.47633e+07	,Training accuracy (MRAE): 0.154032	,Validation accuracy (MRAE): 0.13586
Epoch: 40	,Training loss (MRSE): 0.633121	,Validation loss (MRSE): 0.882082	,Training loss (MSE): 5.8018e+16	,Validation loss (MSE): 1.92962e+17	,Training accuracy (MAE): -3.50782e+07	,Validation accuracy (MAE): -7.58179e+07	,Training accuracy (MRAE): 0.267056	,Validation accuracy (MRAE): 0.0737985
Epoch: 48	,Training loss (MRSE): 0.599383	,Validation loss (MRSE): 0.858209	,Training loss (MSE): 1.28357e+16	,Validation loss (MSE): 1.93067e+17	,Training accuracy (MAE): -1.74735e+07	,Validation accuracy (MAE): -7.58866e+07	,Training accuracy (MRAE): 0.30742	,Validation accuracy (MRAE): 0.0927057
Epoch: 56	,Training loss (MRSE): 0.670006	,Validation loss (MRSE): 0.858999	,Training loss (MSE): 2.27277e+16	,Validation loss (MSE): 1.93037e+17	,Training accuracy (MAE): -2.02831e+07	,Validation accuracy (MAE): -7.50266e+07	,Training accuracy (MRAE): 0.243356	,Validation accuracy (MRAE): 0.0889685
Epoch: 64	,Training loss (MRSE): 0.614837	,Validation loss (MRSE): 0.883935	,Training loss (MSE): 2.16973e+16	,Validation loss (MSE): 1.92988e+17	,Training accuracy (MAE): -1.99732e+07	,Validation accuracy (MAE): -7.53932e+07	,Training accuracy (MRAE): 0.301388	,Validation accuracy (MRAE): 0.0725181
Epoch: 72	,Training loss (MRSE): 0.554244	,Validation loss (MRSE): 0.837169	,Training loss (MSE): 9.02507e+15	,Validation loss (MSE): 1.92854e+17	,Training accuracy (MAE): -1.35602e+07	,Validation accuracy (MAE): -7.5095e+07	,Training accuracy (MRAE): 0.352745	,Validation accuracy (MRAE): 0.113306
Epoch: 80	,Training loss (MRSE): 0.584766	,Validation loss (MRSE): 0.88706	,Training loss (MSE): 1.15999e+16	,Validation loss (MSE): 1.92846e+17	,Training accuracy (MAE): -1.37416e+07	,Validation accuracy (MAE): -7.57231e+07	,Training accuracy (MRAE): 0.308339	,Validation accuracy (MRAE): 0.0699112
Epoch: 88	,Training loss (MRSE): 0.580581	,Validation loss (MRSE): 0.841503	,Training loss (MSE): 5.96432e+15	,Validation loss (MSE): 1.92921e+17	,Training accuracy (MAE): -1.13446e+07	,Validation accuracy (MAE): -7.54434e+07	,Training accuracy (MRAE): 0.337535	,Validation accuracy (MRAE): 0.107291
Epoch: 96	,Training loss (MRSE): 0.601581	,Validation loss (MRSE): 0.830791	,Training loss (MSE): 9.29796e+15	,Validation loss (MSE): 1.9298e+17	,Training accuracy (MAE): -1.6055e+07	,Validation accuracy (MAE): -7.5914e+07	,Training accuracy (MRAE): 0.295869	,Validation accuracy (MRAE): 0.110943
Epoch: 104	,Training loss (MRSE): 0.624432	,Validation loss (MRSE): 0.859612	,Training loss (MSE): 6.09594e+15	,Validation loss (MSE): 1.92948e+17	,Training accuracy (MAE): -1.24886e+07	,Validation accuracy (MAE): -7.50458e+07	,Training accuracy (MRAE): 0.286938	,Validation accuracy (MRAE): 0.0938751
Epoch: 112	,Training loss (MRSE): 0.596778	,Validation loss (MRSE): 0.888877	,Training loss (MSE): 7.35066e+15	,Validation loss (MSE): 1.92871e+17	,Training accuracy (MAE): -9.95194e+06	,Validation accuracy (MAE): -7.51591e+07	,Training accuracy (MRAE): 0.318512	,Validation accuracy (MRAE): 0.0701714
Epoch: 120	,Training loss (MRSE): 0.57565	,Validation loss (MRSE): 0.908804	,Training loss (MSE): 5.50414e+15	,Validation loss (MSE): 1.92929e+17	,Training accuracy (MAE): -1.07134e+07	,Validation accuracy (MAE): -7.53913e+07	,Training accuracy (MRAE): 0.339688	,Validation accuracy (MRAE): 0.0552631
Epoch: 128	,Training loss (MRSE): 0.513721	,Validation loss (MRSE): 0.863316	,Training loss (MSE): 9.17386e+15	,Validation loss (MSE): 1.92436e+17	,Training accuracy (MAE): -1.1756e+07	,Validation accuracy (MAE): -7.51313e+07	,Training accuracy (MRAE): 0.391788	,Validation accuracy (MRAE): 0.0878284
Epoch: 136	,Training loss (MRSE): 0.550941	,Validation loss (MRSE): 0.86939	,Training loss (MSE): 9.47651e+15	,Validation loss (MSE): 1.92791e+17	,Training accuracy (MAE): -1.23627e+07	,Validation accuracy (MAE): -7.54417e+07	,Training accuracy (MRAE): 0.354801	,Validation accuracy (MRAE): 0.0855475
Epoch: 144	,Training loss (MRSE): 0.612393	,Validation loss (MRSE): 0.873509	,Training loss (MSE): 1.21488e+16	,Validation loss (MSE): 1.9276e+17	,Training accuracy (MAE): -1.40609e+07	,Validation accuracy (MAE): -7.49263e+07	,Training accuracy (MRAE): 0.28676	,Validation accuracy (MRAE): 0.0819354
Epoch: 152	,Training loss (MRSE): 0.61108	,Validation loss (MRSE): 0.873839	,Training loss (MSE): 5.67145e+15	,Validation loss (MSE): 1.9278e+17	,Training accuracy (MAE): -1.01429e+07	,Validation accuracy (MAE): -7.49612e+07	,Training accuracy (MRAE): 0.295569	,Validation accuracy (MRAE): 0.0866415
Epoch: 160	,Training loss (MRSE): 0.558023	,Validation loss (MRSE): 0.869402	,Training loss (MSE): 1.01587e+16	,Validation loss (MSE): 1.92608e+17	,Training accuracy (MAE): -1.31307e+07	,Validation accuracy (MAE): -7.49746e+07	,Training accuracy (MRAE): 0.33668	,Validation accuracy (MRAE): 0.0887959
Epoch: 168	,Training loss (MRSE): 0.513106	,Validation loss (MRSE): 0.844713	,Training loss (MSE): 9.77909e+15	,Validation loss (MSE): 1.92626e+17	,Training accuracy (MAE): -1.26886e+07	,Validation accuracy (MAE): -7.50788e+07	,Training accuracy (MRAE): 0.397001	,Validation accuracy (MRAE): 0.105629
Epoch: 176	,Training loss (MRSE): 0.583892	,Validation loss (MRSE): 0.832436	,Training loss (MSE): 5.80189e+15	,Validation loss (MSE): 1.93039e+17	,Training accuracy (MAE): -1.09075e+07	,Validation accuracy (MAE): -7.53785e+07	,Training accuracy (MRAE): 0.337503	,Validation accuracy (MRAE): 0.111021
Epoch: 184	,Training loss (MRSE): 0.569365	,Validation loss (MRSE): 0.878826	,Training loss (MSE): 6.77355e+15	,Validation loss (MSE): 1.92747e+17	,Training accuracy (MAE): -1.11043e+07	,Validation accuracy (MAE): -7.51273e+07	,Training accuracy (MRAE): 0.340913	,Validation accuracy (MRAE): 0.0800863
Epoch: 192	,Training loss (MRSE): 0.559117	,Validation loss (MRSE): 0.869372	,Training loss (MSE): 5.76589e+15	,Validation loss (MSE): 1.92925e+17	,Training accuracy (MAE): -1.21595e+07	,Validation accuracy (MAE): -7.55265e+07	,Training accuracy (MRAE): 0.348908	,Validation accuracy (MRAE): 0.0847534
Epoch: 200	,Training loss (MRSE): 0.541835	,Validation loss (MRSE): 0.860897	,Training loss (MSE): 5.20886e+15	,Validation loss (MSE): 1.92386e+17	,Training accuracy (MAE): -8.49668e+06	,Validation accuracy (MAE): -7.56516e+07	,Training accuracy (MRAE): 0.361723	,Validation accuracy (MRAE): 0.0905138
Epoch: 208	,Training loss (MRSE): 0.561383	,Validation loss (MRSE): 0.867491	,Training loss (MSE): 4.11373e+15	,Validation loss (MSE): 1.91738e+17	,Training accuracy (MAE): -9.74425e+06	,Validation accuracy (MAE): -7.54221e+07	,Training accuracy (MRAE): 0.353102	,Validation accuracy (MRAE): 0.0882392
Epoch: 216	,Training loss (MRSE): 0.578967	,Validation loss (MRSE): 0.834595	,Training loss (MSE): 4.56953e+15	,Validation loss (MSE): 1.92955e+17	,Training accuracy (MAE): -9.60754e+06	,Validation accuracy (MAE): -7.51879e+07	,Training accuracy (MRAE): 0.339712	,Validation accuracy (MRAE): 0.10468
Epoch: 224	,Training loss (MRSE): 0.541029	,Validation loss (MRSE): 0.865638	,Training loss (MSE): 2.61559e+16	,Validation loss (MSE): 1.92753e+17	,Training accuracy (MAE): -2.27765e+07	,Validation accuracy (MAE): -7.57004e+07	,Training accuracy (MRAE): 0.375249	,Validation accuracy (MRAE): 0.0871471
Epoch: 232	,Training loss (MRSE): 0.525425	,Validation loss (MRSE): 0.831351	,Training loss (MSE): 4.27571e+15	,Validation loss (MSE): 1.92091e+17	,Training accuracy (MAE): -1.04386e+07	,Validation accuracy (MAE): -7.54681e+07	,Training accuracy (MRAE): 0.380307	,Validation accuracy (MRAE): 0.111067
Epoch: 240	,Training loss (MRSE): 0.568099	,Validation loss (MRSE): 0.849721	,Training loss (MSE): 5.32474e+15	,Validation loss (MSE): 1.93042e+17	,Training accuracy (MAE): -8.51722e+06	,Validation accuracy (MAE): -7.53444e+07	,Training accuracy (MRAE): 0.352135	,Validation accuracy (MRAE): 0.0979179
Epoch: 248	,Training loss (MRSE): 0.555199	,Validation loss (MRSE): 0.861435	,Training loss (MSE): 4.72862e+15	,Validation loss (MSE): 1.92806e+17	,Training accuracy (MAE): -8.60452e+06	,Validation accuracy (MAE): -7.52284e+07	,Training accuracy (MRAE): 0.36645	,Validation accuracy (MRAE): 0.0928608
Epoch: 256	,Training loss (MRSE): 0.566767	,Validation loss (MRSE): 0.855284	,Training loss (MSE): 7.15553e+15	,Validation loss (MSE): 1.92835e+17	,Training accuracy (MAE): -9.89733e+06	,Validation accuracy (MAE): -7.51559e+07	,Training accuracy (MRAE): 0.349108	,Validation accuracy (MRAE): 0.0972588
Epoch: 264	,Training loss (MRSE): 0.521913	,Validation loss (MRSE): 0.85169	,Training loss (MSE): 4.64078e+15	,Validation loss (MSE): 1.92659e+17	,Training accuracy (MAE): -7.22998e+06	,Validation accuracy (MAE): -7.54006e+07	,Training accuracy (MRAE): 0.39852	,Validation accuracy (MRAE): 0.100861
Epoch: 272	,Training loss (MRSE): 0.527132	,Validation loss (MRSE): 0.85933	,Training loss (MSE): 3.68615e+15	,Validation loss (MSE): 1.92599e+17	,Training accuracy (MAE): -9.14238e+06	,Validation accuracy (MAE): -7.57207e+07	,Training accuracy (MRAE): 0.379194	,Validation accuracy (MRAE): 0.0973127
