Epoch: 0:	Training loss (MRSE): 0.848255	,Validation loss (MRSE): 0.864574	,Training loss (MSE): 1.51767e+17	,Validation loss (MSE): 1.75694e+17	,Training accuracy (MAE): -8.71308e+07	,Validation accuracy (MAE): -9.1532e+07	,Training accuracy (MRAE): 0.099275	,Validation accuracy (MRAE): 0.0895704
Epoch: 2:	Training loss (MRSE): 0.854499	,Validation loss (MRSE): 0.87028	,Training loss (MSE): 1.51598e+17	,Validation loss (MSE): 1.75511e+17	,Training accuracy (MAE): -8.98875e+07	,Validation accuracy (MAE): -9.43661e+07	,Training accuracy (MRAE): 0.0946011	,Validation accuracy (MRAE): 0.0855772
Epoch: 4:	Training loss (MRSE): 0.856891	,Validation loss (MRSE): 0.872513	,Training loss (MSE): 1.51535e+17	,Validation loss (MSE): 1.7544e+17	,Training accuracy (MAE): -9.10336e+07	,Validation accuracy (MAE): -9.55337e+07	,Training accuracy (MRAE): 0.0928126	,Validation accuracy (MRAE): 0.0841745
Epoch: 6:	Training loss (MRSE): 0.858925	,Validation loss (MRSE): 0.87442	,Training loss (MSE): 1.51482e+17	,Validation loss (MSE): 1.7538e+17	,Training accuracy (MAE): -9.2048e+07	,Validation accuracy (MAE): -9.65658e+07	,Training accuracy (MRAE): 0.0913656	,Validation accuracy (MRAE): 0.0830498
Epoch: 8:	Training loss (MRSE): 0.860755	,Validation loss (MRSE): 0.876143	,Training loss (MSE): 1.51435e+17	,Validation loss (MSE): 1.75326e+17	,Training accuracy (MAE): -9.29928e+07	,Validation accuracy (MAE): -9.75269e+07	,Training accuracy (MRAE): 0.0901224	,Validation accuracy (MRAE): 0.0820928
Epoch: 10:	Training loss (MRSE): 0.862431	,Validation loss (MRSE): 0.87773	,Training loss (MSE): 1.51392e+17	,Validation loss (MSE): 1.75277e+17	,Training accuracy (MAE): -9.38853e+07	,Validation accuracy (MAE): -9.84386e+07	,Training accuracy (MRAE): 0.0890337	,Validation accuracy (MRAE): 0.0811779
Epoch: 12:	Training loss (MRSE): 0.864045	,Validation loss (MRSE): 0.879265	,Training loss (MSE): 1.51352e+17	,Validation loss (MSE): 1.7523e+17	,Training accuracy (MAE): -9.4771e+07	,Validation accuracy (MAE): -9.93549e+07	,Training accuracy (MRAE): 0.0880295	,Validation accuracy (MRAE): 0.0800664
Epoch: 14:	Training loss (MRSE): 0.865683	,Validation loss (MRSE): 0.880831	,Training loss (MSE): 1.51313e+17	,Validation loss (MSE): 1.75184e+17	,Training accuracy (MAE): -9.56965e+07	,Validation accuracy (MAE): -1.00312e+08	,Training accuracy (MRAE): 0.0870557	,Validation accuracy (MRAE): 0.0789785
Epoch: 16:	Training loss (MRSE): 0.86732	,Validation loss (MRSE): 0.882401	,Training loss (MSE): 1.51274e+17	,Validation loss (MSE): 1.75139e+17	,Training accuracy (MAE): -9.66488e+07	,Validation accuracy (MAE): -1.01298e+08	,Training accuracy (MRAE): 0.0861288	,Validation accuracy (MRAE): 0.0779322
Epoch: 18:	Training loss (MRSE): 0.868833	,Validation loss (MRSE): 0.883858	,Training loss (MSE): 1.5124e+17	,Validation loss (MSE): 1.75098e+17	,Training accuracy (MAE): -9.75543e+07	,Validation accuracy (MAE): -1.02234e+08	,Training accuracy (MRAE): 0.0853084	,Validation accuracy (MRAE): 0.0770016
Epoch: 20:	Training loss (MRSE): 0.87013	,Validation loss (MRSE): 0.885112	,Training loss (MSE): 1.51211e+17	,Validation loss (MSE): 1.75064e+17	,Training accuracy (MAE): -9.83564e+07	,Validation accuracy (MAE): -1.03062e+08	,Training accuracy (MRAE): 0.0845109	,Validation accuracy (MRAE): 0.0761332
Epoch: 22:	Training loss (MRSE): 0.871206	,Validation loss (MRSE): 0.886155	,Training loss (MSE): 1.51188e+17	,Validation loss (MSE): 1.75036e+17	,Training accuracy (MAE): -9.90384e+07	,Validation accuracy (MAE): -1.03771e+08	,Training accuracy (MRAE): 0.0838182	,Validation accuracy (MRAE): 0.0752733
Epoch: 24:	Training loss (MRSE): 0.872095	,Validation loss (MRSE): 0.887018	,Training loss (MSE): 1.5117e+17	,Validation loss (MSE): 1.75013e+17	,Training accuracy (MAE): -9.96123e+07	,Validation accuracy (MAE): -1.04368e+08	,Training accuracy (MRAE): 0.0832604	,Validation accuracy (MRAE): 0.0745751
Epoch: 26:	Training loss (MRSE): 0.872837	,Validation loss (MRSE): 0.887739	,Training loss (MSE): 1.51155e+17	,Validation loss (MSE): 1.74995e+17	,Training accuracy (MAE): -1.00098e+08	,Validation accuracy (MAE): -1.04873e+08	,Training accuracy (MRAE): 0.0828057	,Validation accuracy (MRAE): 0.074002
Epoch: 28:	Training loss (MRSE): 0.873466	,Validation loss (MRSE): 0.888351	,Training loss (MSE): 1.51143e+17	,Validation loss (MSE): 1.7498e+17	,Training accuracy (MAE): -1.00514e+08	,Validation accuracy (MAE): -1.05305e+08	,Training accuracy (MRAE): 0.082428	,Validation accuracy (MRAE): 0.0735229
Epoch: 30:	Training loss (MRSE): 0.874004	,Validation loss (MRSE): 0.888876	,Training loss (MSE): 1.51132e+17	,Validation loss (MSE): 1.74967e+17	,Training accuracy (MAE): -1.00875e+08	,Validation accuracy (MAE): -1.0568e+08	,Training accuracy (MRAE): 0.0821095	,Validation accuracy (MRAE): 0.0731167
Epoch: 32:	Training loss (MRSE): 0.874475	,Validation loss (MRSE): 0.889334	,Training loss (MSE): 1.51123e+17	,Validation loss (MSE): 1.74956e+17	,Training accuracy (MAE): -1.01194e+08	,Validation accuracy (MAE): -1.06011e+08	,Training accuracy (MRAE): 0.081804	,Validation accuracy (MRAE): 0.0727653
Epoch: 34:	Training loss (MRSE): 0.874892	,Validation loss (MRSE): 0.88974	,Training loss (MSE): 1.51116e+17	,Validation loss (MSE): 1.74946e+17	,Training accuracy (MAE): -1.0148e+08	,Validation accuracy (MAE): -1.06306e+08	,Training accuracy (MRAE): 0.081507	,Validation accuracy (MRAE): 0.0724574
Epoch: 36:	Training loss (MRSE): 0.875265	,Validation loss (MRSE): 0.890104	,Training loss (MSE): 1.51109e+17	,Validation loss (MSE): 1.74938e+17	,Training accuracy (MAE): -1.01739e+08	,Validation accuracy (MAE): -1.06571e+08	,Training accuracy (MRAE): 0.0812386	,Validation accuracy (MRAE): 0.0721836
Epoch: 38:	Training loss (MRSE): 0.875604	,Validation loss (MRSE): 0.890436	,Training loss (MSE): 1.51103e+17	,Validation loss (MSE): 1.7493e+17	,Training accuracy (MAE): -1.01976e+08	,Validation accuracy (MAE): -1.06815e+08	,Training accuracy (MRAE): 0.0809961	,Validation accuracy (MRAE): 0.071936
Epoch: 40:	Training loss (MRSE): 0.875917	,Validation loss (MRSE): 0.890741	,Training loss (MSE): 1.51098e+17	,Validation loss (MSE): 1.74923e+17	,Training accuracy (MAE): -1.02195e+08	,Validation accuracy (MAE): -1.07041e+08	,Training accuracy (MRAE): 0.0807748	,Validation accuracy (MRAE): 0.0717096
Epoch: 42:	Training loss (MRSE): 0.876207	,Validation loss (MRSE): 0.891024	,Training loss (MSE): 1.51093e+17	,Validation loss (MSE): 1.74917e+17	,Training accuracy (MAE): -1.024e+08	,Validation accuracy (MAE): -1.07251e+08	,Training accuracy (MRAE): 0.080571	,Validation accuracy (MRAE): 0.0715011
Epoch: 44:	Training loss (MRSE): 0.876479	,Validation loss (MRSE): 0.89129	,Training loss (MSE): 1.51088e+17	,Validation loss (MSE): 1.74911e+17	,Training accuracy (MAE): -1.02593e+08	,Validation accuracy (MAE): -1.07449e+08	,Training accuracy (MRAE): 0.0803811	,Validation accuracy (MRAE): 0.0713066
Epoch: 46:	Training loss (MRSE): 0.876737	,Validation loss (MRSE): 0.891542	,Training loss (MSE): 1.51084e+17	,Validation loss (MSE): 1.74905e+17	,Training accuracy (MAE): -1.02776e+08	,Validation accuracy (MAE): -1.07638e+08	,Training accuracy (MRAE): 0.0802022	,Validation accuracy (MRAE): 0.0711232
