Epoch: 0:	Training loss (MRSE): 0.828824	,Validation loss (MRSE): 0.843666	,Training loss (MSE): 1.03729e+17	,Validation loss (MSE): 3.03801e+17	,Training accuracy (MAE): -4.91852e+07	,Validation accuracy (MAE): -1.00152e+08	,Training accuracy (MRAE): 0.112673	,Validation accuracy (MRAE): 0.102486
Epoch: 2:	Training loss (MRSE): 0.853864	,Validation loss (MRSE): 0.826486	,Training loss (MSE): 1.01703e+17	,Validation loss (MSE): 2.7328e+17	,Training accuracy (MAE): -4.85576e+07	,Validation accuracy (MAE): -9.54279e+07	,Training accuracy (MRAE): 0.0927394	,Validation accuracy (MRAE): 0.111911
Epoch: 4:	Training loss (MRSE): 0.760429	,Validation loss (MRSE): 0.773905	,Training loss (MSE): 9.27586e+16	,Validation loss (MSE): 2.47414e+17	,Training accuracy (MAE): -5.0818e+07	,Validation accuracy (MAE): -9.69711e+07	,Training accuracy (MRAE): 0.168499	,Validation accuracy (MRAE): 0.155466
Epoch: 6:	Training loss (MRSE): 0.788388	,Validation loss (MRSE): 0.801324	,Training loss (MSE): 1.04738e+17	,Validation loss (MSE): 2.88594e+17	,Training accuracy (MAE): -4.94366e+07	,Validation accuracy (MAE): -9.70781e+07	,Training accuracy (MRAE): 0.146934	,Validation accuracy (MRAE): 0.14011
Epoch: 8:	Training loss (MRSE): 0.818365	,Validation loss (MRSE): 0.771264	,Training loss (MSE): 7.29205e+16	,Validation loss (MSE): 2.4629e+17	,Training accuracy (MAE): -4.03915e+07	,Validation accuracy (MAE): -9.01757e+07	,Training accuracy (MRAE): 0.118929	,Validation accuracy (MRAE): 0.163839
Epoch: 10:	Training loss (MRSE): 0.773368	,Validation loss (MRSE): 0.783382	,Training loss (MSE): 1.04134e+17	,Validation loss (MSE): 1.02992e+17	,Training accuracy (MAE): -6.01285e+07	,Validation accuracy (MAE): -5.66001e+07	,Training accuracy (MRAE): 0.157118	,Validation accuracy (MRAE): 0.144752
Epoch: 12:	Training loss (MRSE): 0.781852	,Validation loss (MRSE): 0.806586	,Training loss (MSE): 6.0582e+16	,Validation loss (MSE): 9.04527e+16	,Training accuracy (MAE): -3.75194e+07	,Validation accuracy (MAE): -4.6504e+07	,Training accuracy (MRAE): 0.145096	,Validation accuracy (MRAE): 0.124941
Epoch: 14:	Training loss (MRSE): 0.780099	,Validation loss (MRSE): 0.800057	,Training loss (MSE): 6.03689e+16	,Validation loss (MSE): 1.07033e+17	,Training accuracy (MAE): -3.41223e+07	,Validation accuracy (MAE): -5.24932e+07	,Training accuracy (MRAE): 0.147928	,Validation accuracy (MRAE): 0.135121
Epoch: 16:	Training loss (MRSE): 0.733731	,Validation loss (MRSE): 0.779718	,Training loss (MSE): 8.38115e+16	,Validation loss (MSE): 1.38074e+17	,Training accuracy (MAE): -5.55303e+07	,Validation accuracy (MAE): -8.05045e+07	,Training accuracy (MRAE): 0.181067	,Validation accuracy (MRAE): 0.148435
Epoch: 18:	Training loss (MRSE): 0.743178	,Validation loss (MRSE): 0.775346	,Training loss (MSE): 6.19059e+16	,Validation loss (MSE): 8.75872e+16	,Training accuracy (MAE): -4.09319e+07	,Validation accuracy (MAE): -4.40144e+07	,Training accuracy (MRAE): 0.169974	,Validation accuracy (MRAE): 0.156549
Epoch: 20:	Training loss (MRSE): 0.774295	,Validation loss (MRSE): 0.780021	,Training loss (MSE): 6.48357e+16	,Validation loss (MSE): 8.84986e+16	,Training accuracy (MAE): -5.21826e+07	,Validation accuracy (MAE): -5.7527e+07	,Training accuracy (MRAE): 0.151267	,Validation accuracy (MRAE): 0.148237
Epoch: 22:	Training loss (MRSE): 0.742693	,Validation loss (MRSE): 0.807283	,Training loss (MSE): 4.89712e+16	,Validation loss (MSE): 8.66332e+16	,Training accuracy (MAE): -3.9179e+07	,Validation accuracy (MAE): -4.83857e+07	,Training accuracy (MRAE): 0.172384	,Validation accuracy (MRAE): 0.126594
Epoch: 24:	Training loss (MRSE): 0.707467	,Validation loss (MRSE): 0.777216	,Training loss (MSE): 4.84662e+16	,Validation loss (MSE): 8.6094e+16	,Training accuracy (MAE): -3.27048e+07	,Validation accuracy (MAE): -4.1359e+07	,Training accuracy (MRAE): 0.201083	,Validation accuracy (MRAE): 0.160049
Epoch: 26:	Training loss (MRSE): 0.711873	,Validation loss (MRSE): 0.804699	,Training loss (MSE): 4.88301e+16	,Validation loss (MSE): 1.09696e+17	,Training accuracy (MAE): -3.41736e+07	,Validation accuracy (MAE): -6.17661e+07	,Training accuracy (MRAE): 0.203858	,Validation accuracy (MRAE): 0.134859
Epoch: 28:	Training loss (MRSE): 0.716037	,Validation loss (MRSE): 0.807228	,Training loss (MSE): 4.04724e+16	,Validation loss (MSE): 9.74706e+16	,Training accuracy (MAE): -2.95986e+07	,Validation accuracy (MAE): -5.22758e+07	,Training accuracy (MRAE): 0.195675	,Validation accuracy (MRAE): 0.126072
Epoch: 30:	Training loss (MRSE): 0.737498	,Validation loss (MRSE): 0.792572	,Training loss (MSE): 3.7688e+16	,Validation loss (MSE): 8.80585e+16	,Training accuracy (MAE): -2.75593e+07	,Validation accuracy (MAE): -4.66458e+07	,Training accuracy (MRAE): 0.178836	,Validation accuracy (MRAE): 0.14515
Epoch: 32:	Training loss (MRSE): 0.739876	,Validation loss (MRSE): 0.76835	,Training loss (MSE): 3.99857e+16	,Validation loss (MSE): 8.87761e+16	,Training accuracy (MAE): -2.89729e+07	,Validation accuracy (MAE): -4.93677e+07	,Training accuracy (MRAE): 0.176755	,Validation accuracy (MRAE): 0.165937
Epoch: 34:	Training loss (MRSE): 0.722925	,Validation loss (MRSE): 0.789294	,Training loss (MSE): 4.38423e+16	,Validation loss (MSE): 8.93887e+16	,Training accuracy (MAE): -2.99548e+07	,Validation accuracy (MAE): -5.02951e+07	,Training accuracy (MRAE): 0.191728	,Validation accuracy (MRAE): 0.138036
Epoch: 36:	Training loss (MRSE): 0.703338	,Validation loss (MRSE): 0.774254	,Training loss (MSE): 3.33645e+16	,Validation loss (MSE): 9.19663e+16	,Training accuracy (MAE): -2.82494e+07	,Validation accuracy (MAE): -5.62086e+07	,Training accuracy (MRAE): 0.208849	,Validation accuracy (MRAE): 0.150625
Epoch: 38:	Training loss (MRSE): 0.713799	,Validation loss (MRSE): 0.778036	,Training loss (MSE): 3.50091e+16	,Validation loss (MSE): 9.02414e+16	,Training accuracy (MAE): -2.53295e+07	,Validation accuracy (MAE): -5.01435e+07	,Training accuracy (MRAE): 0.192025	,Validation accuracy (MRAE): 0.155238
Epoch: 40:	Training loss (MRSE): 0.707009	,Validation loss (MRSE): 0.771738	,Training loss (MSE): 3.84315e+16	,Validation loss (MSE): 8.95137e+16	,Training accuracy (MAE): -2.86134e+07	,Validation accuracy (MAE): -4.87045e+07	,Training accuracy (MRAE): 0.199734	,Validation accuracy (MRAE): 0.161886
Epoch: 42:	Training loss (MRSE): 0.733098	,Validation loss (MRSE): 0.792471	,Training loss (MSE): 3.38503e+16	,Validation loss (MSE): 8.64978e+16	,Training accuracy (MAE): -2.57052e+07	,Validation accuracy (MAE): -4.78722e+07	,Training accuracy (MRAE): 0.181271	,Validation accuracy (MRAE): 0.143661
Epoch: 44:	Training loss (MRSE): 0.70331	,Validation loss (MRSE): 0.800426	,Training loss (MSE): 3.28631e+16	,Validation loss (MSE): 1.21629e+17	,Training accuracy (MAE): -2.46328e+07	,Validation accuracy (MAE): -6.09333e+07	,Training accuracy (MRAE): 0.205616	,Validation accuracy (MRAE): 0.136995
Epoch: 46:	Training loss (MRSE): 0.689526	,Validation loss (MRSE): 0.769024	,Training loss (MSE): 5.13096e+16	,Validation loss (MSE): 1.02914e+17	,Training accuracy (MAE): -3.95139e+07	,Validation accuracy (MAE): -6.09216e+07	,Training accuracy (MRAE): 0.21244	,Validation accuracy (MRAE): 0.157587
Epoch: 48:	Training loss (MRSE): 0.690208	,Validation loss (MRSE): 0.770489	,Training loss (MSE): 3.79676e+16	,Validation loss (MSE): 9.36672e+16	,Training accuracy (MAE): -3.12676e+07	,Validation accuracy (MAE): -5.89274e+07	,Training accuracy (MRAE): 0.213477	,Validation accuracy (MRAE): 0.156351
Epoch: 50:	Training loss (MRSE): 0.68787	,Validation loss (MRSE): 0.738612	,Training loss (MSE): 3.53336e+16	,Validation loss (MSE): 9.22169e+16	,Training accuracy (MAE): -2.76802e+07	,Validation accuracy (MAE): -5.65418e+07	,Training accuracy (MRAE): 0.216136	,Validation accuracy (MRAE): 0.184479
Epoch: 52:	Training loss (MRSE): 0.711637	,Validation loss (MRSE): 0.743027	,Training loss (MSE): 4.47303e+16	,Validation loss (MSE): 1.92468e+17	,Training accuracy (MAE): -4.43431e+07	,Validation accuracy (MAE): -9.6678e+07	,Training accuracy (MRAE): 0.197464	,Validation accuracy (MRAE): 0.182135
Epoch: 54:	Training loss (MRSE): 0.68401	,Validation loss (MRSE): 0.748682	,Training loss (MSE): 3.2596e+16	,Validation loss (MSE): 1.18279e+17	,Training accuracy (MAE): -2.78626e+07	,Validation accuracy (MAE): -7.04302e+07	,Training accuracy (MRAE): 0.221798	,Validation accuracy (MRAE): 0.179542
Epoch: 56:	Training loss (MRSE): 0.715927	,Validation loss (MRSE): 0.791865	,Training loss (MSE): 4.21712e+16	,Validation loss (MSE): 1.43417e+17	,Training accuracy (MAE): -2.91356e+07	,Validation accuracy (MAE): -6.76353e+07	,Training accuracy (MRAE): 0.190513	,Validation accuracy (MRAE): 0.1338
Epoch: 58:	Training loss (MRSE): 0.688779	,Validation loss (MRSE): 0.751142	,Training loss (MSE): 3.4021e+16	,Validation loss (MSE): 9.53461e+16	,Training accuracy (MAE): -3.06542e+07	,Validation accuracy (MAE): -5.76342e+07	,Training accuracy (MRAE): 0.21617	,Validation accuracy (MRAE): 0.171152
Epoch: 60:	Training loss (MRSE): 0.67602	,Validation loss (MRSE): 0.746752	,Training loss (MSE): 3.58613e+16	,Validation loss (MSE): 1.16408e+17	,Training accuracy (MAE): -2.66029e+07	,Validation accuracy (MAE): -5.80982e+07	,Training accuracy (MRAE): 0.227708	,Validation accuracy (MRAE): 0.18071
Epoch: 62:	Training loss (MRSE): 0.684225	,Validation loss (MRSE): 0.749158	,Training loss (MSE): 2.86003e+16	,Validation loss (MSE): 1.12229e+17	,Training accuracy (MAE): -2.4249e+07	,Validation accuracy (MAE): -5.65132e+07	,Training accuracy (MRAE): 0.223597	,Validation accuracy (MRAE): 0.166527
Epoch: 64:	Training loss (MRSE): 0.703877	,Validation loss (MRSE): 0.756263	,Training loss (MSE): 3.26698e+16	,Validation loss (MSE): 9.60407e+16	,Training accuracy (MAE): -2.49852e+07	,Validation accuracy (MAE): -5.14754e+07	,Training accuracy (MRAE): 0.197464	,Validation accuracy (MRAE): 0.172278
Epoch: 66:	Training loss (MRSE): 0.71249	,Validation loss (MRSE): 0.767616	,Training loss (MSE): 4.0847e+16	,Validation loss (MSE): 1.64222e+17	,Training accuracy (MAE): -2.72719e+07	,Validation accuracy (MAE): -7.24564e+07	,Training accuracy (MRAE): 0.193916	,Validation accuracy (MRAE): 0.15835
Epoch: 68:	Training loss (MRSE): 0.680811	,Validation loss (MRSE): 0.753192	,Training loss (MSE): 3.92544e+16	,Validation loss (MSE): 9.41e+16	,Training accuracy (MAE): -3.36387e+07	,Validation accuracy (MAE): -5.43823e+07	,Training accuracy (MRAE): 0.224118	,Validation accuracy (MRAE): 0.16486
Epoch: 70:	Training loss (MRSE): 0.698329	,Validation loss (MRSE): 0.762245	,Training loss (MSE): 2.9595e+16	,Validation loss (MSE): 1.21532e+17	,Training accuracy (MAE): -2.15806e+07	,Validation accuracy (MAE): -6.0756e+07	,Training accuracy (MRAE): 0.207413	,Validation accuracy (MRAE): 0.164132
Epoch: 72:	Training loss (MRSE): 0.673762	,Validation loss (MRSE): 0.745649	,Training loss (MSE): 3.47275e+16	,Validation loss (MSE): 8.4464e+16	,Training accuracy (MAE): -3.13372e+07	,Validation accuracy (MAE): -5.11091e+07	,Training accuracy (MRAE): 0.229387	,Validation accuracy (MRAE): 0.173745
Epoch: 74:	Training loss (MRSE): 0.683491	,Validation loss (MRSE): 0.755607	,Training loss (MSE): 3.36868e+16	,Validation loss (MSE): 9.56571e+16	,Training accuracy (MAE): -2.44991e+07	,Validation accuracy (MAE): -5.22999e+07	,Training accuracy (MRAE): 0.218128	,Validation accuracy (MRAE): 0.174612
Epoch: 76:	Training loss (MRSE): 0.706934	,Validation loss (MRSE): 0.767856	,Training loss (MSE): 3.74328e+16	,Validation loss (MSE): 1.68835e+17	,Training accuracy (MAE): -2.71441e+07	,Validation accuracy (MAE): -7.45605e+07	,Training accuracy (MRAE): 0.197257	,Validation accuracy (MRAE): 0.157368
Epoch: 78:	Training loss (MRSE): 0.683149	,Validation loss (MRSE): 0.754384	,Training loss (MSE): 3.56926e+16	,Validation loss (MSE): 9.09197e+16	,Training accuracy (MAE): -3.11329e+07	,Validation accuracy (MAE): -5.40632e+07	,Training accuracy (MRAE): 0.221731	,Validation accuracy (MRAE): 0.166995
Epoch: 80:	Training loss (MRSE): 0.689899	,Validation loss (MRSE): 0.757508	,Training loss (MSE): 4.01404e+16	,Validation loss (MSE): 1.6299e+17	,Training accuracy (MAE): -2.84195e+07	,Validation accuracy (MAE): -7.1086e+07	,Training accuracy (MRAE): 0.211473	,Validation accuracy (MRAE): 0.169814
Epoch: 82:	Training loss (MRSE): 0.694222	,Validation loss (MRSE): 0.740393	,Training loss (MSE): 3.23845e+16	,Validation loss (MSE): 9.00211e+16	,Training accuracy (MAE): -3.02417e+07	,Validation accuracy (MAE): -5.64952e+07	,Training accuracy (MRAE): 0.210634	,Validation accuracy (MRAE): 0.180429
Epoch: 84:	Training loss (MRSE): 0.680571	,Validation loss (MRSE): 0.75352	,Training loss (MSE): 2.85039e+16	,Validation loss (MSE): 1.13176e+17	,Training accuracy (MAE): -2.136e+07	,Validation accuracy (MAE): -5.61104e+07	,Training accuracy (MRAE): 0.223323	,Validation accuracy (MRAE): 0.171673
Epoch: 86:	Training loss (MRSE): 0.67786	,Validation loss (MRSE): 0.747773	,Training loss (MSE): 2.54413e+16	,Validation loss (MSE): 1.18686e+17	,Training accuracy (MAE): -2.00184e+07	,Validation accuracy (MAE): -5.99217e+07	,Training accuracy (MRAE): 0.226604	,Validation accuracy (MRAE): 0.170561
Epoch: 88:	Training loss (MRSE): 0.67832	,Validation loss (MRSE): 0.751207	,Training loss (MSE): 3.02346e+16	,Validation loss (MSE): 8.90559e+16	,Training accuracy (MAE): -2.26451e+07	,Validation accuracy (MAE): -4.94398e+07	,Training accuracy (MRAE): 0.225508	,Validation accuracy (MRAE): 0.16712
Epoch: 90:	Training loss (MRSE): 0.687048	,Validation loss (MRSE): 0.760018	,Training loss (MSE): 3.16876e+16	,Validation loss (MSE): 1.54865e+17	,Training accuracy (MAE): -2.44767e+07	,Validation accuracy (MAE): -7.11608e+07	,Training accuracy (MRAE): 0.215897	,Validation accuracy (MRAE): 0.158403
Epoch: 92:	Training loss (MRSE): 0.687633	,Validation loss (MRSE): 0.735006	,Training loss (MSE): 3.27471e+16	,Validation loss (MSE): 8.64362e+16	,Training accuracy (MAE): -2.86915e+07	,Validation accuracy (MAE): -5.1278e+07	,Training accuracy (MRAE): 0.217747	,Validation accuracy (MRAE): 0.190766
Epoch: 94:	Training loss (MRSE): 0.686691	,Validation loss (MRSE): 0.765089	,Training loss (MSE): 3.4893e+16	,Validation loss (MSE): 1.46426e+17	,Training accuracy (MAE): -2.6215e+07	,Validation accuracy (MAE): -6.84229e+07	,Training accuracy (MRAE): 0.211747	,Validation accuracy (MRAE): 0.153319
Epoch: 96:	Training loss (MRSE): 0.695103	,Validation loss (MRSE): 0.742257	,Training loss (MSE): 3.13568e+16	,Validation loss (MSE): 8.79984e+16	,Training accuracy (MAE): -2.74501e+07	,Validation accuracy (MAE): -5.54864e+07	,Training accuracy (MRAE): 0.210119	,Validation accuracy (MRAE): 0.1785
Epoch: 98:	Training loss (MRSE): 0.659168	,Validation loss (MRSE): 0.747383	,Training loss (MSE): 3.52868e+16	,Validation loss (MSE): 1.31123e+17	,Training accuracy (MAE): -2.51242e+07	,Validation accuracy (MAE): -6.22346e+07	,Training accuracy (MRAE): 0.240175	,Validation accuracy (MRAE): 0.167394
Epoch: 100:	Training loss (MRSE): 0.693322	,Validation loss (MRSE): 0.737108	,Training loss (MSE): 3.57316e+16	,Validation loss (MSE): 8.49033e+16	,Training accuracy (MAE): -3.16402e+07	,Validation accuracy (MAE): -5.21279e+07	,Training accuracy (MRAE): 0.210448	,Validation accuracy (MRAE): 0.185575
Epoch: 102:	Training loss (MRSE): 0.667195	,Validation loss (MRSE): 0.746333	,Training loss (MSE): 2.93774e+16	,Validation loss (MSE): 1.01188e+17	,Training accuracy (MAE): -2.22307e+07	,Validation accuracy (MAE): -5.45745e+07	,Training accuracy (MRAE): 0.23265	,Validation accuracy (MRAE): 0.167049
Epoch: 104:	Training loss (MRSE): 0.660787	,Validation loss (MRSE): 0.746481	,Training loss (MSE): 2.81692e+16	,Validation loss (MSE): 1.37717e+17	,Training accuracy (MAE): -2.12659e+07	,Validation accuracy (MAE): -6.61222e+07	,Training accuracy (MRAE): 0.238525	,Validation accuracy (MRAE): 0.170948
Epoch: 106:	Training loss (MRSE): 0.662607	,Validation loss (MRSE): 0.74332	,Training loss (MSE): 3.3916e+16	,Validation loss (MSE): 8.76669e+16	,Training accuracy (MAE): -2.80443e+07	,Validation accuracy (MAE): -5.00335e+07	,Training accuracy (MRAE): 0.242508	,Validation accuracy (MRAE): 0.177919
Epoch: 108:	Training loss (MRSE): 0.671852	,Validation loss (MRSE): 0.746832	,Training loss (MSE): 3.85681e+16	,Validation loss (MSE): 1.56611e+17	,Training accuracy (MAE): -2.82427e+07	,Validation accuracy (MAE): -7.07175e+07	,Training accuracy (MRAE): 0.222375	,Validation accuracy (MRAE): 0.171437
Epoch: 110:	Training loss (MRSE): 0.688869	,Validation loss (MRSE): 0.742642	,Training loss (MSE): 3.48683e+16	,Validation loss (MSE): 8.93891e+16	,Training accuracy (MAE): -3.02231e+07	,Validation accuracy (MAE): -5.50165e+07	,Training accuracy (MRAE): 0.210599	,Validation accuracy (MRAE): 0.184373
Epoch: 112:	Training loss (MRSE): 0.665698	,Validation loss (MRSE): 0.749887	,Training loss (MSE): 3.34575e+16	,Validation loss (MSE): 1.10566e+17	,Training accuracy (MAE): -2.46452e+07	,Validation accuracy (MAE): -5.67337e+07	,Training accuracy (MRAE): 0.230004	,Validation accuracy (MRAE): 0.168534
Epoch: 114:	Training loss (MRSE): 0.647901	,Validation loss (MRSE): 0.74181	,Training loss (MSE): 2.70996e+16	,Validation loss (MSE): 1.26306e+17	,Training accuracy (MAE): -2.04498e+07	,Validation accuracy (MAE): -6.30958e+07	,Training accuracy (MRAE): 0.25218	,Validation accuracy (MRAE): 0.174618
Epoch: 116:	Training loss (MRSE): 0.651176	,Validation loss (MRSE): 0.741844	,Training loss (MSE): 3.24826e+16	,Validation loss (MSE): 9.10198e+16	,Training accuracy (MAE): -2.69695e+07	,Validation accuracy (MAE): -5.28241e+07	,Training accuracy (MRAE): 0.247249	,Validation accuracy (MRAE): 0.180217
Epoch: 118:	Training loss (MRSE): 0.656942	,Validation loss (MRSE): 0.736589	,Training loss (MSE): 4.05709e+16	,Validation loss (MSE): 1.65211e+17	,Training accuracy (MAE): -2.88904e+07	,Validation accuracy (MAE): -7.28999e+07	,Training accuracy (MRAE): 0.237657	,Validation accuracy (MRAE): 0.183366
