Epoch: 0:	Training loss (MRSE): 0.841046	,Validation loss (MRSE): 0.822488	,Training loss (MSE): 1.02859e+17	,Validation loss (MSE): 2.70097e+17	,Training accuracy (MAE): -8.34624e+07	,Validation accuracy (MAE): -1.47914e+08	,Training accuracy (MRAE): 0.1085	,Validation accuracy (MRAE): 0.118704
Epoch: 2:	Training loss (MRSE): 0.848857	,Validation loss (MRSE): 0.821105	,Training loss (MSE): 9.52481e+16	,Validation loss (MSE): 2.90962e+17	,Training accuracy (MAE): -7.82458e+07	,Validation accuracy (MAE): -1.27917e+08	,Training accuracy (MRAE): 0.106669	,Validation accuracy (MRAE): 0.127645
Epoch: 4:	Training loss (MRSE): 0.859418	,Validation loss (MRSE): 0.808725	,Training loss (MSE): 1.04379e+17	,Validation loss (MSE): 3.02445e+17	,Training accuracy (MAE): -1.00295e+08	,Validation accuracy (MAE): -1.68607e+08	,Training accuracy (MRAE): 0.0960757	,Validation accuracy (MRAE): 0.138091
Epoch: 6:	Training loss (MRSE): 0.860626	,Validation loss (MRSE): 0.82746	,Training loss (MSE): 6.39524e+16	,Validation loss (MSE): 2.34064e+17	,Training accuracy (MAE): -7.62811e+07	,Validation accuracy (MAE): -1.42147e+08	,Training accuracy (MRAE): 0.0945277	,Validation accuracy (MRAE): 0.118934
Epoch: 8:	Training loss (MRSE): 0.842275	,Validation loss (MRSE): 0.82011	,Training loss (MSE): 8.02407e+16	,Validation loss (MSE): 2.43866e+17	,Training accuracy (MAE): -8.28524e+07	,Validation accuracy (MAE): -1.39179e+08	,Training accuracy (MRAE): 0.111811	,Validation accuracy (MRAE): 0.125036
Epoch: 10:	Training loss (MRSE): 0.826364	,Validation loss (MRSE): 0.815719	,Training loss (MSE): 6.79566e+16	,Validation loss (MSE): 2.35821e+17	,Training accuracy (MAE): -7.26718e+07	,Validation accuracy (MAE): -1.40433e+08	,Training accuracy (MRAE): 0.122001	,Validation accuracy (MRAE): 0.129928
Epoch: 12:	Training loss (MRSE): 0.829973	,Validation loss (MRSE): 0.799518	,Training loss (MSE): 6.63773e+16	,Validation loss (MSE): 2.09857e+17	,Training accuracy (MAE): -7.21641e+07	,Validation accuracy (MAE): -1.36222e+08	,Training accuracy (MRAE): 0.122518	,Validation accuracy (MRAE): 0.145018
Epoch: 14:	Training loss (MRSE): 0.824144	,Validation loss (MRSE): 0.798131	,Training loss (MSE): 6.76853e+16	,Validation loss (MSE): 2.07541e+17	,Training accuracy (MAE): -7.46304e+07	,Validation accuracy (MAE): -1.38658e+08	,Training accuracy (MRAE): 0.128928	,Validation accuracy (MRAE): 0.145362
Epoch: 16:	Training loss (MRSE): 0.834825	,Validation loss (MRSE): 0.812234	,Training loss (MSE): 5.91718e+16	,Validation loss (MSE): 1.5497e+17	,Training accuracy (MAE): -7.59789e+07	,Validation accuracy (MAE): -1.30104e+08	,Training accuracy (MRAE): 0.1135	,Validation accuracy (MRAE): 0.129595
Epoch: 18:	Training loss (MRSE): 0.829007	,Validation loss (MRSE): 0.81348	,Training loss (MSE): 4.873e+16	,Validation loss (MSE): 1.61502e+17	,Training accuracy (MAE): -6.66454e+07	,Validation accuracy (MAE): -1.3034e+08	,Training accuracy (MRAE): 0.1192	,Validation accuracy (MRAE): 0.130737
Epoch: 20:	Training loss (MRSE): 0.812705	,Validation loss (MRSE): 0.79696	,Training loss (MSE): 9.73509e+16	,Validation loss (MSE): 2.36384e+17	,Training accuracy (MAE): -8.97813e+07	,Validation accuracy (MAE): -1.61991e+08	,Training accuracy (MRAE): 0.135123	,Validation accuracy (MRAE): 0.147876
