Epoch: 0:	Training loss (MRSE): 0.854716	,Validation loss (MRSE): 0.832928	,Training loss (MSE): 2.80895e+17	,Validation loss (MSE): 1.61326e+17	,Training accuracy (MAE): -1.12795e+08	,Validation accuracy (MAE): -8.42144e+07	,Training accuracy (MRAE): 0.0994197	,Validation accuracy (MRAE): 0.118298
Epoch: 2:	Training loss (MRSE): 0.945542	,Validation loss (MRSE): 0.969108	,Training loss (MSE): 7.76669e+16	,Validation loss (MSE): 6.56466e+16	,Training accuracy (MAE): -4.22864e+07	,Validation accuracy (MAE): -3.78842e+07	,Training accuracy (MRAE): 0.0374677	,Validation accuracy (MRAE): 0.0193034
Epoch: 4:	Training loss (MRSE): 0.943958	,Validation loss (MRSE): 0.949879	,Training loss (MSE): 7.94049e+16	,Validation loss (MSE): 5.51159e+16	,Training accuracy (MAE): -4.19212e+07	,Validation accuracy (MAE): -3.45512e+07	,Training accuracy (MRAE): 0.0380727	,Validation accuracy (MRAE): 0.0340337
Epoch: 6:	Training loss (MRSE): 0.874252	,Validation loss (MRSE): 0.906159	,Training loss (MSE): 9.48247e+16	,Validation loss (MSE): 7.61163e+16	,Training accuracy (MAE): -4.89632e+07	,Validation accuracy (MAE): -4.14689e+07	,Training accuracy (MRAE): 0.0871478	,Validation accuracy (MRAE): 0.0591055
Epoch: 8:	Training loss (MRSE): 0.957771	,Validation loss (MRSE): 0.949854	,Training loss (MSE): 1.44058e+17	,Validation loss (MSE): 6.53328e+16	,Training accuracy (MAE): -5.9224e+07	,Validation accuracy (MAE): -3.77734e+07	,Training accuracy (MRAE): 0.0272861	,Validation accuracy (MRAE): 0.031648
Epoch: 10:	Training loss (MRSE): 0.843269	,Validation loss (MRSE): 0.86099	,Training loss (MSE): 6.61785e+16	,Validation loss (MSE): 4.94409e+16	,Training accuracy (MAE): -4.2939e+07	,Validation accuracy (MAE): -3.31401e+07	,Training accuracy (MRAE): 0.103562	,Validation accuracy (MRAE): 0.093386
Epoch: 12:	Training loss (MRSE): 0.853041	,Validation loss (MRSE): 0.869058	,Training loss (MSE): 9.11542e+16	,Validation loss (MSE): 4.28763e+16	,Training accuracy (MAE): -4.54006e+07	,Validation accuracy (MAE): -2.73571e+07	,Training accuracy (MRAE): 0.100183	,Validation accuracy (MRAE): 0.083288
Epoch: 14:	Training loss (MRSE): 0.811976	,Validation loss (MRSE): 0.821336	,Training loss (MSE): 8.73844e+16	,Validation loss (MSE): 6.46209e+16	,Training accuracy (MAE): -4.52484e+07	,Validation accuracy (MAE): -3.79707e+07	,Training accuracy (MRAE): 0.130147	,Validation accuracy (MRAE): 0.126531
Epoch: 16:	Training loss (MRSE): 0.870749	,Validation loss (MRSE): 0.924267	,Training loss (MSE): 1.3288e+17	,Validation loss (MSE): 5.31465e+16	,Training accuracy (MAE): -5.69306e+07	,Validation accuracy (MAE): -3.37222e+07	,Training accuracy (MRAE): 0.0883044	,Validation accuracy (MRAE): 0.045423
Epoch: 18:	Training loss (MRSE): 0.80293	,Validation loss (MRSE): 0.828035	,Training loss (MSE): 4.58159e+16	,Validation loss (MSE): 6.153e+16	,Training accuracy (MAE): -4.15212e+07	,Validation accuracy (MAE): -4.16057e+07	,Training accuracy (MRAE): 0.139032	,Validation accuracy (MRAE): 0.110601
Epoch: 20:	Training loss (MRSE): 0.804405	,Validation loss (MRSE): 0.822554	,Training loss (MSE): 4.98219e+16	,Validation loss (MSE): 6.13804e+16	,Training accuracy (MAE): -3.98302e+07	,Validation accuracy (MAE): -4.04141e+07	,Training accuracy (MRAE): 0.133788	,Validation accuracy (MRAE): 0.119332
Epoch: 22:	Training loss (MRSE): 0.801109	,Validation loss (MRSE): 0.791292	,Training loss (MSE): 6.60662e+16	,Validation loss (MSE): 6.82291e+16	,Training accuracy (MAE): -3.92379e+07	,Validation accuracy (MAE): -4.36976e+07	,Training accuracy (MRAE): 0.13673	,Validation accuracy (MRAE): 0.140437
Epoch: 24:	Training loss (MRSE): 0.801864	,Validation loss (MRSE): 0.797402	,Training loss (MSE): 5.73597e+16	,Validation loss (MSE): 6.53537e+16	,Training accuracy (MAE): -3.56609e+07	,Validation accuracy (MAE): -4.04606e+07	,Training accuracy (MRAE): 0.138069	,Validation accuracy (MRAE): 0.136904
Epoch: 26:	Training loss (MRSE): 0.791697	,Validation loss (MRSE): 0.814328	,Training loss (MSE): 6.10067e+16	,Validation loss (MSE): 7.38008e+16	,Training accuracy (MAE): -4.38612e+07	,Validation accuracy (MAE): -4.83186e+07	,Training accuracy (MRAE): 0.140504	,Validation accuracy (MRAE): 0.124278
Epoch: 28:	Training loss (MRSE): 0.811924	,Validation loss (MRSE): 0.847221	,Training loss (MSE): 6.37501e+16	,Validation loss (MSE): 4.34885e+16	,Training accuracy (MAE): -3.38099e+07	,Validation accuracy (MAE): -2.85471e+07	,Training accuracy (MRAE): 0.12933	,Validation accuracy (MRAE): 0.0981975
Epoch: 30:	Training loss (MRSE): 0.793632	,Validation loss (MRSE): 0.798486	,Training loss (MSE): 7.30287e+16	,Validation loss (MSE): 6.42041e+16	,Training accuracy (MAE): -4.10443e+07	,Validation accuracy (MAE): -4.20275e+07	,Training accuracy (MRAE): 0.138792	,Validation accuracy (MRAE): 0.132865
Epoch: 32:	Training loss (MRSE): 0.766492	,Validation loss (MRSE): 0.773161	,Training loss (MSE): 5.26938e+16	,Validation loss (MSE): 6.68535e+16	,Training accuracy (MAE): -3.71678e+07	,Validation accuracy (MAE): -4.28086e+07	,Training accuracy (MRAE): 0.160337	,Validation accuracy (MRAE): 0.156144
