Epoch: 0:	Training loss (MRSE): 0.812924	,Validation loss (MRSE): 0.852518	,Training loss (MSE): 1.57443e+17	,Validation loss (MSE): 6.05292e+17	,Training accuracy (MAE): -8.79916e+07	,Validation accuracy (MAE): -2.13022e+08	,Training accuracy (MRAE): 0.123713	,Validation accuracy (MRAE): 0.100034
Epoch: 6:	Training loss (MRSE): 0.821798	,Validation loss (MRSE): 0.849196	,Training loss (MSE): 6.12071e+16	,Validation loss (MSE): 2.70533e+17	,Training accuracy (MAE): -3.80138e+07	,Validation accuracy (MAE): -9.473e+07	,Training accuracy (MRAE): 0.113414	,Validation accuracy (MRAE): 0.0984869
Epoch: 12:	Training loss (MRSE): 0.774903	,Validation loss (MRSE): 0.830542	,Training loss (MSE): 3.27568e+16	,Validation loss (MSE): 2.05982e+17	,Training accuracy (MAE): -2.62358e+07	,Validation accuracy (MAE): -9.52082e+07	,Training accuracy (MRAE): 0.153824	,Validation accuracy (MRAE): 0.11696
Epoch: 18:	Training loss (MRSE): 0.759631	,Validation loss (MRSE): 0.840563	,Training loss (MSE): 3.41942e+16	,Validation loss (MSE): 2.15055e+17	,Training accuracy (MAE): -2.73309e+07	,Validation accuracy (MAE): -9.48498e+07	,Training accuracy (MRAE): 0.161768	,Validation accuracy (MRAE): 0.103569
Epoch: 24:	Training loss (MRSE): 0.728546	,Validation loss (MRSE): 0.833695	,Training loss (MSE): 3.34034e+16	,Validation loss (MSE): 2.56436e+17	,Training accuracy (MAE): -2.49216e+07	,Validation accuracy (MAE): -1.06354e+08	,Training accuracy (MRAE): 0.188674	,Validation accuracy (MRAE): 0.112518
Epoch: 30:	Training loss (MRSE): 0.734418	,Validation loss (MRSE): 0.836306	,Training loss (MSE): 2.71004e+16	,Validation loss (MSE): 2.40816e+17	,Training accuracy (MAE): -2.05352e+07	,Validation accuracy (MAE): -1.00611e+08	,Training accuracy (MRAE): 0.179812	,Validation accuracy (MRAE): 0.109257
Epoch: 36:	Training loss (MRSE): 0.725749	,Validation loss (MRSE): 0.833844	,Training loss (MSE): 3.03872e+16	,Validation loss (MSE): 2.37075e+17	,Training accuracy (MAE): -2.35697e+07	,Validation accuracy (MAE): -1.00832e+08	,Training accuracy (MRAE): 0.18451	,Validation accuracy (MRAE): 0.111112
Epoch: 42:	Training loss (MRSE): 0.700018	,Validation loss (MRSE): 0.827581	,Training loss (MSE): 3.02779e+16	,Validation loss (MSE): 2.89008e+17	,Training accuracy (MAE): -2.17459e+07	,Validation accuracy (MAE): -1.19127e+08	,Training accuracy (MRAE): 0.214503	,Validation accuracy (MRAE): 0.112745
Epoch: 48:	Training loss (MRSE): 0.692309	,Validation loss (MRSE): 0.824602	,Training loss (MSE): 3.2951e+16	,Validation loss (MSE): 2.93723e+17	,Training accuracy (MAE): -2.44292e+07	,Validation accuracy (MAE): -1.19236e+08	,Training accuracy (MRAE): 0.218621	,Validation accuracy (MRAE): 0.113458
Epoch: 54:	Training loss (MRSE): 0.691635	,Validation loss (MRSE): 0.823954	,Training loss (MSE): 3.02018e+16	,Validation loss (MSE): 2.76423e+17	,Training accuracy (MAE): -2.19792e+07	,Validation accuracy (MAE): -1.12816e+08	,Training accuracy (MRAE): 0.221228	,Validation accuracy (MRAE): 0.116207
Epoch: 60:	Training loss (MRSE): 0.707146	,Validation loss (MRSE): 0.815974	,Training loss (MSE): 3.0636e+16	,Validation loss (MSE): 2.98016e+17	,Training accuracy (MAE): -2.21853e+07	,Validation accuracy (MAE): -1.21469e+08	,Training accuracy (MRAE): 0.199302	,Validation accuracy (MRAE): 0.118904
Epoch: 66:	Training loss (MRSE): 0.722236	,Validation loss (MRSE): 0.808064	,Training loss (MSE): 3.15349e+16	,Validation loss (MSE): 2.57808e+17	,Training accuracy (MAE): -2.19852e+07	,Validation accuracy (MAE): -1.09654e+08	,Training accuracy (MRAE): 0.190078	,Validation accuracy (MRAE): 0.132405
Epoch: 72:	Training loss (MRSE): 0.682215	,Validation loss (MRSE): 0.806886	,Training loss (MSE): 3.10781e+16	,Validation loss (MSE): 2.88586e+17	,Training accuracy (MAE): -2.26499e+07	,Validation accuracy (MAE): -1.23381e+08	,Training accuracy (MRAE): 0.222147	,Validation accuracy (MRAE): 0.12834
Epoch: 78:	Training loss (MRSE): 0.703089	,Validation loss (MRSE): 0.813746	,Training loss (MSE): 2.76007e+16	,Validation loss (MSE): 2.26911e+17	,Training accuracy (MAE): -1.85016e+07	,Validation accuracy (MAE): -1.03748e+08	,Training accuracy (MRAE): 0.202946	,Validation accuracy (MRAE): 0.125675
Epoch: 84:	Training loss (MRSE): 0.682943	,Validation loss (MRSE): 0.79534	,Training loss (MSE): 3.04549e+16	,Validation loss (MSE): 2.64646e+17	,Training accuracy (MAE): -1.98497e+07	,Validation accuracy (MAE): -1.19898e+08	,Training accuracy (MRAE): 0.221252	,Validation accuracy (MRAE): 0.135109
Epoch: 90:	Training loss (MRSE): 0.703634	,Validation loss (MRSE): 0.821109	,Training loss (MSE): 2.87998e+16	,Validation loss (MSE): 2.69064e+17	,Training accuracy (MAE): -1.9407e+07	,Validation accuracy (MAE): -1.20475e+08	,Training accuracy (MRAE): 0.208764	,Validation accuracy (MRAE): 0.11967
Epoch: 96:	Training loss (MRSE): 0.686241	,Validation loss (MRSE): 0.811188	,Training loss (MSE): 3.02914e+16	,Validation loss (MSE): 2.3419e+17	,Training accuracy (MAE): -2.25419e+07	,Validation accuracy (MAE): -1.0911e+08	,Training accuracy (MRAE): 0.218124	,Validation accuracy (MRAE): 0.123267
Epoch: 102:	Training loss (MRSE): 0.674136	,Validation loss (MRSE): 0.80232	,Training loss (MSE): 2.59871e+16	,Validation loss (MSE): 2.3231e+17	,Training accuracy (MAE): -1.74187e+07	,Validation accuracy (MAE): -1.13256e+08	,Training accuracy (MRAE): 0.22733	,Validation accuracy (MRAE): 0.130129
Epoch: 108:	Training loss (MRSE): 0.681224	,Validation loss (MRSE): 0.792467	,Training loss (MSE): 3.06264e+16	,Validation loss (MSE): 2.95703e+17	,Training accuracy (MAE): -2.14873e+07	,Validation accuracy (MAE): -1.33515e+08	,Training accuracy (MRAE): 0.219182	,Validation accuracy (MRAE): 0.139393
Epoch: 114:	Training loss (MRSE): 0.698141	,Validation loss (MRSE): 0.824091	,Training loss (MSE): 2.97562e+16	,Validation loss (MSE): 2.76793e+17	,Training accuracy (MAE): -2.09344e+07	,Validation accuracy (MAE): -1.24757e+08	,Training accuracy (MRAE): 0.202201	,Validation accuracy (MRAE): 0.109152
Epoch: 120:	Training loss (MRSE): 0.686979	,Validation loss (MRSE): 0.805134	,Training loss (MSE): 2.81776e+16	,Validation loss (MSE): 2.36845e+17	,Training accuracy (MAE): -1.96504e+07	,Validation accuracy (MAE): -1.13758e+08	,Training accuracy (MRAE): 0.211999	,Validation accuracy (MRAE): 0.128447
Epoch: 126:	Training loss (MRSE): 0.687022	,Validation loss (MRSE): 0.814292	,Training loss (MSE): 2.76944e+16	,Validation loss (MSE): 2.81949e+17	,Training accuracy (MAE): -1.80265e+07	,Validation accuracy (MAE): -1.29709e+08	,Training accuracy (MRAE): 0.21909	,Validation accuracy (MRAE): 0.123399
Epoch: 132:	Training loss (MRSE): 0.680486	,Validation loss (MRSE): 0.795703	,Training loss (MSE): 2.94326e+16	,Validation loss (MSE): 2.66543e+17	,Training accuracy (MAE): -2.04458e+07	,Validation accuracy (MAE): -1.25503e+08	,Training accuracy (MRAE): 0.225856	,Validation accuracy (MRAE): 0.139678
Epoch: 138:	Training loss (MRSE): 0.700533	,Validation loss (MRSE): 0.828321	,Training loss (MSE): 2.89913e+16	,Validation loss (MSE): 2.60758e+17	,Training accuracy (MAE): -2.04521e+07	,Validation accuracy (MAE): -1.21522e+08	,Training accuracy (MRAE): 0.204918	,Validation accuracy (MRAE): 0.105546
Epoch: 144:	Training loss (MRSE): 0.691195	,Validation loss (MRSE): 0.808002	,Training loss (MSE): 3.31845e+16	,Validation loss (MSE): 2.49479e+17	,Training accuracy (MAE): -2.38172e+07	,Validation accuracy (MAE): -1.12501e+08	,Training accuracy (MRAE): 0.211916	,Validation accuracy (MRAE): 0.132714
Epoch: 150:	Training loss (MRSE): 0.654903	,Validation loss (MRSE): 0.775399	,Training loss (MSE): 2.68055e+16	,Validation loss (MSE): 2.70063e+17	,Training accuracy (MAE): -1.94727e+07	,Validation accuracy (MAE): -1.2339e+08	,Training accuracy (MRAE): 0.249019	,Validation accuracy (MRAE): 0.161842
Epoch: 156:	Training loss (MRSE): 0.667618	,Validation loss (MRSE): 0.812703	,Training loss (MSE): 2.87363e+16	,Validation loss (MSE): 2.82099e+17	,Training accuracy (MAE): -1.99354e+07	,Validation accuracy (MAE): -1.2246e+08	,Training accuracy (MRAE): 0.23392	,Validation accuracy (MRAE): 0.125533
Epoch: 162:	Training loss (MRSE): 0.699894	,Validation loss (MRSE): 0.83273	,Training loss (MSE): 3.49355e+16	,Validation loss (MSE): 2.65025e+17	,Training accuracy (MAE): -2.48972e+07	,Validation accuracy (MAE): -1.17421e+08	,Training accuracy (MRAE): 0.199215	,Validation accuracy (MRAE): 0.105398
Epoch: 168:	Training loss (MRSE): 0.672786	,Validation loss (MRSE): 0.803508	,Training loss (MSE): 2.7025e+16	,Validation loss (MSE): 2.365e+17	,Training accuracy (MAE): -1.87872e+07	,Validation accuracy (MAE): -1.07965e+08	,Training accuracy (MRAE): 0.228145	,Validation accuracy (MRAE): 0.138105
Epoch: 174:	Training loss (MRSE): 0.651184	,Validation loss (MRSE): 0.780347	,Training loss (MSE): 2.91806e+16	,Validation loss (MSE): 3.09429e+17	,Training accuracy (MAE): -2.31304e+07	,Validation accuracy (MAE): -1.36453e+08	,Training accuracy (MRAE): 0.25175	,Validation accuracy (MRAE): 0.145975
Epoch: 180:	Training loss (MRSE): 0.640205	,Validation loss (MRSE): 0.788633	,Training loss (MSE): 2.68054e+16	,Validation loss (MSE): 2.93328e+17	,Training accuracy (MAE): -1.89351e+07	,Validation accuracy (MAE): -1.31472e+08	,Training accuracy (MRAE): 0.266243	,Validation accuracy (MRAE): 0.141915
Epoch: 186:	Training loss (MRSE): 0.675289	,Validation loss (MRSE): 0.815985	,Training loss (MSE): 2.86365e+16	,Validation loss (MSE): 2.59467e+17	,Training accuracy (MAE): -1.97913e+07	,Validation accuracy (MAE): -1.19158e+08	,Training accuracy (MRAE): 0.215499	,Validation accuracy (MRAE): 0.118104
Epoch: 192:	Training loss (MRSE): 0.634141	,Validation loss (MRSE): 0.797268	,Training loss (MSE): 2.64085e+16	,Validation loss (MSE): 2.73913e+17	,Training accuracy (MAE): -1.79413e+07	,Validation accuracy (MAE): -1.28377e+08	,Training accuracy (MRAE): 0.267783	,Validation accuracy (MRAE): 0.137464
Epoch: 198:	Training loss (MRSE): 0.634254	,Validation loss (MRSE): 0.803227	,Training loss (MSE): 2.80647e+16	,Validation loss (MSE): 2.83452e+17	,Training accuracy (MAE): -2.03449e+07	,Validation accuracy (MAE): -1.29012e+08	,Training accuracy (MRAE): 0.264612	,Validation accuracy (MRAE): 0.132113
Epoch: 204:	Training loss (MRSE): 0.654479	,Validation loss (MRSE): 0.816025	,Training loss (MSE): 2.65102e+16	,Validation loss (MSE): 2.81062e+17	,Training accuracy (MAE): -1.68664e+07	,Validation accuracy (MAE): -1.27606e+08	,Training accuracy (MRAE): 0.23844	,Validation accuracy (MRAE): 0.119443
Epoch: 210:	Training loss (MRSE): 0.645819	,Validation loss (MRSE): 0.79561	,Training loss (MSE): 3.0075e+16	,Validation loss (MSE): 3.19846e+17	,Training accuracy (MAE): -2.25555e+07	,Validation accuracy (MAE): -1.4315e+08	,Training accuracy (MRAE): 0.253743	,Validation accuracy (MRAE): 0.136059
Epoch: 216:	Training loss (MRSE): 0.640871	,Validation loss (MRSE): 0.800301	,Training loss (MSE): 2.68917e+16	,Validation loss (MSE): 2.82985e+17	,Training accuracy (MAE): -1.97575e+07	,Validation accuracy (MAE): -1.2795e+08	,Training accuracy (MRAE): 0.253946	,Validation accuracy (MRAE): 0.130476
Epoch: 222:	Training loss (MRSE): 0.659641	,Validation loss (MRSE): 0.811013	,Training loss (MSE): 3.12262e+16	,Validation loss (MSE): 2.7093e+17	,Training accuracy (MAE): -2.28343e+07	,Validation accuracy (MAE): -1.20558e+08	,Training accuracy (MRAE): 0.230762	,Validation accuracy (MRAE): 0.118629
Epoch: 228:	Training loss (MRSE): 0.642098	,Validation loss (MRSE): 0.803698	,Training loss (MSE): 2.85876e+16	,Validation loss (MSE): 2.57573e+17	,Training accuracy (MAE): -2.03021e+07	,Validation accuracy (MAE): -1.1642e+08	,Training accuracy (MRAE): 0.249712	,Validation accuracy (MRAE): 0.127592
Epoch: 234:	Training loss (MRSE): 0.641194	,Validation loss (MRSE): 0.773811	,Training loss (MSE): 2.99332e+16	,Validation loss (MSE): 3.07414e+17	,Training accuracy (MAE): -2.17609e+07	,Validation accuracy (MAE): -1.4003e+08	,Training accuracy (MRAE): 0.255366	,Validation accuracy (MRAE): 0.159892
Epoch: 240:	Training loss (MRSE): 0.633204	,Validation loss (MRSE): 0.781362	,Training loss (MSE): 2.7036e+16	,Validation loss (MSE): 2.54851e+17	,Training accuracy (MAE): -1.84476e+07	,Validation accuracy (MAE): -1.15894e+08	,Training accuracy (MRAE): 0.259215	,Validation accuracy (MRAE): 0.147443
Epoch: 246:	Training loss (MRSE): 0.645946	,Validation loss (MRSE): 0.784775	,Training loss (MSE): 3.05197e+16	,Validation loss (MSE): 2.32776e+17	,Training accuracy (MAE): -2.0914e+07	,Validation accuracy (MAE): -1.06636e+08	,Training accuracy (MRAE): 0.243681	,Validation accuracy (MRAE): 0.145149
Epoch: 252:	Training loss (MRSE): 0.611947	,Validation loss (MRSE): 0.76575	,Training loss (MSE): 2.58299e+16	,Validation loss (MSE): 2.70492e+17	,Training accuracy (MAE): -1.76626e+07	,Validation accuracy (MAE): -1.20954e+08	,Training accuracy (MRAE): 0.284053	,Validation accuracy (MRAE): 0.163846
Epoch: 258:	Training loss (MRSE): 0.608409	,Validation loss (MRSE): 0.76248	,Training loss (MSE): 2.54726e+16	,Validation loss (MSE): 2.76504e+17	,Training accuracy (MAE): -1.90038e+07	,Validation accuracy (MAE): -1.2552e+08	,Training accuracy (MRAE): 0.286326	,Validation accuracy (MRAE): 0.161814
