Epoch: 0:	Training loss (MRSE): 0.788106	,Validation loss (MRSE): 0.739055	,Training loss (MSE): 1.23927e+17	,Validation loss (MSE): 4.61575e+16	,Training accuracy (MAE): -5.74623e+07	,Validation accuracy (MAE): -3.44378e+07	,Training accuracy (MRAE): 0.143355	,Validation accuracy (MRAE): 0.18544
Epoch: 2:	Training loss (MRSE): 0.784996	,Validation loss (MRSE): 0.860593	,Training loss (MSE): 7.16995e+16	,Validation loss (MSE): 4.86678e+16	,Training accuracy (MAE): -4.77319e+07	,Validation accuracy (MAE): -5.12508e+07	,Training accuracy (MRAE): 0.146054	,Validation accuracy (MRAE): 0.0881632
Epoch: 4:	Training loss (MRSE): 0.79009	,Validation loss (MRSE): 0.845992	,Training loss (MSE): 6.58206e+16	,Validation loss (MSE): 2.08268e+16	,Training accuracy (MAE): -4.05229e+07	,Validation accuracy (MAE): -2.91611e+07	,Training accuracy (MRAE): 0.143771	,Validation accuracy (MRAE): 0.102075
Epoch: 6:	Training loss (MRSE): 0.79371	,Validation loss (MRSE): 0.850065	,Training loss (MSE): 5.77488e+16	,Validation loss (MSE): 5.01182e+15	,Training accuracy (MAE): -3.67894e+07	,Validation accuracy (MAE): -1.98256e+07	,Training accuracy (MRAE): 0.139876	,Validation accuracy (MRAE): 0.101589
Epoch: 8:	Training loss (MRSE): 0.779347	,Validation loss (MRSE): 0.858714	,Training loss (MSE): 5.63019e+16	,Validation loss (MSE): 7.752e+15	,Training accuracy (MAE): -3.47058e+07	,Validation accuracy (MAE): -2.54039e+07	,Training accuracy (MRAE): 0.15275	,Validation accuracy (MRAE): 0.093806
Epoch: 10:	Training loss (MRSE): 0.770039	,Validation loss (MRSE): 0.856911	,Training loss (MSE): 5.3415e+16	,Validation loss (MSE): 6.33259e+15	,Training accuracy (MAE): -3.21485e+07	,Validation accuracy (MAE): -2.36879e+07	,Training accuracy (MRAE): 0.161341	,Validation accuracy (MRAE): 0.0973637
Epoch: 12:	Training loss (MRSE): 0.761175	,Validation loss (MRSE): 0.842036	,Training loss (MSE): 5.76062e+16	,Validation loss (MSE): 6.51957e+15	,Training accuracy (MAE): -3.42441e+07	,Validation accuracy (MAE): -2.32835e+07	,Training accuracy (MRAE): 0.169233	,Validation accuracy (MRAE): 0.102637
Epoch: 14:	Training loss (MRSE): 0.751542	,Validation loss (MRSE): 0.846952	,Training loss (MSE): 5.34264e+16	,Validation loss (MSE): 8.40131e+15	,Training accuracy (MAE): -3.08851e+07	,Validation accuracy (MAE): -2.49859e+07	,Training accuracy (MRAE): 0.172009	,Validation accuracy (MRAE): 0.0990214
Epoch: 16:	Training loss (MRSE): 0.753307	,Validation loss (MRSE): 0.850233	,Training loss (MSE): 5.41629e+16	,Validation loss (MSE): 7.65431e+15	,Training accuracy (MAE): -3.19536e+07	,Validation accuracy (MAE): -2.4446e+07	,Training accuracy (MRAE): 0.174416	,Validation accuracy (MRAE): 0.0991413
Epoch: 18:	Training loss (MRSE): 0.758966	,Validation loss (MRSE): 0.847293	,Training loss (MSE): 5.45853e+16	,Validation loss (MSE): 8.13554e+15	,Training accuracy (MAE): -3.23114e+07	,Validation accuracy (MAE): -2.52038e+07	,Training accuracy (MRAE): 0.169627	,Validation accuracy (MRAE): 0.0998618
Epoch: 20:	Training loss (MRSE): 0.767577	,Validation loss (MRSE): 0.847594	,Training loss (MSE): 5.3685e+16	,Validation loss (MSE): 1.33078e+16	,Training accuracy (MAE): -3.43016e+07	,Validation accuracy (MAE): -3.39472e+07	,Training accuracy (MRAE): 0.157227	,Validation accuracy (MRAE): 0.100084
Epoch: 22:	Training loss (MRSE): 0.744129	,Validation loss (MRSE): 0.831656	,Training loss (MSE): 5.50057e+16	,Validation loss (MSE): 7.77426e+15	,Training accuracy (MAE): -3.19103e+07	,Validation accuracy (MAE): -2.47544e+07	,Training accuracy (MRAE): 0.178188	,Validation accuracy (MRAE): 0.110492
Epoch: 24:	Training loss (MRSE): 0.741277	,Validation loss (MRSE): 0.837659	,Training loss (MSE): 5.39575e+16	,Validation loss (MSE): 8.53768e+15	,Training accuracy (MAE): -3.22466e+07	,Validation accuracy (MAE): -2.55691e+07	,Training accuracy (MRAE): 0.183115	,Validation accuracy (MRAE): 0.102425
Epoch: 26:	Training loss (MRSE): 0.747506	,Validation loss (MRSE): 0.832027	,Training loss (MSE): 5.2396e+16	,Validation loss (MSE): 8.83089e+15	,Training accuracy (MAE): -3.18839e+07	,Validation accuracy (MAE): -2.58422e+07	,Training accuracy (MRAE): 0.17899	,Validation accuracy (MRAE): 0.112044
