Epoch: 0:	Training loss (MRSE): 0.930129	,Validation loss (MRSE): 0.945757	,Training loss (MSE): 2.91595e+17	,Validation loss (MSE): 2.15836e+17	,Training accuracy (MAE): -1.24181e+08	,Validation accuracy (MAE): -1.02383e+08	,Training accuracy (MRAE): 0.0457361	,Validation accuracy (MRAE): 0.0399273
Epoch: 2:	Training loss (MRSE): 0.881792	,Validation loss (MRSE): 0.876505	,Training loss (MSE): 2.39039e+17	,Validation loss (MSE): 2.94675e+17	,Training accuracy (MAE): -1.04171e+08	,Validation accuracy (MAE): -1.02574e+08	,Training accuracy (MRAE): 0.080956	,Validation accuracy (MRAE): 0.0805156
Epoch: 4:	Training loss (MRSE): 0.879602	,Validation loss (MRSE): 0.845013	,Training loss (MSE): 7.0419e+16	,Validation loss (MSE): 1.73561e+17	,Training accuracy (MAE): -5.04466e+07	,Validation accuracy (MAE): -7.55565e+07	,Training accuracy (MRAE): 0.0824854	,Validation accuracy (MRAE): 0.106307
Epoch: 6:	Training loss (MRSE): 0.90039	,Validation loss (MRSE): 0.90501	,Training loss (MSE): 7.28514e+16	,Validation loss (MSE): 8.7534e+16	,Training accuracy (MAE): -4.25073e+07	,Validation accuracy (MAE): -4.72507e+07	,Training accuracy (MRAE): 0.0688866	,Validation accuracy (MRAE): 0.0596547
Epoch: 8:	Training loss (MRSE): 0.829825	,Validation loss (MRSE): 0.835213	,Training loss (MSE): 9.41971e+16	,Validation loss (MSE): 6.69595e+16	,Training accuracy (MAE): -6.24537e+07	,Validation accuracy (MAE): -4.53161e+07	,Training accuracy (MRAE): 0.120848	,Validation accuracy (MRAE): 0.117041
Epoch: 10:	Training loss (MRSE): 0.884388	,Validation loss (MRSE): 0.872034	,Training loss (MSE): 6.12992e+16	,Validation loss (MSE): 5.63068e+16	,Training accuracy (MAE): -3.38111e+07	,Validation accuracy (MAE): -3.51582e+07	,Training accuracy (MRAE): 0.0788118	,Validation accuracy (MRAE): 0.0857333
Epoch: 12:	Training loss (MRSE): 0.827431	,Validation loss (MRSE): 0.845245	,Training loss (MSE): 5.35789e+16	,Validation loss (MSE): 7.24853e+16	,Training accuracy (MAE): -5.05187e+07	,Validation accuracy (MAE): -4.77254e+07	,Training accuracy (MRAE): 0.113392	,Validation accuracy (MRAE): 0.104758
Epoch: 14:	Training loss (MRSE): 0.81534	,Validation loss (MRSE): 0.851034	,Training loss (MSE): 7.35419e+16	,Validation loss (MSE): 6.91747e+16	,Training accuracy (MAE): -4.42494e+07	,Validation accuracy (MAE): -4.4999e+07	,Training accuracy (MRAE): 0.129685	,Validation accuracy (MRAE): 0.0944507
Epoch: 16:	Training loss (MRSE): 0.813528	,Validation loss (MRSE): 0.83935	,Training loss (MSE): 4.90757e+16	,Validation loss (MSE): 6.23826e+16	,Training accuracy (MAE): -3.53602e+07	,Validation accuracy (MAE): -3.91445e+07	,Training accuracy (MRAE): 0.127349	,Validation accuracy (MRAE): 0.103455
Epoch: 18:	Training loss (MRSE): 0.79997	,Validation loss (MRSE): 0.832715	,Training loss (MSE): 6.67107e+16	,Validation loss (MSE): 6.58315e+16	,Training accuracy (MAE): -3.86338e+07	,Validation accuracy (MAE): -3.94893e+07	,Training accuracy (MRAE): 0.139224	,Validation accuracy (MRAE): 0.116222
Epoch: 20:	Training loss (MRSE): 0.782982	,Validation loss (MRSE): 0.820881	,Training loss (MSE): 6.48816e+16	,Validation loss (MSE): 4.28557e+16	,Training accuracy (MAE): -4.1098e+07	,Validation accuracy (MAE): -2.67671e+07	,Training accuracy (MRAE): 0.146857	,Validation accuracy (MRAE): 0.126356
