Epoch: 0:	Training loss (MRSE): 0.986116	,Validation loss (MRSE): 0.982439	,Training loss (MSE): 4.31145e+17	,Validation loss (MSE): 3.94326e+17	,Training accuracy (MAE): -1.48411e+08	,Validation accuracy (MAE): -1.188e+08	,Training accuracy (MRAE): 0.00894845	,Validation accuracy (MRAE): 0.0115141
Epoch: 2:	Training loss (MRSE): 0.98572	,Validation loss (MRSE): 0.981465	,Training loss (MSE): 2.40305e+17	,Validation loss (MSE): 1.97793e+17	,Training accuracy (MAE): -8.86678e+07	,Validation accuracy (MAE): -7.95668e+07	,Training accuracy (MRAE): 0.0093156	,Validation accuracy (MRAE): 0.0106666
Epoch: 4:	Training loss (MRSE): 0.985968	,Validation loss (MRSE): 0.980881	,Training loss (MSE): 2.39412e+17	,Validation loss (MSE): 1.86663e+17	,Training accuracy (MAE): -8.73256e+07	,Validation accuracy (MAE): -7.52182e+07	,Training accuracy (MRAE): 0.00919333	,Validation accuracy (MRAE): 0.0114385
Epoch: 6:	Training loss (MRSE): 0.98608	,Validation loss (MRSE): 0.980148	,Training loss (MSE): 2.39173e+17	,Validation loss (MSE): 1.82342e+17	,Training accuracy (MAE): -8.68024e+07	,Validation accuracy (MAE): -7.31885e+07	,Training accuracy (MRAE): 0.00880139	,Validation accuracy (MRAE): 0.0124418
Epoch: 8:	Training loss (MRSE): 0.986101	,Validation loss (MRSE): 0.979555	,Training loss (MSE): 2.3906e+17	,Validation loss (MSE): 1.79873e+17	,Training accuracy (MAE): -8.65e+07	,Validation accuracy (MAE): -7.1898e+07	,Training accuracy (MRAE): 0.0087265	,Validation accuracy (MRAE): 0.0133824
Epoch: 10:	Training loss (MRSE): 0.986079	,Validation loss (MRSE): 0.979097	,Training loss (MSE): 2.38995e+17	,Validation loss (MSE): 1.78228e+17	,Training accuracy (MAE): -8.62961e+07	,Validation accuracy (MAE): -7.09692e+07	,Training accuracy (MRAE): 0.00877297	,Validation accuracy (MRAE): 0.0142478
Epoch: 12:	Training loss (MRSE): 0.986037	,Validation loss (MRSE): 0.978751	,Training loss (MSE): 2.38952e+17	,Validation loss (MSE): 1.77033e+17	,Training accuracy (MAE): -8.61463e+07	,Validation accuracy (MAE): -7.02528e+07	,Training accuracy (MRAE): 0.00887593	,Validation accuracy (MRAE): 0.0150473
Epoch: 14:	Training loss (MRSE): 0.985988	,Validation loss (MRSE): 0.978495	,Training loss (MSE): 2.38922e+17	,Validation loss (MSE): 1.76117e+17	,Training accuracy (MAE): -8.60302e+07	,Validation accuracy (MAE): -6.96752e+07	,Training accuracy (MRAE): 0.00900788	,Validation accuracy (MRAE): 0.015791
Epoch: 16:	Training loss (MRSE): 0.985939	,Validation loss (MRSE): 0.978314	,Training loss (MSE): 2.389e+17	,Validation loss (MSE): 1.75387e+17	,Training accuracy (MAE): -8.59367e+07	,Validation accuracy (MAE): -6.91948e+07	,Training accuracy (MRAE): 0.00915523	,Validation accuracy (MRAE): 0.0164875
Epoch: 18:	Training loss (MRSE): 0.985892	,Validation loss (MRSE): 0.978196	,Training loss (MSE): 2.38882e+17	,Validation loss (MSE): 1.74788e+17	,Training accuracy (MAE): -8.58592e+07	,Validation accuracy (MAE): -6.87858e+07	,Training accuracy (MRAE): 0.00931078	,Validation accuracy (MRAE): 0.0171435
Epoch: 20:	Training loss (MRSE): 0.985849	,Validation loss (MRSE): 0.978132	,Training loss (MSE): 2.38869e+17	,Validation loss (MSE): 1.74286e+17	,Training accuracy (MAE): -8.57937e+07	,Validation accuracy (MAE): -6.84313e+07	,Training accuracy (MRAE): 0.00947027	,Validation accuracy (MRAE): 0.0173285
Epoch: 22:	Training loss (MRSE): 0.985812	,Validation loss (MRSE): 0.978107	,Training loss (MSE): 2.38857e+17	,Validation loss (MSE): 1.73858e+17	,Training accuracy (MAE): -8.57373e+07	,Validation accuracy (MAE): -6.81198e+07	,Training accuracy (MRAE): 0.0096312	,Validation accuracy (MRAE): 0.017245
Epoch: 24:	Training loss (MRSE): 0.985781	,Validation loss (MRSE): 0.978112	,Training loss (MSE): 2.38848e+17	,Validation loss (MSE): 1.73487e+17	,Training accuracy (MAE): -8.56881e+07	,Validation accuracy (MAE): -6.78428e+07	,Training accuracy (MRAE): 0.00979219	,Validation accuracy (MRAE): 0.0171938
Epoch: 26:	Training loss (MRSE): 0.985755	,Validation loss (MRSE): 0.978137	,Training loss (MSE): 2.3884e+17	,Validation loss (MSE): 1.73163e+17	,Training accuracy (MAE): -8.56447e+07	,Validation accuracy (MAE): -6.75941e+07	,Training accuracy (MRAE): 0.0099521	,Validation accuracy (MRAE): 0.0171677
Epoch: 28:	Training loss (MRSE): 0.985735	,Validation loss (MRSE): 0.978178	,Training loss (MSE): 2.38834e+17	,Validation loss (MSE): 1.72876e+17	,Training accuracy (MAE): -8.5606e+07	,Validation accuracy (MAE): -6.73689e+07	,Training accuracy (MRAE): 0.0101103	,Validation accuracy (MRAE): 0.017161
Epoch: 30:	Training loss (MRSE): 0.985721	,Validation loss (MRSE): 0.978231	,Training loss (MSE): 2.38828e+17	,Validation loss (MSE): 1.7262e+17	,Training accuracy (MAE): -8.55712e+07	,Validation accuracy (MAE): -6.71637e+07	,Training accuracy (MRAE): 0.0101883	,Validation accuracy (MRAE): 0.0171697
Epoch: 32:	Training loss (MRSE): 0.985711	,Validation loss (MRSE): 0.978293	,Training loss (MSE): 2.38823e+17	,Validation loss (MSE): 1.72389e+17	,Training accuracy (MAE): -8.55397e+07	,Validation accuracy (MAE): -6.69754e+07	,Training accuracy (MRAE): 0.0101746	,Validation accuracy (MRAE): 0.0171906
Epoch: 34:	Training loss (MRSE): 0.985705	,Validation loss (MRSE): 0.978363	,Training loss (MSE): 2.38818e+17	,Validation loss (MSE): 1.72181e+17	,Training accuracy (MAE): -8.5511e+07	,Validation accuracy (MAE): -6.68019e+07	,Training accuracy (MRAE): 0.0101689	,Validation accuracy (MRAE): 0.016887
Epoch: 36:	Training loss (MRSE): 0.985703	,Validation loss (MRSE): 0.978438	,Training loss (MSE): 2.38815e+17	,Validation loss (MSE): 1.71991e+17	,Training accuracy (MAE): -8.54847e+07	,Validation accuracy (MAE): -6.66411e+07	,Training accuracy (MRAE): 0.0101698	,Validation accuracy (MRAE): 0.0165905
