Epoch: 0,	Training loss (MRSE): 0.959355	,Validation loss (MRSE): 0.93812	,Training loss (MSE): 4.00074e+17	,Validation loss (MSE): 3.60062e+17	,Training accuracy (MAE): -2.37737e+08	,Validation accuracy (MAE): -1.99086e+08	,Training accuracy (MRAE): 0.033222	,Validation accuracy (MRAE): 0.0531244
Epoch: 2,	Training loss (MRSE): 0.954265	,Validation loss (MRSE): 0.952496	,Training loss (MSE): 3.75515e+17	,Validation loss (MSE): 5.97728e+17	,Training accuracy (MAE): -2.28875e+08	,Validation accuracy (MAE): -2.76471e+08	,Training accuracy (MRAE): 0.0368861	,Validation accuracy (MRAE): 0.0426366
Epoch: 4,	Training loss (MRSE): 0.947621	,Validation loss (MRSE): 0.943432	,Training loss (MSE): 4.84162e+17	,Validation loss (MSE): 7.3404e+17	,Training accuracy (MAE): -3.16339e+08	,Validation accuracy (MAE): -3.53533e+08	,Training accuracy (MRAE): 0.0416469	,Validation accuracy (MRAE): 0.0452362
Epoch: 6,	Training loss (MRSE): 0.946263	,Validation loss (MRSE): 0.939805	,Training loss (MSE): 2.72106e+17	,Validation loss (MSE): 5.37089e+17	,Training accuracy (MAE): -2.47886e+08	,Validation accuracy (MAE): -2.79776e+08	,Training accuracy (MRAE): 0.0404602	,Validation accuracy (MRAE): 0.0510453
Epoch: 8,	Training loss (MRSE): 0.941855	,Validation loss (MRSE): 0.942881	,Training loss (MSE): 1.23575e+17	,Validation loss (MSE): 4.82915e+17	,Training accuracy (MAE): -1.07602e+08	,Validation accuracy (MAE): -2.25494e+08	,Training accuracy (MRAE): 0.0461014	,Validation accuracy (MRAE): 0.0483855
Epoch: 10,	Training loss (MRSE): 0.951773	,Validation loss (MRSE): 0.924953	,Training loss (MSE): 2.01935e+17	,Validation loss (MSE): 4.91327e+17	,Training accuracy (MAE): -1.43255e+08	,Validation accuracy (MAE): -2.14046e+08	,Training accuracy (MRAE): 0.0415672	,Validation accuracy (MRAE): 0.0670801
Epoch: 12,	Training loss (MRSE): 0.947034	,Validation loss (MRSE): 0.923278	,Training loss (MSE): 1.3191e+17	,Validation loss (MSE): 6.74753e+17	,Training accuracy (MAE): -1.37158e+08	,Validation accuracy (MAE): -2.98434e+08	,Training accuracy (MRAE): 0.0413981	,Validation accuracy (MRAE): 0.0639901
Epoch: 14,	Training loss (MRSE): 0.948654	,Validation loss (MRSE): 0.930849	,Training loss (MSE): 1.30689e+17	,Validation loss (MSE): 5.88389e+17	,Training accuracy (MAE): -1.23664e+08	,Validation accuracy (MAE): -2.82199e+08	,Training accuracy (MRAE): 0.0423662	,Validation accuracy (MRAE): 0.0604054
Epoch: 16,	Training loss (MRSE): 0.943515	,Validation loss (MRSE): 0.914481	,Training loss (MSE): 2.1824e+17	,Validation loss (MSE): 6.17945e+17	,Training accuracy (MAE): -2.12267e+08	,Validation accuracy (MAE): -3.45281e+08	,Training accuracy (MRAE): 0.0394061	,Validation accuracy (MRAE): 0.0670558
Epoch: 18,	Training loss (MRSE): 0.93649	,Validation loss (MRSE): 0.934209	,Training loss (MSE): 9.41179e+16	,Validation loss (MSE): 5.15406e+17	,Training accuracy (MAE): -1.32125e+08	,Validation accuracy (MAE): -2.9402e+08	,Training accuracy (MRAE): 0.0514873	,Validation accuracy (MRAE): 0.0536457
Epoch: 20,	Training loss (MRSE): 0.941781	,Validation loss (MRSE): 0.958392	,Training loss (MSE): 7.22636e+16	,Validation loss (MSE): 6.34557e+17	,Training accuracy (MAE): -1.0562e+08	,Validation accuracy (MAE): -3.34485e+08	,Training accuracy (MRAE): 0.0454931	,Validation accuracy (MRAE): 0.0306036
