Epoch: 0,	Training loss (MRSE): 0.823588	,Validation loss (MRSE): 0.805589	,Training loss (MSE): 5.53848e+17	,Validation loss (MSE): 6.98209e+17	,Training accuracy (MAE): -2.57638e+08	,Validation accuracy (MAE): -3.17027e+08	,Training accuracy (MRAE): 0.11933	,Validation accuracy (MRAE): 0.131696
Epoch: 2,	Training loss (MRSE): 0.773914	,Validation loss (MRSE): 0.789611	,Training loss (MSE): 3.95159e+17	,Validation loss (MSE): 6.03663e+17	,Training accuracy (MAE): -1.72443e+08	,Validation accuracy (MAE): -2.32459e+08	,Training accuracy (MRAE): 0.151435	,Validation accuracy (MRAE): 0.132773
Epoch: 4,	Training loss (MRSE): 0.752087	,Validation loss (MRSE): 0.797128	,Training loss (MSE): 2.39185e+17	,Validation loss (MSE): 3.75911e+17	,Training accuracy (MAE): -1.01843e+08	,Validation accuracy (MAE): -1.6057e+08	,Training accuracy (MRAE): 0.16684	,Validation accuracy (MRAE): 0.131465
Epoch: 6,	Training loss (MRSE): 0.803295	,Validation loss (MRSE): 0.825702	,Training loss (MSE): 2.03668e+17	,Validation loss (MSE): 1.80312e+17	,Training accuracy (MAE): -8.70656e+07	,Validation accuracy (MAE): -1.05457e+08	,Training accuracy (MRAE): 0.129764	,Validation accuracy (MRAE): 0.115458
Epoch: 8,	Training loss (MRSE): 0.778047	,Validation loss (MRSE): 0.782171	,Training loss (MSE): 1.57229e+17	,Validation loss (MSE): 1.46983e+17	,Training accuracy (MAE): -7.17137e+07	,Validation accuracy (MAE): -5.53857e+07	,Training accuracy (MRAE): 0.147658	,Validation accuracy (MRAE): 0.146813
Epoch: 10,	Training loss (MRSE): 0.712315	,Validation loss (MRSE): 0.783314	,Training loss (MSE): 1.59869e+17	,Validation loss (MSE): 2.08427e+17	,Training accuracy (MAE): -8.57291e+07	,Validation accuracy (MAE): -1.02434e+08	,Training accuracy (MRAE): 0.194855	,Validation accuracy (MRAE): 0.139336
Epoch: 12,	Training loss (MRSE): 0.700787	,Validation loss (MRSE): 0.73275	,Training loss (MSE): 1.20819e+17	,Validation loss (MSE): 9.98399e+16	,Training accuracy (MAE): -6.25838e+07	,Validation accuracy (MAE): -5.84165e+07	,Training accuracy (MRAE): 0.202161	,Validation accuracy (MRAE): 0.181431
Epoch: 14,	Training loss (MRSE): 0.685172	,Validation loss (MRSE): 0.747796	,Training loss (MSE): 1.2943e+17	,Validation loss (MSE): 1.92744e+17	,Training accuracy (MAE): -7.09319e+07	,Validation accuracy (MAE): -9.63396e+07	,Training accuracy (MRAE): 0.216614	,Validation accuracy (MRAE): 0.167857
Epoch: 16,	Training loss (MRSE): 0.724615	,Validation loss (MRSE): 0.746682	,Training loss (MSE): 1.71579e+17	,Validation loss (MSE): 1.01546e+17	,Training accuracy (MAE): -7.055e+07	,Validation accuracy (MAE): -6.51721e+07	,Training accuracy (MRAE): 0.182672	,Validation accuracy (MRAE): 0.163646
Epoch: 18,	Training loss (MRSE): 0.665489	,Validation loss (MRSE): 0.751734	,Training loss (MSE): 1.01127e+17	,Validation loss (MSE): 5.46593e+16	,Training accuracy (MAE): -5.64124e+07	,Validation accuracy (MAE): -4.30149e+07	,Training accuracy (MRAE): 0.23179	,Validation accuracy (MRAE): 0.175829
Epoch: 20,	Training loss (MRSE): 0.73567	,Validation loss (MRSE): 0.766568	,Training loss (MSE): 1.27904e+17	,Validation loss (MSE): 6.0548e+16	,Training accuracy (MAE): -5.83174e+07	,Validation accuracy (MAE): -4.15505e+07	,Training accuracy (MRAE): 0.177437	,Validation accuracy (MRAE): 0.151783
