Epoch: 0:	Training loss (MRSE): 0.844606	,Validation loss (MRSE): 0.689537	,Training loss (MSE): 2.05332e+17	,Validation loss (MSE): 1.54106e+17	,Training accuracy (MAE): -6.74895e+07	,Validation accuracy (MAE): -1.02271e+08	,Training accuracy (MRAE): 0.0986551	,Validation accuracy (MRAE): 0.212741
Epoch: 1:	Training loss (MRSE): 0.845944	,Validation loss (MRSE): 0.749084	,Training loss (MSE): 1.92959e+17	,Validation loss (MSE): 1.15702e+17	,Training accuracy (MAE): -6.91764e+07	,Validation accuracy (MAE): -8.97266e+07	,Training accuracy (MRAE): 0.100243	,Validation accuracy (MRAE): 0.154811
Epoch: 2:	Training loss (MRSE): 0.842275	,Validation loss (MRSE): 0.729388	,Training loss (MSE): 1.41311e+17	,Validation loss (MSE): 1.85005e+17	,Training accuracy (MAE): -6.45238e+07	,Validation accuracy (MAE): -1.07744e+08	,Training accuracy (MRAE): 0.108704	,Validation accuracy (MRAE): 0.189038
Epoch: 3:	Training loss (MRSE): 0.868768	,Validation loss (MRSE): 0.769362	,Training loss (MSE): 1.15341e+17	,Validation loss (MSE): 2.26509e+17	,Training accuracy (MAE): -7.96637e+07	,Validation accuracy (MAE): -1.2179e+08	,Training accuracy (MRAE): 0.0909312	,Validation accuracy (MRAE): 0.162185
Epoch: 4:	Training loss (MRSE): 0.838819	,Validation loss (MRSE): 0.73831	,Training loss (MSE): 1.53208e+17	,Validation loss (MSE): 2.05286e+17	,Training accuracy (MAE): -6.79201e+07	,Validation accuracy (MAE): -1.12599e+08	,Training accuracy (MRAE): 0.109832	,Validation accuracy (MRAE): 0.193468
Epoch: 5:	Training loss (MRSE): 0.797089	,Validation loss (MRSE): 0.740908	,Training loss (MSE): 1.60244e+17	,Validation loss (MSE): 2.20611e+17	,Training accuracy (MAE): -6.38099e+07	,Validation accuracy (MAE): -1.1435e+08	,Training accuracy (MRAE): 0.147678	,Validation accuracy (MRAE): 0.169039
Epoch: 6:	Training loss (MRSE): 0.788233	,Validation loss (MRSE): 0.796892	,Training loss (MSE): 6.65839e+16	,Validation loss (MSE): 2.2411e+17	,Training accuracy (MAE): -4.84229e+07	,Validation accuracy (MAE): -1.14991e+08	,Training accuracy (MRAE): 0.147123	,Validation accuracy (MRAE): 0.121466
Epoch: 7:	Training loss (MRSE): 0.811177	,Validation loss (MRSE): 0.786498	,Training loss (MSE): 1.13425e+17	,Validation loss (MSE): 2.32437e+17	,Training accuracy (MAE): -5.24533e+07	,Validation accuracy (MAE): -1.16715e+08	,Training accuracy (MRAE): 0.134395	,Validation accuracy (MRAE): 0.132328
Epoch: 8:	Training loss (MRSE): 0.823992	,Validation loss (MRSE): 0.793274	,Training loss (MSE): 5.38703e+16	,Validation loss (MSE): 2.10859e+17	,Training accuracy (MAE): -4.96334e+07	,Validation accuracy (MAE): -1.13332e+08	,Training accuracy (MRAE): 0.121749	,Validation accuracy (MRAE): 0.127751
Epoch: 9:	Training loss (MRSE): 0.831949	,Validation loss (MRSE): 0.790858	,Training loss (MSE): 6.89234e+16	,Validation loss (MSE): 2.28696e+17	,Training accuracy (MAE): -4.9135e+07	,Validation accuracy (MAE): -1.16274e+08	,Training accuracy (MRAE): 0.115682	,Validation accuracy (MRAE): 0.131155
Epoch: 10:	Training loss (MRSE): 0.830256	,Validation loss (MRSE): 0.797708	,Training loss (MSE): 3.80757e+16	,Validation loss (MSE): 2.05528e+17	,Training accuracy (MAE): -5.48582e+07	,Validation accuracy (MAE): -1.12478e+08	,Training accuracy (MRAE): 0.120355	,Validation accuracy (MRAE): 0.125722
Epoch: 11:	Training loss (MRSE): 0.841533	,Validation loss (MRSE): 0.756066	,Training loss (MSE): 5.27152e+16	,Validation loss (MSE): 2.24481e+17	,Training accuracy (MAE): -5.45075e+07	,Validation accuracy (MAE): -1.15523e+08	,Training accuracy (MRAE): 0.109064	,Validation accuracy (MRAE): 0.167661
Epoch: 12:	Training loss (MRSE): 0.835519	,Validation loss (MRSE): 0.748236	,Training loss (MSE): 1.3538e+17	,Validation loss (MSE): 2.21944e+17	,Training accuracy (MAE): -6.31554e+07	,Validation accuracy (MAE): -1.13713e+08	,Training accuracy (MRAE): 0.107456	,Validation accuracy (MRAE): 0.168659
Epoch: 13:	Training loss (MRSE): 0.840026	,Validation loss (MRSE): 0.714903	,Training loss (MSE): 5.51629e+16	,Validation loss (MSE): 2.32111e+17	,Training accuracy (MAE): -6.68995e+07	,Validation accuracy (MAE): -1.1386e+08	,Training accuracy (MRAE): 0.10816	,Validation accuracy (MRAE): 0.217891
Epoch: 14:	Training loss (MRSE): 0.843746	,Validation loss (MRSE): 0.760904	,Training loss (MSE): 3.2941e+16	,Validation loss (MSE): 2.31492e+17	,Training accuracy (MAE): -5.03139e+07	,Validation accuracy (MAE): -1.15453e+08	,Training accuracy (MRAE): 0.108037	,Validation accuracy (MRAE): 0.151012
Epoch: 15:	Training loss (MRSE): 0.828085	,Validation loss (MRSE): 0.725089	,Training loss (MSE): 1.25921e+16	,Validation loss (MSE): 2.34514e+17	,Training accuracy (MAE): -3.11527e+07	,Validation accuracy (MAE): -1.15327e+08	,Training accuracy (MRAE): 0.123911	,Validation accuracy (MRAE): 0.198728
Epoch: 16:	Training loss (MRSE): 0.834553	,Validation loss (MRSE): 0.729355	,Training loss (MSE): 4.12422e+15	,Validation loss (MSE): 2.27947e+17	,Training accuracy (MAE): -2.60349e+07	,Validation accuracy (MAE): -1.1408e+08	,Training accuracy (MRAE): 0.12183	,Validation accuracy (MRAE): 0.191365
Epoch: 17:	Training loss (MRSE): 0.828919	,Validation loss (MRSE): 0.738389	,Training loss (MSE): 1.66979e+15	,Validation loss (MSE): 2.36218e+17	,Training accuracy (MAE): -1.62939e+07	,Validation accuracy (MAE): -1.16024e+08	,Training accuracy (MRAE): 0.125963	,Validation accuracy (MRAE): 0.186493
