Epoch: 0:	Training loss (MRSE): 0.754669	,Validation loss (MRSE): 0.786228	,Training loss (MSE): 1.36124e+17	,Validation loss (MSE): 1.16834e+17	,Training accuracy (MAE): -6.68292e+07	,Validation accuracy (MAE): -1.09094e+08	,Training accuracy (MRAE): 0.170468	,Validation accuracy (MRAE): 0.151815
Epoch: 1:	Training loss (MRSE): 0.789731	,Validation loss (MRSE): 0.788894	,Training loss (MSE): 1.44435e+17	,Validation loss (MSE): 6.80333e+16	,Training accuracy (MAE): -7.4922e+07	,Validation accuracy (MAE): -8.05392e+07	,Training accuracy (MRAE): 0.146737	,Validation accuracy (MRAE): 0.148364
Epoch: 2:	Training loss (MRSE): 0.814567	,Validation loss (MRSE): 0.856317	,Training loss (MSE): 9.18843e+16	,Validation loss (MSE): 4.43844e+16	,Training accuracy (MAE): -8.71016e+07	,Validation accuracy (MAE): -1.03791e+08	,Training accuracy (MRAE): 0.138606	,Validation accuracy (MRAE): 0.0988005
Epoch: 3:	Training loss (MRSE): 0.813777	,Validation loss (MRSE): 0.884436	,Training loss (MSE): 1.9572e+17	,Validation loss (MSE): 1.70576e+17	,Training accuracy (MAE): -9.70097e+07	,Validation accuracy (MAE): -1.90715e+08	,Training accuracy (MRAE): 0.125022	,Validation accuracy (MRAE): 0.071533
Epoch: 4:	Training loss (MRSE): 0.799795	,Validation loss (MRSE): 0.856144	,Training loss (MSE): 1.32177e+17	,Validation loss (MSE): 1.23531e+17	,Training accuracy (MAE): -8.99962e+07	,Validation accuracy (MAE): -1.65228e+08	,Training accuracy (MRAE): 0.147055	,Validation accuracy (MRAE): 0.0959631
Epoch: 5:	Training loss (MRSE): 0.819818	,Validation loss (MRSE): 0.869978	,Training loss (MSE): 4.98639e+16	,Validation loss (MSE): 2.40789e+17	,Training accuracy (MAE): -6.14326e+07	,Validation accuracy (MAE): -1.86888e+08	,Training accuracy (MRAE): 0.131159	,Validation accuracy (MRAE): 0.0909646
Epoch: 6:	Training loss (MRSE): 0.799308	,Validation loss (MRSE): 0.882867	,Training loss (MSE): 3.36495e+16	,Validation loss (MSE): 3.07232e+17	,Training accuracy (MAE): -6.34156e+07	,Validation accuracy (MAE): -2.39219e+08	,Training accuracy (MRAE): 0.139328	,Validation accuracy (MRAE): 0.0794602
Epoch: 7:	Training loss (MRSE): 0.815592	,Validation loss (MRSE): 0.895417	,Training loss (MSE): 1.10703e+16	,Validation loss (MSE): 3.02913e+17	,Training accuracy (MAE): -4.35477e+07	,Validation accuracy (MAE): -2.45315e+08	,Training accuracy (MRAE): 0.128758	,Validation accuracy (MRAE): 0.061874
Epoch: 8:	Training loss (MRSE): 0.805219	,Validation loss (MRSE): 0.858365	,Training loss (MSE): 2.60536e+15	,Validation loss (MSE): 3.92628e+17	,Training accuracy (MAE): -2.4591e+07	,Validation accuracy (MAE): -2.66928e+08	,Training accuracy (MRAE): 0.133101	,Validation accuracy (MRAE): 0.0958953
Epoch: 9:	Training loss (MRSE): 0.769391	,Validation loss (MRSE): 0.827159	,Training loss (MSE): 8.02943e+14	,Validation loss (MSE): 2.5042e+17	,Training accuracy (MAE): -1.27357e+07	,Validation accuracy (MAE): -1.79702e+08	,Training accuracy (MRAE): 0.168637	,Validation accuracy (MRAE): 0.120322
Epoch: 10:	Training loss (MRSE): 0.752591	,Validation loss (MRSE): 0.815097	,Training loss (MSE): 1.29276e+15	,Validation loss (MSE): 2.36113e+17	,Training accuracy (MAE): -1.25874e+07	,Validation accuracy (MAE): -1.60696e+08	,Training accuracy (MRAE): 0.174874	,Validation accuracy (MRAE): 0.120432
Epoch: 11:	Training loss (MRSE): 0.747208	,Validation loss (MRSE): 0.804765	,Training loss (MSE): 7.37478e+14	,Validation loss (MSE): 2.21025e+17	,Training accuracy (MAE): -1.02323e+07	,Validation accuracy (MAE): -1.45397e+08	,Training accuracy (MRAE): 0.178436	,Validation accuracy (MRAE): 0.127589
