Epoch: 0,	Training loss (MRSE): 0.818481	,Validation loss (MRSE): 0.843887	,Training loss (MSE): 2.87258e+17	,Validation loss (MSE): 1.50742e+14	,Training accuracy (MAE): -1.02605e+08	,Validation accuracy (MAE): -8.28723e+06	,Training accuracy (MRAE): 0.128242	,Validation accuracy (MRAE): 0.105946
Epoch: 1,	Training loss (MRSE): 0.772937	,Validation loss (MRSE): 0.729729	,Training loss (MSE): 2.81085e+17	,Validation loss (MSE): 1.53068e+14	,Training accuracy (MAE): -1.0314e+08	,Validation accuracy (MAE): -7.8899e+06	,Training accuracy (MRAE): 0.148884	,Validation accuracy (MRAE): 0.172047
Epoch: 2,	Training loss (MRSE): 0.81222	,Validation loss (MRSE): 0.788732	,Training loss (MSE): 2.76381e+17	,Validation loss (MSE): 2.38924e+14	,Training accuracy (MAE): -1.00399e+08	,Validation accuracy (MAE): -8.31235e+06	,Training accuracy (MRAE): 0.130931	,Validation accuracy (MRAE): 0.145962
Epoch: 3,	Training loss (MRSE): 0.806192	,Validation loss (MRSE): 0.685798	,Training loss (MSE): 2.86131e+17	,Validation loss (MSE): 4.28682e+13	,Training accuracy (MAE): -1.01251e+08	,Validation accuracy (MAE): -3.14236e+06	,Training accuracy (MRAE): 0.127451	,Validation accuracy (MRAE): 0.234184
Epoch: 4,	Training loss (MRSE): 0.795159	,Validation loss (MRSE): 0.726788	,Training loss (MSE): 2.44058e+17	,Validation loss (MSE): 7.80874e+13	,Training accuracy (MAE): -9.74347e+07	,Validation accuracy (MAE): -5.09248e+06	,Training accuracy (MRAE): 0.141119	,Validation accuracy (MRAE): 0.179692
Epoch: 5,	Training loss (MRSE): 0.818755	,Validation loss (MRSE): 0.757532	,Training loss (MSE): 1.28518e+17	,Validation loss (MSE): 3.21395e+14	,Training accuracy (MAE): -8.23351e+07	,Validation accuracy (MAE): -8.92427e+06	,Training accuracy (MRAE): 0.116034	,Validation accuracy (MRAE): 0.178211
Epoch: 6,	Training loss (MRSE): 0.849649	,Validation loss (MRSE): 0.772214	,Training loss (MSE): 2.20234e+17	,Validation loss (MSE): 2.46579e+14	,Training accuracy (MAE): -9.7229e+07	,Validation accuracy (MAE): -8.00466e+06	,Training accuracy (MRAE): 0.0910079	,Validation accuracy (MRAE): 0.160978
Epoch: 7,	Training loss (MRSE): 0.859304	,Validation loss (MRSE): 0.840953	,Training loss (MSE): 1.94544e+17	,Validation loss (MSE): 5.43066e+14	,Training accuracy (MAE): -9.62034e+07	,Validation accuracy (MAE): -1.23329e+07	,Training accuracy (MRAE): 0.0847113	,Validation accuracy (MRAE): 0.0959297
Epoch: 8,	Training loss (MRSE): 0.824421	,Validation loss (MRSE): 0.842739	,Training loss (MSE): 1.862e+17	,Validation loss (MSE): 4.15626e+15	,Training accuracy (MAE): -1.00529e+08	,Validation accuracy (MAE): -2.83354e+07	,Training accuracy (MRAE): 0.121359	,Validation accuracy (MRAE): 0.104779
Epoch: 9,	Training loss (MRSE): 0.843883	,Validation loss (MRSE): 0.825809	,Training loss (MSE): 2.05893e+17	,Validation loss (MSE): 1.04844e+15	,Training accuracy (MAE): -9.23862e+07	,Validation accuracy (MAE): -1.47384e+07	,Training accuracy (MRAE): 0.10237	,Validation accuracy (MRAE): 0.110006
Epoch: 10,	Training loss (MRSE): 0.833789	,Validation loss (MRSE): 0.843121	,Training loss (MSE): 1.44401e+17	,Validation loss (MSE): 2.99167e+15	,Training accuracy (MAE): -8.69604e+07	,Validation accuracy (MAE): -2.13075e+07	,Training accuracy (MRAE): 0.107897	,Validation accuracy (MRAE): 0.108599
