Epoch: 0:	Training loss (MRSE): 0.580924	,Validation loss (MRSE): 0.595798	,Training loss (MSE): 6.79544e+13	,Validation loss (MSE): 1.72657e+13	,Training accuracy (MAE): -2.56333e+06	,Validation accuracy (MAE): -1.61404e+06	,Training accuracy (MRAE): 0.343219	,Validation accuracy (MRAE): 0.321361
Epoch: 1:	Training loss (MRSE): 0.579144	,Validation loss (MRSE): 0.591059	,Training loss (MSE): 8.08888e+13	,Validation loss (MSE): 1.69373e+13	,Training accuracy (MAE): -2.42707e+06	,Validation accuracy (MAE): -1.46002e+06	,Training accuracy (MRAE): 0.342645	,Validation accuracy (MRAE): 0.328775
Epoch: 2:	Training loss (MRSE): 0.582497	,Validation loss (MRSE): 0.596691	,Training loss (MSE): 8.99202e+13	,Validation loss (MSE): 1.71353e+13	,Training accuracy (MAE): -2.81415e+06	,Validation accuracy (MAE): -1.59394e+06	,Training accuracy (MRAE): 0.340008	,Validation accuracy (MRAE): 0.316978
Epoch: 3:	Training loss (MRSE): 0.580546	,Validation loss (MRSE): 0.592917	,Training loss (MSE): 9.33154e+13	,Validation loss (MSE): 1.70991e+13	,Training accuracy (MAE): -2.52833e+06	,Validation accuracy (MAE): -1.57911e+06	,Training accuracy (MRAE): 0.342933	,Validation accuracy (MRAE): 0.318104
Epoch: 4:	Training loss (MRSE): 0.585707	,Validation loss (MRSE): 0.602006	,Training loss (MSE): 1.32676e+14	,Validation loss (MSE): 1.76472e+13	,Training accuracy (MAE): -3.21604e+06	,Validation accuracy (MAE): -1.71688e+06	,Training accuracy (MRAE): 0.335139	,Validation accuracy (MRAE): 0.304681
Epoch: 5:	Training loss (MRSE): 0.582155	,Validation loss (MRSE): 0.59979	,Training loss (MSE): 1.1519e+14	,Validation loss (MSE): 1.80235e+13	,Training accuracy (MAE): -2.70198e+06	,Validation accuracy (MAE): -1.73455e+06	,Training accuracy (MRAE): 0.339056	,Validation accuracy (MRAE): 0.304508
Epoch: 6:	Training loss (MRSE): 0.587662	,Validation loss (MRSE): 0.610926	,Training loss (MSE): 1.70262e+14	,Validation loss (MSE): 1.91788e+13	,Training accuracy (MAE): -3.5359e+06	,Validation accuracy (MAE): -1.88536e+06	,Training accuracy (MRAE): 0.330466	,Validation accuracy (MRAE): 0.290988
Epoch: 7:	Training loss (MRSE): 0.582028	,Validation loss (MRSE): 0.606553	,Training loss (MSE): 1.45483e+14	,Validation loss (MSE): 1.97999e+13	,Training accuracy (MAE): -2.88922e+06	,Validation accuracy (MAE): -2.01707e+06	,Training accuracy (MRAE): 0.337348	,Validation accuracy (MRAE): 0.291065
Epoch: 8:	Training loss (MRSE): 0.588136	,Validation loss (MRSE): 0.618777	,Training loss (MSE): 1.83092e+14	,Validation loss (MSE): 2.04794e+13	,Training accuracy (MAE): -3.68118e+06	,Validation accuracy (MAE): -2.05601e+06	,Training accuracy (MRAE): 0.327681	,Validation accuracy (MRAE): 0.278846
Epoch: 9:	Training loss (MRSE): 0.581928	,Validation loss (MRSE): 0.613134	,Training loss (MSE): 1.62791e+14	,Validation loss (MSE): 2.27119e+13	,Training accuracy (MAE): -3.41501e+06	,Validation accuracy (MAE): -2.27548e+06	,Training accuracy (MRAE): 0.335866	,Validation accuracy (MRAE): 0.279509
Epoch: 10:	Training loss (MRSE): 0.5887	,Validation loss (MRSE): 0.625518	,Training loss (MSE): 8.48811e+13	,Validation loss (MSE): 2.23152e+13	,Training accuracy (MAE): -3.04801e+06	,Validation accuracy (MAE): -2.27348e+06	,Training accuracy (MRAE): 0.327193	,Validation accuracy (MRAE): 0.268737
Epoch: 11:	Training loss (MRSE): 0.584764	,Validation loss (MRSE): 0.622765	,Training loss (MSE): 6.55905e+13	,Validation loss (MSE): 2.46157e+13	,Training accuracy (MAE): -2.72938e+06	,Validation accuracy (MAE): -2.39058e+06	,Training accuracy (MRAE): 0.332238	,Validation accuracy (MRAE): 0.269302
Epoch: 12:	Training loss (MRSE): 0.586224	,Validation loss (MRSE): 0.628792	,Training loss (MSE): 1.9751e+14	,Validation loss (MSE): 2.36705e+13	,Training accuracy (MAE): -3.7986e+06	,Validation accuracy (MAE): -2.31619e+06	,Training accuracy (MRAE): 0.326433	,Validation accuracy (MRAE): 0.266264
Epoch: 13:	Training loss (MRSE): 0.580318	,Validation loss (MRSE): 0.622949	,Training loss (MSE): 2.84943e+14	,Validation loss (MSE): 2.72862e+13	,Training accuracy (MAE): -4.40052e+06	,Validation accuracy (MAE): -2.4086e+06	,Training accuracy (MRAE): 0.335457	,Validation accuracy (MRAE): 0.27063
Epoch: 14:	Training loss (MRSE): 0.584632	,Validation loss (MRSE): 0.632017	,Training loss (MSE): 1.10619e+14	,Validation loss (MSE): 2.71082e+13	,Training accuracy (MAE): -3.23525e+06	,Validation accuracy (MAE): -2.55188e+06	,Training accuracy (MRAE): 0.329072	,Validation accuracy (MRAE): 0.258381
Epoch: 15:	Training loss (MRSE): 0.58697	,Validation loss (MRSE): 0.641787	,Training loss (MSE): 3.15045e+14	,Validation loss (MSE): 2.62776e+13	,Training accuracy (MAE): -4.38334e+06	,Validation accuracy (MAE): -2.54468e+06	,Training accuracy (MRAE): 0.320768	,Validation accuracy (MRAE): 0.252528
Epoch: 16:	Training loss (MRSE): 0.577567	,Validation loss (MRSE): 0.631748	,Training loss (MSE): 6.788e+14	,Validation loss (MSE): 3.15772e+13	,Training accuracy (MAE): -5.40747e+06	,Validation accuracy (MAE): -2.68461e+06	,Training accuracy (MRAE): 0.33431	,Validation accuracy (MRAE): 0.258286
Epoch: 17:	Training loss (MRSE): 0.588882	,Validation loss (MRSE): 0.650841	,Training loss (MSE): 6.66575e+14	,Validation loss (MSE): 2.32474e+13	,Training accuracy (MAE): -5.67989e+06	,Validation accuracy (MAE): -2.3839e+06	,Training accuracy (MRAE): 0.316531	,Validation accuracy (MRAE): 0.247653
Epoch: 18:	Training loss (MRSE): 0.575532	,Validation loss (MRSE): 0.634398	,Training loss (MSE): 8.69874e+14	,Validation loss (MSE): 2.79523e+13	,Training accuracy (MAE): -6.14028e+06	,Validation accuracy (MAE): -2.52216e+06	,Training accuracy (MRAE): 0.337615	,Validation accuracy (MRAE): 0.258062
Epoch: 19:	Training loss (MRSE): 0.589711	,Validation loss (MRSE): 0.654492	,Training loss (MSE): 5.26205e+14	,Validation loss (MSE): 2.08123e+13	,Training accuracy (MAE): -5.26681e+06	,Validation accuracy (MAE): -2.22556e+06	,Training accuracy (MRAE): 0.317003	,Validation accuracy (MRAE): 0.246411
Epoch: 20:	Training loss (MRSE): 0.577495	,Validation loss (MRSE): 0.640511	,Training loss (MSE): 6.1769e+14	,Validation loss (MSE): 2.63255e+13	,Training accuracy (MAE): -5.34482e+06	,Validation accuracy (MAE): -2.43775e+06	,Training accuracy (MRAE): 0.335497	,Validation accuracy (MRAE): 0.255196
