Epoch: 0:	Training loss (MRSE): 0.860471	,Validation loss (MRSE): 0.890953	,Training loss (MSE): 5.92893e+16	,Validation loss (MSE): 6.01703e+15	,Training accuracy (MAE): -7.45114e+07	,Validation accuracy (MAE): -5.76187e+07	,Training accuracy (MRAE): 0.0945211	,Validation accuracy (MRAE): 0.0756829
Epoch: 1:	Training loss (MRSE): 0.866521	,Validation loss (MRSE): 0.894225	,Training loss (MSE): 1.04512e+17	,Validation loss (MSE): 1.87541e+16	,Training accuracy (MAE): -9.61766e+07	,Validation accuracy (MAE): -6.73312e+07	,Training accuracy (MRAE): 0.0855655	,Validation accuracy (MRAE): 0.0702561
Epoch: 2:	Training loss (MRSE): 0.876473	,Validation loss (MRSE): 0.899376	,Training loss (MSE): 1.17066e+17	,Validation loss (MSE): 2.13131e+16	,Training accuracy (MAE): -1.05716e+08	,Validation accuracy (MAE): -7.40849e+07	,Training accuracy (MRAE): 0.0783077	,Validation accuracy (MRAE): 0.0659876
Epoch: 3:	Training loss (MRSE): 0.889936	,Validation loss (MRSE): 0.909505	,Training loss (MSE): 8.23345e+16	,Validation loss (MSE): 1.24875e+16	,Training accuracy (MAE): -1.11027e+08	,Validation accuracy (MAE): -8.64191e+07	,Training accuracy (MRAE): 0.0689067	,Validation accuracy (MRAE): 0.0602798
Epoch: 4:	Training loss (MRSE): 0.896429	,Validation loss (MRSE): 0.913508	,Training loss (MSE): 9.49313e+16	,Validation loss (MSE): 1.85307e+16	,Training accuracy (MAE): -1.21502e+08	,Validation accuracy (MAE): -9.49511e+07	,Training accuracy (MRAE): 0.0640243	,Validation accuracy (MRAE): 0.0574013
Epoch: 5:	Training loss (MRSE): 0.864069	,Validation loss (MRSE): 0.892534	,Training loss (MSE): 1.49557e+17	,Validation loss (MSE): 3.73623e+16	,Training accuracy (MAE): -1.01105e+08	,Validation accuracy (MAE): -6.52902e+07	,Training accuracy (MRAE): 0.0884477	,Validation accuracy (MRAE): 0.0725139
Epoch: 6:	Training loss (MRSE): 0.835485	,Validation loss (MRSE): 0.874194	,Training loss (MSE): 1.05031e+17	,Validation loss (MSE): 1.8374e+16	,Training accuracy (MAE): -8.00397e+07	,Validation accuracy (MAE): -5.17419e+07	,Training accuracy (MRAE): 0.108637	,Validation accuracy (MRAE): 0.0841656
Epoch: 7:	Training loss (MRSE): 0.835244	,Validation loss (MRSE): 0.872085	,Training loss (MSE): 8.57867e+16	,Validation loss (MSE): 8.58921e+15	,Training accuracy (MAE): -7.53806e+07	,Validation accuracy (MAE): -5.00122e+07	,Training accuracy (MRAE): 0.108995	,Validation accuracy (MRAE): 0.0860321
Epoch: 8:	Training loss (MRSE): 0.821162	,Validation loss (MRSE): 0.863784	,Training loss (MSE): 1.60768e+17	,Validation loss (MSE): 4.25923e+16	,Training accuracy (MAE): -9.16564e+07	,Validation accuracy (MAE): -5.90307e+07	,Training accuracy (MRAE): 0.126163	,Validation accuracy (MRAE): 0.0927637
Epoch: 9:	Training loss (MRSE): 0.836806	,Validation loss (MRSE): 0.87161	,Training loss (MSE): 1.49852e+17	,Validation loss (MSE): 3.8955e+16	,Training accuracy (MAE): -9.57764e+07	,Validation accuracy (MAE): -6.42103e+07	,Training accuracy (MRAE): 0.1092	,Validation accuracy (MRAE): 0.0879833
Epoch: 10:	Training loss (MRSE): 0.823128	,Validation loss (MRSE): 0.86433	,Training loss (MSE): 1.51329e+17	,Validation loss (MSE): 3.97324e+16	,Training accuracy (MAE): -8.82239e+07	,Validation accuracy (MAE): -5.65563e+07	,Training accuracy (MRAE): 0.122253	,Validation accuracy (MRAE): 0.0941324
Epoch: 11:	Training loss (MRSE): 0.85129	,Validation loss (MRSE): 0.878676	,Training loss (MSE): 1.45968e+17	,Validation loss (MSE): 3.8832e+16	,Training accuracy (MAE): -1.05568e+08	,Validation accuracy (MAE): -7.57595e+07	,Training accuracy (MRAE): 0.100385	,Validation accuracy (MRAE): 0.0840154
Epoch: 12:	Training loss (MRSE): 0.820892	,Validation loss (MRSE): 0.863548	,Training loss (MSE): 1.52884e+17	,Validation loss (MSE): 4.01361e+16	,Training accuracy (MAE): -8.94383e+07	,Validation accuracy (MAE): -5.72506e+07	,Training accuracy (MRAE): 0.125962	,Validation accuracy (MRAE): 0.0937919
Epoch: 13:	Training loss (MRSE): 0.827205	,Validation loss (MRSE): 0.86783	,Training loss (MSE): 1.58559e+17	,Validation loss (MSE): 4.16543e+16	,Training accuracy (MAE): -9.56393e+07	,Validation accuracy (MAE): -6.30091e+07	,Training accuracy (MRAE): 0.12006	,Validation accuracy (MRAE): 0.0918843
Epoch: 14:	Training loss (MRSE): 0.860444	,Validation loss (MRSE): 0.885249	,Training loss (MSE): 1.59294e+17	,Validation loss (MSE): 4.10095e+16	,Training accuracy (MAE): -1.12192e+08	,Validation accuracy (MAE): -7.9429e+07	,Training accuracy (MRAE): 0.093794	,Validation accuracy (MRAE): 0.0793886
Epoch: 15:	Training loss (MRSE): 0.842415	,Validation loss (MRSE): 0.875246	,Training loss (MSE): 1.41608e+17	,Validation loss (MSE): 3.34398e+16	,Training accuracy (MAE): -9.64457e+07	,Validation accuracy (MAE): -6.48578e+07	,Training accuracy (MRAE): 0.104423	,Validation accuracy (MRAE): 0.0859386
Epoch: 16:	Training loss (MRSE): 0.839668	,Validation loss (MRSE): 0.875375	,Training loss (MSE): 1.32653e+17	,Validation loss (MSE): 3.06415e+16	,Training accuracy (MAE): -9.18738e+07	,Validation accuracy (MAE): -6.23216e+07	,Training accuracy (MRAE): 0.106108	,Validation accuracy (MRAE): 0.0838523
Epoch: 17:	Training loss (MRSE): 0.829855	,Validation loss (MRSE): 0.872346	,Training loss (MSE): 9.27204e+16	,Validation loss (MSE): 1.55922e+16	,Training accuracy (MAE): -7.41211e+07	,Validation accuracy (MAE): -4.96958e+07	,Training accuracy (MRAE): 0.113302	,Validation accuracy (MRAE): 0.0848513
Epoch: 18:	Training loss (MRSE): 0.842966	,Validation loss (MRSE): 0.880892	,Training loss (MSE): 8.77121e+16	,Validation loss (MSE): 1.50938e+16	,Training accuracy (MAE): -8.01324e+07	,Validation accuracy (MAE): -5.79649e+07	,Training accuracy (MRAE): 0.102726	,Validation accuracy (MRAE): 0.0788126
Epoch: 19:	Training loss (MRSE): 0.847319	,Validation loss (MRSE): 0.883803	,Training loss (MSE): 7.57306e+16	,Validation loss (MSE): 1.08271e+16	,Training accuracy (MAE): -7.83734e+07	,Validation accuracy (MAE): -5.87264e+07	,Training accuracy (MRAE): 0.100886	,Validation accuracy (MRAE): 0.0784422
Epoch: 20:	Training loss (MRSE): 0.857113	,Validation loss (MRSE): 0.889132	,Training loss (MSE): 9.39589e+16	,Validation loss (MSE): 1.299e+16	,Training accuracy (MAE): -8.77366e+07	,Validation accuracy (MAE): -6.05402e+07	,Training accuracy (MRAE): 0.0925278	,Validation accuracy (MRAE): 0.0753699
Epoch: 21:	Training loss (MRSE): 0.873335	,Validation loss (MRSE): 0.89669	,Training loss (MSE): 1.18003e+17	,Validation loss (MSE): 2.03079e+16	,Training accuracy (MAE): -1.06274e+08	,Validation accuracy (MAE): -7.5716e+07	,Training accuracy (MRAE): 0.0804539	,Validation accuracy (MRAE): 0.0680257
Epoch: 22:	Training loss (MRSE): 0.870242	,Validation loss (MRSE): 0.894615	,Training loss (MSE): 1.22047e+17	,Validation loss (MSE): 1.7373e+16	,Training accuracy (MAE): -1.03064e+08	,Validation accuracy (MAE): -6.85928e+07	,Training accuracy (MRAE): 0.0828581	,Validation accuracy (MRAE): 0.0703279
Epoch: 23:	Training loss (MRSE): 0.874485	,Validation loss (MRSE): 0.897256	,Training loss (MSE): 1.16178e+17	,Validation loss (MSE): 1.35683e+16	,Training accuracy (MAE): -1.04234e+08	,Validation accuracy (MAE): -7.11902e+07	,Training accuracy (MRAE): 0.0799863	,Validation accuracy (MRAE): 0.0681559
Epoch: 24:	Training loss (MRSE): 0.882627	,Validation loss (MRSE): 0.904259	,Training loss (MSE): 1.05885e+17	,Validation loss (MSE): 2.08675e+16	,Training accuracy (MAE): -1.1025e+08	,Validation accuracy (MAE): -8.30728e+07	,Training accuracy (MRAE): 0.0742622	,Validation accuracy (MRAE): 0.0622393
Epoch: 25:	Training loss (MRSE): 0.880168	,Validation loss (MRSE): 0.902012	,Training loss (MSE): 1.06546e+17	,Validation loss (MSE): 1.85751e+16	,Training accuracy (MAE): -1.08463e+08	,Validation accuracy (MAE): -7.96101e+07	,Training accuracy (MRAE): 0.0756545	,Validation accuracy (MRAE): 0.0641049
Epoch: 26:	Training loss (MRSE): 0.883987	,Validation loss (MRSE): 0.904388	,Training loss (MSE): 1.1673e+17	,Validation loss (MSE): 2.42222e+16	,Training accuracy (MAE): -1.14118e+08	,Validation accuracy (MAE): -8.5387e+07	,Training accuracy (MRAE): 0.0731788	,Validation accuracy (MRAE): 0.0620271
Epoch: 27:	Training loss (MRSE): 0.888473	,Validation loss (MRSE): 0.907215	,Training loss (MSE): 1.303e+17	,Validation loss (MSE): 2.96451e+16	,Training accuracy (MAE): -1.19151e+08	,Validation accuracy (MAE): -8.8645e+07	,Training accuracy (MRAE): 0.070229	,Validation accuracy (MRAE): 0.0600903
Epoch: 28:	Training loss (MRSE): 0.890664	,Validation loss (MRSE): 0.908973	,Training loss (MSE): 1.20914e+17	,Validation loss (MSE): 2.7268e+16	,Training accuracy (MAE): -1.20229e+08	,Validation accuracy (MAE): -9.04026e+07	,Training accuracy (MRAE): 0.068395	,Validation accuracy (MRAE): 0.0589796
Epoch: 29:	Training loss (MRSE): 0.883526	,Validation loss (MRSE): 0.905299	,Training loss (MSE): 1.02019e+17	,Validation loss (MSE): 2.21236e+16	,Training accuracy (MAE): -1.093e+08	,Validation accuracy (MAE): -8.41139e+07	,Training accuracy (MRAE): 0.0740703	,Validation accuracy (MRAE): 0.0619092
Epoch: 30:	Training loss (MRSE): 0.886654	,Validation loss (MRSE): 0.907241	,Training loss (MSE): 9.49411e+16	,Validation loss (MSE): 2.34945e+16	,Training accuracy (MAE): -1.13134e+08	,Validation accuracy (MAE): -9.10332e+07	,Training accuracy (MRAE): 0.0722589	,Validation accuracy (MRAE): 0.0608034
Epoch: 31:	Training loss (MRSE): 0.884012	,Validation loss (MRSE): 0.906237	,Training loss (MSE): 6.88325e+16	,Validation loss (MSE): 1.14073e+16	,Training accuracy (MAE): -9.7877e+07	,Validation accuracy (MAE): -8.08178e+07	,Training accuracy (MRAE): 0.0758821	,Validation accuracy (MRAE): 0.0628825
Epoch: 32:	Training loss (MRSE): 0.898069	,Validation loss (MRSE): 0.915503	,Training loss (MSE): 8.41531e+16	,Validation loss (MSE): 1.80372e+16	,Training accuracy (MAE): -1.23696e+08	,Validation accuracy (MAE): -1.01728e+08	,Training accuracy (MRAE): 0.0641169	,Validation accuracy (MRAE): 0.0570012
Epoch: 33:	Training loss (MRSE): 0.89935	,Validation loss (MRSE): 0.916153	,Training loss (MSE): 8.25472e+16	,Validation loss (MSE): 1.84077e+16	,Training accuracy (MAE): -1.24192e+08	,Validation accuracy (MAE): -1.03195e+08	,Training accuracy (MRAE): 0.0633789	,Validation accuracy (MRAE): 0.056999
Epoch: 34:	Training loss (MRSE): 0.898485	,Validation loss (MRSE): 0.915654	,Training loss (MSE): 7.43333e+16	,Validation loss (MSE): 1.61685e+16	,Training accuracy (MAE): -1.19636e+08	,Validation accuracy (MAE): -1.02694e+08	,Training accuracy (MRAE): 0.0652337	,Validation accuracy (MRAE): 0.0578154
Epoch: 35:	Training loss (MRSE): 0.902397	,Validation loss (MRSE): 0.918645	,Training loss (MSE): 7.2681e+16	,Validation loss (MSE): 1.6331e+16	,Training accuracy (MAE): -1.24391e+08	,Validation accuracy (MAE): -1.08225e+08	,Training accuracy (MRAE): 0.0631243	,Validation accuracy (MRAE): 0.0564267
Epoch: 36:	Training loss (MRSE): 0.902861	,Validation loss (MRSE): 0.919038	,Training loss (MSE): 7.83798e+16	,Validation loss (MSE): 1.8534e+16	,Training accuracy (MAE): -1.27481e+08	,Validation accuracy (MAE): -1.08853e+08	,Training accuracy (MRAE): 0.0619271	,Validation accuracy (MRAE): 0.055757
Epoch: 37:	Training loss (MRSE): 0.900725	,Validation loss (MRSE): 0.917514	,Training loss (MSE): 7.4073e+16	,Validation loss (MSE): 1.73784e+16	,Training accuracy (MAE): -1.21784e+08	,Validation accuracy (MAE): -1.05331e+08	,Training accuracy (MRAE): 0.0639168	,Validation accuracy (MRAE): 0.057021
Epoch: 38:	Training loss (MRSE): 0.898413	,Validation loss (MRSE): 0.916012	,Training loss (MSE): 6.59337e+16	,Validation loss (MSE): 1.18734e+16	,Training accuracy (MAE): -1.15543e+08	,Validation accuracy (MAE): -9.77061e+07	,Training accuracy (MRAE): 0.0662478	,Validation accuracy (MRAE): 0.0592611
Epoch: 39:	Training loss (MRSE): 0.899953	,Validation loss (MRSE): 0.917066	,Training loss (MSE): 6.59747e+16	,Validation loss (MSE): 1.20396e+16	,Training accuracy (MAE): -1.18422e+08	,Validation accuracy (MAE): -9.93073e+07	,Training accuracy (MRAE): 0.0651306	,Validation accuracy (MRAE): 0.0592177
Epoch: 40:	Training loss (MRSE): 0.900175	,Validation loss (MRSE): 0.917056	,Training loss (MSE): 6.68988e+16	,Validation loss (MSE): 1.20177e+16	,Training accuracy (MAE): -1.19029e+08	,Validation accuracy (MAE): -9.90321e+07	,Training accuracy (MRAE): 0.0648286	,Validation accuracy (MRAE): 0.0592948
Epoch: 41:	Training loss (MRSE): 0.902406	,Validation loss (MRSE): 0.918496	,Training loss (MSE): 6.96206e+16	,Validation loss (MSE): 1.28307e+16	,Training accuracy (MAE): -1.23959e+08	,Validation accuracy (MAE): -1.03231e+08	,Training accuracy (MRAE): 0.0630747	,Validation accuracy (MRAE): 0.0580628
Epoch: 42:	Training loss (MRSE): 0.905876	,Validation loss (MRSE): 0.921466	,Training loss (MSE): 7.29536e+16	,Validation loss (MSE): 1.57385e+16	,Training accuracy (MAE): -1.31575e+08	,Validation accuracy (MAE): -1.131e+08	,Training accuracy (MRAE): 0.060791	,Validation accuracy (MRAE): 0.0543578
Epoch: 43:	Training loss (MRSE): 0.904754	,Validation loss (MRSE): 0.919968	,Training loss (MSE): 7.81805e+16	,Validation loss (MSE): 1.54277e+16	,Training accuracy (MAE): -1.31342e+08	,Validation accuracy (MAE): -1.09773e+08	,Training accuracy (MRAE): 0.0605431	,Validation accuracy (MRAE): 0.0557652
Epoch: 44:	Training loss (MRSE): 0.904719	,Validation loss (MRSE): 0.920762	,Training loss (MSE): 6.72164e+16	,Validation loss (MSE): 1.40466e+16	,Training accuracy (MAE): -1.25957e+08	,Validation accuracy (MAE): -1.09076e+08	,Training accuracy (MRAE): 0.0626728	,Validation accuracy (MRAE): 0.0558238
Epoch: 45:	Training loss (MRSE): 0.906104	,Validation loss (MRSE): 0.920821	,Training loss (MSE): 8.98296e+16	,Validation loss (MSE): 1.90536e+16	,Training accuracy (MAE): -1.36677e+08	,Validation accuracy (MAE): -1.11883e+08	,Training accuracy (MRAE): 0.0585105	,Validation accuracy (MRAE): 0.0543929
Epoch: 46:	Training loss (MRSE): 0.908186	,Validation loss (MRSE): 0.923201	,Training loss (MSE): 7.26244e+16	,Validation loss (MSE): 1.64605e+16	,Training accuracy (MAE): -1.36098e+08	,Validation accuracy (MAE): -1.18264e+08	,Training accuracy (MRAE): 0.0597353	,Validation accuracy (MRAE): 0.0531608
Epoch: 47:	Training loss (MRSE): 0.905504	,Validation loss (MRSE): 0.921407	,Training loss (MSE): 6.83651e+16	,Validation loss (MSE): 1.44835e+16	,Training accuracy (MAE): -1.28065e+08	,Validation accuracy (MAE): -1.10843e+08	,Training accuracy (MRAE): 0.061932	,Validation accuracy (MRAE): 0.0549592
Epoch: 48:	Training loss (MRSE): 0.902445	,Validation loss (MRSE): 0.919478	,Training loss (MSE): 6.36746e+16	,Validation loss (MSE): 1.42359e+16	,Training accuracy (MAE): -1.2113e+08	,Validation accuracy (MAE): -1.06715e+08	,Training accuracy (MRAE): 0.0642088	,Validation accuracy (MRAE): 0.0563186
Epoch: 49:	Training loss (MRSE): 0.903761	,Validation loss (MRSE): 0.920251	,Training loss (MSE): 6.49418e+16	,Validation loss (MSE): 1.42424e+16	,Training accuracy (MAE): -1.2525e+08	,Validation accuracy (MAE): -1.09366e+08	,Training accuracy (MRAE): 0.0631477	,Validation accuracy (MRAE): 0.0559347
Epoch: 50:	Training loss (MRSE): 0.897784	,Validation loss (MRSE): 0.915683	,Training loss (MSE): 6.16774e+16	,Validation loss (MSE): 1.22449e+16	,Training accuracy (MAE): -1.14666e+08	,Validation accuracy (MAE): -9.80654e+07	,Training accuracy (MRAE): 0.0665216	,Validation accuracy (MRAE): 0.0592128
Epoch: 51:	Training loss (MRSE): 0.898166	,Validation loss (MRSE): 0.915887	,Training loss (MSE): 6.57508e+16	,Validation loss (MSE): 1.14672e+16	,Training accuracy (MAE): -1.16522e+08	,Validation accuracy (MAE): -9.62926e+07	,Training accuracy (MRAE): 0.0658793	,Validation accuracy (MRAE): 0.0598097
Epoch: 52:	Training loss (MRSE): 0.896265	,Validation loss (MRSE): 0.914227	,Training loss (MSE): 6.40804e+16	,Validation loss (MSE): 1.10747e+16	,Training accuracy (MAE): -1.11827e+08	,Validation accuracy (MAE): -9.33751e+07	,Training accuracy (MRAE): 0.0676733	,Validation accuracy (MRAE): 0.0609585
Epoch: 53:	Training loss (MRSE): 0.89492	,Validation loss (MRSE): 0.913582	,Training loss (MSE): 6.4372e+16	,Validation loss (MSE): 1.06498e+16	,Training accuracy (MAE): -1.10756e+08	,Validation accuracy (MAE): -9.14862e+07	,Training accuracy (MRAE): 0.0681818	,Validation accuracy (MRAE): 0.061215
Epoch: 54:	Training loss (MRSE): 0.898895	,Validation loss (MRSE): 0.916763	,Training loss (MSE): 6.19782e+16	,Validation loss (MSE): 1.25072e+16	,Training accuracy (MAE): -1.15154e+08	,Validation accuracy (MAE): -9.99989e+07	,Training accuracy (MRAE): 0.0663326	,Validation accuracy (MRAE): 0.0588049
Epoch: 55:	Training loss (MRSE): 0.895344	,Validation loss (MRSE): 0.913891	,Training loss (MSE): 6.369e+16	,Validation loss (MSE): 1.06207e+16	,Training accuracy (MAE): -1.11134e+08	,Validation accuracy (MAE): -9.15271e+07	,Training accuracy (MRAE): 0.0679196	,Validation accuracy (MRAE): 0.0612254
Epoch: 56:	Training loss (MRSE): 0.892281	,Validation loss (MRSE): 0.911827	,Training loss (MSE): 6.41318e+16	,Validation loss (MSE): 1.018e+16	,Training accuracy (MAE): -1.0694e+08	,Validation accuracy (MAE): -8.80388e+07	,Training accuracy (MRAE): 0.0699943	,Validation accuracy (MRAE): 0.0619378
Epoch: 57:	Training loss (MRSE): 0.887766	,Validation loss (MRSE): 0.908879	,Training loss (MSE): 6.24562e+16	,Validation loss (MSE): 9.00496e+15	,Training accuracy (MAE): -1.00854e+08	,Validation accuracy (MAE): -8.15194e+07	,Training accuracy (MRAE): 0.0732246	,Validation accuracy (MRAE): 0.0632185
Epoch: 58:	Training loss (MRSE): 0.888498	,Validation loss (MRSE): 0.909588	,Training loss (MSE): 6.22237e+16	,Validation loss (MSE): 9.43357e+15	,Training accuracy (MAE): -1.01893e+08	,Validation accuracy (MAE): -8.34103e+07	,Training accuracy (MRAE): 0.0727036	,Validation accuracy (MRAE): 0.0625456
Epoch: 59:	Training loss (MRSE): 0.889869	,Validation loss (MRSE): 0.910581	,Training loss (MSE): 6.35482e+16	,Validation loss (MSE): 1.07911e+16	,Training accuracy (MAE): -1.0454e+08	,Validation accuracy (MAE): -8.6802e+07	,Training accuracy (MRAE): 0.071483	,Validation accuracy (MRAE): 0.0616641
Epoch: 60:	Training loss (MRSE): 0.894781	,Validation loss (MRSE): 0.914052	,Training loss (MSE): 6.30265e+16	,Validation loss (MSE): 1.10677e+16	,Training accuracy (MAE): -1.10602e+08	,Validation accuracy (MAE): -9.30223e+07	,Training accuracy (MRAE): 0.0684268	,Validation accuracy (MRAE): 0.0603363
Epoch: 61:	Training loss (MRSE): 0.89303	,Validation loss (MRSE): 0.912699	,Training loss (MSE): 6.26912e+16	,Validation loss (MSE): 1.09908e+16	,Training accuracy (MAE): -1.07974e+08	,Validation accuracy (MAE): -9.05723e+07	,Training accuracy (MRAE): 0.0695152	,Validation accuracy (MRAE): 0.0612073
Epoch: 62:	Training loss (MRSE): 0.89306	,Validation loss (MRSE): 0.912644	,Training loss (MSE): 6.1336e+16	,Validation loss (MSE): 1.02398e+16	,Training accuracy (MAE): -1.07772e+08	,Validation accuracy (MAE): -8.9208e+07	,Training accuracy (MRAE): 0.0695426	,Validation accuracy (MRAE): 0.0618503
Epoch: 63:	Training loss (MRSE): 0.89589	,Validation loss (MRSE): 0.914639	,Training loss (MSE): 6.34228e+16	,Validation loss (MSE): 1.08194e+16	,Training accuracy (MAE): -1.11973e+08	,Validation accuracy (MAE): -9.25157e+07	,Training accuracy (MRAE): 0.0678071	,Validation accuracy (MRAE): 0.0608127
Epoch: 64:	Training loss (MRSE): 0.894715	,Validation loss (MRSE): 0.913736	,Training loss (MSE): 6.28658e+16	,Validation loss (MSE): 1.04943e+16	,Training accuracy (MAE): -1.09788e+08	,Validation accuracy (MAE): -9.07914e+07	,Training accuracy (MRAE): 0.0686082	,Validation accuracy (MRAE): 0.0613669
Epoch: 65:	Training loss (MRSE): 0.890753	,Validation loss (MRSE): 0.910895	,Training loss (MSE): 6.31952e+16	,Validation loss (MSE): 9.52226e+15	,Training accuracy (MAE): -1.04467e+08	,Validation accuracy (MAE): -8.47863e+07	,Training accuracy (MRAE): 0.0712854	,Validation accuracy (MRAE): 0.0627019
Epoch: 66:	Training loss (MRSE): 0.891159	,Validation loss (MRSE): 0.911277	,Training loss (MSE): 6.28492e+16	,Validation loss (MSE): 9.71317e+15	,Training accuracy (MAE): -1.04816e+08	,Validation accuracy (MAE): -8.5824e+07	,Training accuracy (MRAE): 0.0711588	,Validation accuracy (MRAE): 0.0624062
