Generation,Train Accuracy,Validation Accuracy,Fitness,Topology
1,0.224286,0.0662907,87.0588,1375 568 907 679 817 1 
1,0.248506,0.0554715,92.1977,1375 413 897 918 1 
1,0.291431,0.123402,286.971,1375 492 442 280 1 
1,0.278729,0.14021,317.433,1375 329 324 502 1 
1,0.37398,0.0818539,274.246,1375 667 254 1 
1,0.262855,0.083058,167.01,1375 157 875 1 
1,0.277941,0.0882448,183.124,1375 978 964 1 
1,0.459021,0.151799,598.897,1375 748 1 
1,0.429046,0.0986059,390.295,1375 326 1 
1,0.245092,0.0553559,91.2493,1375 801 10 866 342 1 
1,0.2958,0.0679785,169.311,1375 326 305 1 
1,0.441937,0.109164,436.966,1375 441 1 
1,0.311407,0.0369853,116.51,1375 598 597 1 
1,0.266589,0.0844332,170.046,1375 684 665 1 
1,0.285088,0.0604052,136.278,1375 592 909 1 
1,0.315867,0.0661477,174.61,1375 165 581 750 1 
1,0.394004,0.074011,285.019,1375 146 1 
1,0.301117,0.0444993,114.796,1375 263 781 526 428 1 
1,0.293582,0.0689687,154.785,1375 923 617 613 1 
1,0.315707,0.0588446,159.718,1375 948 502 1 
2,0.400075,0.0903583,327.459,1375 748 1 
2,0.445072,0.125989,494.285,1375 441 1 
2,0.440912,0.0837428,362.327,1375 326 1 
2,0.280663,0.100211,219.79,1375 329 324 502 1 
2,0.2942,0.0755138,177.479,1375 492 442 280 1 
2,0.473626,0.125628,537.117,1375 146 1 
2,0.295076,0.0730589,176.066,1375 667 254 1 
2,0.257553,0.0619497,113.042,1375 978 964 1 
2,0.357397,0.0907313,279.658,1375 329 502 1 
2,0.313733,0.0856711,221.599,1375 641 254 1 
2,0.375408,0.0941991,307.285,1375 326 628 1 
2,0.378758,0.0677345,251.711,1375 292 1 
2,0.455112,0.148879,588.588,1375 237 1 
2,0.279366,0.0492601,110.081,1375 492 442 280 381 1 
2,0.406687,0.066592,278.655,1375 256 1 
2,0.382363,0.0858534,295.187,1375 492 280 1 
2,0.35568,0.107758,317.786,1375 667 254 342 1 
2,0.307763,0.0742999,181.636,1375 860 964 1 
2,0.336394,0.0801039,231.478,1375 748 121 1 
2,0.244675,0.105143,184.402,1375 667 254 1559 1 
3,0.503885,0.10802,520.482,1375 237 1 
3,0.431115,0.0766519,333.442,1375 146 1 
3,0.376513,0.0959776,318.899,1375 441 1 
3,0.459083,0.144311,577.473,1375 326 1 
3,0.534997,0.122843,611.781,1375 748 1 
3,0.254689,0.0559786,106.361,1375 667 254 342 1 
3,0.27089,0.0902434,190.239,1375 326 628 1 
3,0.364352,0.089691,285.219,1375 492 280 1 
3,0.305424,0.111449,268.048,1375 441 1171 1 
3,0.401173,0.120811,415.818,1375 748 1 
3,0.479392,0.140255,588.933,1375 748 1 
3,0.344764,0.0797443,246.207,1375 146 98 1 
3,0.465144,0.148017,600.711,1375 237 1 
3,0.263571,0.0809085,155.473,1375 146 1708 1 
3,0.480896,0.0863667,415.727,1375 680 1 
3,0.311024,0.081536,208.225,1375 492 280 253 1 
3,0.34181,0.0706902,206.982,1375 146 1563 1 
3,0.421244,0.109892,409.859,1375 658 1 
3,0.245001,0.0598294,93.0162,1375 492 280 1972 1 
3,0.254546,0.0789167,148.358,1375 748 597 1 
4,0.462966,0.112606,472.451,1375 748 1 
4,0.415011,0.104485,390.993,1375 237 1 
4,0.500344,0.114266,530.342,1375 748 1 
4,0.437591,0.0945726,389.216,1375 326 1 
4,0.401941,0.122627,428.219,1375 237 1 
4,0.477201,0.104313,465.483,1375 748 1 
4,0.470041,0.132114,547.542,1375 680 1 
4,0.442494,0.130055,501.464,1375 658 1 
4,0.428085,0.134757,496.652,1375 658 1 
4,0.256646,0.0847976,154.691,1375 237 1927 1 
4,0.42959,0.103947,403.016,1375 640 1 
4,0.389264,0.0706224,270.354,1375 237 1 
4,0.465623,0.116476,489.428,1375 667 1 
